merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
Ad-Free Experience,0.005,0.0044,0.0002,0.012,0.023,0.0082,0.0036
Casual Acknowledgments,0.0006,0.0004,0.0,0.0816,0.0148,0.0008,0.0028
Customer Appreciation,0.0,0.0004,0.0,0.0408,0.0456,0.0008,0.006
Game Quality,0.0014,0.0028,0.0006,0.0332,0.0892,0.0028,0.003
Lack of Engagement,0.0018,0.002,0.0002,0.0648,0.0104,0.0038,0.0008
Misleading Ads and Clones,0.0004,0.0004,0.0,0.0018,0.0044,0.0004,0.0008
Other,0.0166,0.0102,0.0048,0.1402,0.0768,0.0402,0.0194
Positive Game Feedback,0.0,0.0002,0.0,0.0586,0.0102,0.001,0.0006
Positive Reactions,0.0,0.0008,0.0,0.0276,0.0514,0.0006,0.0038
Royal Match and Kingdom,0.0004,0.0008,0.0004,0.0238,0.0252,0.0022,0.0082
