merged_topic_label,negative_proportion,total_reviews,pain_point_flag
Ad-Free Experience,0.31560283687943264,282,False
Casual Acknowledgments,0.01782178217821782,505,False
Customer Appreciation,0.01282051282051282,468,False
Game Quality,0.05714285714285714,665,False
Lack of Engagement,0.09307875894988067,419,False
Misleading Ads and Clones,0.14634146341463414,41,False
Other,0.23296560674886438,1541,False
Positive Game Feedback,0.0169971671388102,353,False
Positive Reactions,0.0166270783847981,421,False
Royal Match and Kingdom,0.06229508196721312,305,False
