merged_topic_label,total_reviews,avg_vader_sentiment,avg_text_length,avg_readability,bug_keyword_rate,request_keyword_rate,pain_point_flag
Ad-Free Experience,282,0.013567730496453897,60.5531914893617,86.0174319089849,0.0035460992907801418,0.03546099290780142,False
Casual Acknowledgments,505,0.4787140594059406,15.972277227722772,97.82251613732804,0.0,0.0019801980198019802,False
Customer Appreciation,468,0.5678117521367522,8.510683760683762,85.71624542124545,0.0,0.0,False
Game Quality,665,0.3388606015037594,16.215037593984963,93.38340343875007,0.0,0.0015037593984962407,False
Lack of Engagement,419,0.48520620525059666,27.20763723150358,72.20837990283285,0.0,0.10739856801909307,False
Misleading Ads and Clones,41,0.10423902439024392,87.78048780487805,82.9547430692555,0.04878048780487805,0.024390243902439025,False
Other,1541,0.3748181700194679,97.06554185593771,81.78928908477609,0.012329656067488644,0.10317975340687865,False
Positive Game Feedback,353,0.5203263456090651,15.396600566572237,106.14723290165925,0.0,0.0028328611898017,False
Positive Reactions,421,0.4617631828978622,9.888361045130642,66.39660247709537,0.0,0.0,False
Royal Match and Kingdom,305,0.527972786885246,33.045901639344265,74.99362253834876,0.006557377049180328,0.019672131147540985,False
