merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
Unknown,0.0054,0.0066,0.0016,0.0546,0.081,0.0174,0.0052
account bans and suspensions,0.0014,0.0,0.0002,0.0,0.0014,0.0016,0.0
app launch issues,0.0006,0.0002,0.0,0.0002,0.0034,0.0044,0.0004
app opening & launch issues,0.0,0.0,0.0,0.0,0.0018,0.0022,0.0002
beautiful visuals,0.0,0.0,0.0,0.002,0.0,0.0002,0.0002
best game appreciation,0.0,0.0,0.0,0.0018,0.0028,0.0,0.0
best game experience,0.0,0.0,0.0,0.0074,0.001,0.0,0.0
best game praise,0.0002,0.0,0.0,0.001,0.0052,0.0,0.0004
cartoon game humor,0.0,0.0008,0.0,0.0012,0.0042,0.0006,0.0
connectivity problems,0.0,0.0,0.0,0.0002,0.0044,0.0014,0.0002
customer affection,0.0,0.0,0.0,0.002,0.0014,0.0,0.0
desire for old free fire,0.0,0.0,0.0,0.0,0.0024,0.0,0.0
desire for old peak,0.0,0.0,0.0,0.0,0.0084,0.0,0.0
desire for old version,0.0,0.0,0.0,0.0,0.0022,0.0,0.0
download issues,0.0,0.0,0.0,0.0004,0.0028,0.0,0.0
expressive excitement,0.0,0.0,0.0,0.0,0.0,0.0,0.0024
favorite game,0.0,0.0,0.0,0.0042,0.0002,0.0,0.0
favorite moments,0.0002,0.0,0.0002,0.002,0.0034,0.0,0.0
feature request: old peek,0.0,0.0,0.0,0.0002,0.0072,0.0,0.0002
final fantasy fans,0.0,0.0002,0.0,0.0008,0.0014,0.0002,0.0
free fire & fans,0.0002,0.0002,0.0,0.0056,0.0006,0.0002,0.0
free fire dominance,0.0004,0.0,0.0,0.0,0.0018,0.0,0.0
free fire game,0.001,0.0,0.0,0.0008,0.0058,0.0,0.0
free fire gameplay,0.0002,0.0,0.0,0.0002,0.0024,0.0,0.0
free fire in india,0.0004,0.0,0.0002,0.0012,0.0038,0.0,0.0
free fire india demand,0.0,0.0,0.0,0.0,0.0026,0.0,0.0
free fire india return,0.0,0.0,0.0,0.0002,0.0036,0.0,0.0
free fire max issues,0.0006,0.0002,0.0,0.0074,0.0086,0.0016,0.0
free fire memories,0.0004,0.0,0.0,0.0006,0.0038,0.0002,0.0
free fire praise,0.0004,0.0008,0.0004,0.011,0.0092,0.0016,0.0006
game content & skins,0.0004,0.0,0.0,0.0014,0.0016,0.001,0.0
game enthusiasm,0.0004,0.0,0.0,0.001,0.0034,0.0,0.0002
game power,0.0,0.0,0.0,0.0016,0.0034,0.0002,0.0056
graphics and visuals,0.0,0.0,0.0,0.002,0.0004,0.0,0.0
graphics comparison,0.0,0.0004,0.0,0.001,0.0014,0.0006,0.0
graphics quality,0.0002,0.0002,0.0002,0.0004,0.0008,0.0006,0.0
hacker issues,0.0006,0.0004,0.0,0.0004,0.0018,0.0004,0.0004
in-game bundles and packs,0.0004,0.0,0.0,0.0,0.0048,0.0004,0.0
in-game currency & membership,0.0002,0.0,0.0,0.0014,0.0062,0.0016,0.0008
india esports and gaming,0.0,0.0,0.0002,0.0008,0.002,0.0002,0.0
