merged_topic_label,negative_proportion,total_reviews,pain_point_flag
Bast Game,0.20993788819875778,805,False
Desire for Old Peak,0.011157601115760111,717,False
Network Connectivity Problems,0.4473684210526316,114,True
Old Photo Requests,0.015625,448,False
Other,0.15293296089385475,1432,False
Poor Quality Game,0.10194174757281553,206,False
Positive App Feedback,0.16101694915254236,236,False
Positive Feedback,0.04846938775510204,392,False
Positive Game Experience,0.1,190,False
Positive Reactions,0.07391304347826087,460,False
