merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
2d multiplayer game,0.0,0.00020004000800160032,0.0,0.00040008001600320064,0.001200240048009602,0.00020004000800160032,0.00040008001600320064
Unknown,0.009201840368073614,0.011002200440088018,0.002400480096019204,0.07781556311262253,0.060812162432486494,0.03600720144028806,0.01980396079215843
account recovery,0.0034006801360272052,0.001200240048009602,0.00040008001600320064,0.0034006801360272052,0.010602120424084817,0.02500500100020004,0.0068013602720544105
ad complaints,0.000600120024004801,0.0010002000400080016,0.0,0.00040008001600320064,0.0018003600720144029,0.002000400080016003,0.00040008001600320064
ad overload,0.00020004000800160032,0.00020004000800160032,0.0,0.0010002000400080016,0.0008001600320064013,0.001200240048009602,0.00040008001600320064
app distraction issues,0.0,0.00020004000800160032,0.0,0.0016003200640128026,0.0018003600720144029,0.00020004000800160032,0.00020004000800160032
app opening issues,0.00020004000800160032,0.00020004000800160032,0.0,0.00020004000800160032,0.000600120024004801,0.0016003200640128026,0.00020004000800160032
arena cheating and bugs,0.0014002800560112022,0.00040008001600320064,0.00020004000800160032,0.0008001600320064013,0.003800760152030406,0.0034006801360272052,0.0014002800560112022
best game ever,0.0,0.00040008001600320064,0.0,0.002000400080016003,0.0034006801360272052,0.0,0.000600120024004801
childhood nostalgia,0.00040008001600320064,0.00020004000800160032,0.00040008001600320064,0.016403280656131225,0.004400880176035207,0.0030006001200240046,0.001200240048009602
classic games,0.0,0.00040008001600320064,0.0,0.00020004000800160032,0.001200240048009602,0.00040008001600320064,0.00020004000800160032
customer appreciation,0.0,0.0,0.0,0.0036007201440288058,0.0,0.0,0.0
cute and playful,0.0,0.00020004000800160032,0.0,0.000600120024004801,0.002600520104020804,0.0,0.00040008001600320064
daily rewards & claims,0.0008001600320064013,0.00040008001600320064,0.0,0.00020004000800160032,0.0030006001200240046,0.003800760152030406,0.0014002800560112022
data usage and performance,0.0,0.00040008001600320064,0.0,0.001200240048009602,0.0036007201440288058,0.002000400080016003,0.000600120024004801
difficulty and ease,0.0,0.0,0.0,0.00020004000800160032,0.000600120024004801,0.002000400080016003,0.00020004000800160032
difficulty and progression,0.000600120024004801,0.00020004000800160032,0.00020004000800160032,0.004200840168033607,0.0054010802160432084,0.0030006001200240046,0.000600120024004801
download issues,0.00020004000800160032,0.00020004000800160032,0.0,0.001200240048009602,0.0036007201440288058,0.007601520304060812,0.001200240048009602
enjoyable gameplay,0.0,0.0,0.0,0.002600520104020804,0.0,0.0,0.0
entertainment and fun,0.0,0.0,0.00020004000800160032,0.008401680336067214,0.000600120024004801,0.0008001600320064013,0.00020004000800160032
epic cinema,0.0,0.0,0.0,0.0,0.0034006801360272052,0.0,0.0
excessive ads,0.004200840168033607,0.004000800160032006,0.00040008001600320064,0.004000800160032006,0.008601720344068814,0.009201840368073614,0.0034006801360272052
