merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
"""appreciation for game quality""",0.0,0.0,0.0,0.0030006001200240046,0.002600520104020804,0.0,0.0
"""best game ever played""",0.00020004000800160032,0.0,0.00020004000800160032,0.0036007201440288058,0.00020004000800160032,0.0,0.0010002000400080016
"""best game praise""",0.00020004000800160032,0.0,0.0,0.003200640128025605,0.0016003200640128026,0.0,0.00040008001600320064
"""best game reviews""",0.0,0.0,0.0,0.002600520104020804,0.008601720344068814,0.00040008001600320064,0.00040008001600320064
"""cool"" reviews",0.0,0.0,0.0,0.0,0.004200840168033607,0.0,0.0
"""ea sports app feedback""",0.0,0.0,0.0,0.003800760152030406,0.002000400080016003,0.0,0.00020004000800160032
"""fc mobile app issues""",0.00020004000800160032,0.00020004000800160032,0.0,0.00620124024804961,0.003200640128025605,0.0016003200640128026,0.001200240048009602
"""fc25 game reviews""",0.0,0.0,0.0,0.0014002800560112022,0.0010002000400080016,0.00040008001600320064,0.0
"""fun game to play""",0.0,0.0,0.0,0.0008001600320064013,0.000600120024004801,0.00040008001600320064,0.00020004000800160032
"""game rigging complaints""",0.0010002000400080016,0.00020004000800160032,0.0,0.00020004000800160032,0.0018003600720144029,0.00040008001600320064,0.0
"""goated game praise""",0.0,0.00020004000800160032,0.0,0.00020004000800160032,0.0014002800560112022,0.0,0.000600120024004801
"""h2h mode glitches""",0.00040008001600320064,0.00040008001600320064,0.0,0.0,0.0016003200640128026,0.001200240048009602,0.0
"""high praise""",0.0,0.0,0.0,0.00020004000800160032,0.002000400080016003,0.0,0.00020004000800160032
"""interesting game reviews""",0.0,0.0,0.0,0.0014002800560112022,0.00040008001600320064,0.00020004000800160032,0.00020004000800160032
"""interesting thoughts/opinions""",0.00020004000800160032,0.0,0.0,0.0,0.003200640128025605,0.0,0.0010002000400080016
"""neutral/acceptance responses""",0.000600120024004801,0.0,0.0,0.00020004000800160032,0.006601320264052811,0.0,0.0
"""overpowered game complaints""",0.0,0.0,0.0,0.0,0.002600520104020804,0.0,0.0
