merged_topic_label,negative_proportion,total_reviews,pain_point_flag
"""appreciation for game quality""",0.0,28,False
"""best game ever played""",0.07692307692307693,26,False
"""best game praise""",0.037037037037037035,27,False
"""best game reviews""",0.03333333333333333,60,False
"""cool"" reviews",0.0,21,False
"""ea sports app feedback""",0.0,30,False
"""fc mobile app issues""",0.15873015873015872,63,False
"""fc25 game reviews""",0.14285714285714285,14,False
"""fun game to play""",0.2,10,False
"""game rigging complaints""",0.4444444444444444,18,True
"""goated game praise""",0.08333333333333333,12,False
"""h2h mode glitches""",0.5555555555555556,18,True
"""high praise""",0.0,12,False
"""interesting game reviews""",0.09090909090909091,11,False
"""interesting thoughts/opinions""",0.045454545454545456,22,False
"""neutral/acceptance responses""",0.08108108108108109,37,False
"""overpowered game complaints""",0.0,13,False
"""request for career mode""",0.14893617021276595,47,False
"""so good"" reviews",0.09090909090909091,22,False
"""soccer game reviews""",0.06666666666666667,30,False
"""worst game complaints""",0.9655172413793104,29,True
"""wow factor""",0.0,34,False
Unknown,0.26744186046511625,1032,False
account login issues,0.7419354838709677,31,True
app performance issues,0.08,50,False
appreciation level,0.07142857142857142,14,False
best football game experience,0.04,25,False
best football games,0.0,25,False
best game ever,0.0,45,False
best game praise,0.0,21,False
best reviews,0.046511627906976744,43,False
card pack issues,0.42105263157894735,19,True
commentary and voiceover feedback,0.25,12,False
comparing football games,0.07692307692307693,13,False
comparisons to efootball,0.2619047619047619,42,False
enjoyable entertainment,0.05357142857142857,56,False
expensive player trading,0.38095238095238093,21,False
expressions of gratitude,0.0,14,False
fantastic game reviews,0.0,11,False
fifa game reviews,0.16666666666666666,18,False
fifa mobile game criticisms,0.6,10,True
football game experience,0.06666666666666667,15,False
football gaming app issues,0.08333333333333333,36,False
football player ratings,0.07692307692307693,26,False
game appreciation,0.1111111111111111,36,False
game control issues,0.5625,16,True
game enjoyment,0.0,97,False
game graphics and gameplay,0.047619047619047616,42,False
game performance feedback,0.057692307692307696,52,False
game reactions,0.0,11,False
gameplay experience,0.07142857142857142,14,False
goal celebration feedback,0.21052631578947367,19,False
good game play,0.0,13,False
good game recommendations,0.12121212121212122,66,False
good game reviews,0.008403361344537815,119,False
good reviews,0.0,336,False
graphics and design improvement,0.3076923076923077,13,False
graphics and features,0.0,26,False
hacker and cheater complaints,0.5217391304347826,23,True
high data usage,0.1875,16,False
joystick control issues,0.5833333333333334,12,True
love for game,0.0,27,False
match duration and features,0.16666666666666666,12,False
mixed language reviews,0.18181818181818182,11,False
mobile gaming performance,0.125,24,False
negative gameplay reviews,0.875,24,True
negative reviews,0.8571428571428571,21,True
network and connection issues,0.581081081081081,74,True
nice but short,0.0,12,False
nice game appreciation,0.0,83,False
pay to win complaints,0.46153846153846156,26,True
perfect satisfaction,0.0,18,False
player additions/removals,0.11764705882352941,17,False
player overall rating complaints,0.4642857142857143,28,True
poor pack luck,0.5333333333333333,30,True
positive app experience,0.13636363636363635,22,False
positive app feedback,0.0,63,False
positive app reviews,0.0,21,False
positive beginner experience,0.16666666666666666,24,False
positive feedback,0.028391167192429023,317,False
positive feedback/gratitude,0.0,14,False
positive feedback/reactions,0.0,27,False
positive game reviews,0.033426183844011144,359,False
positive reactions,0.0,67,False
positive sentiments,0.14285714285714285,28,False
praise and admiration,0.03508771929824561,57,False
praise for best features,0.0,33,False
praise for game quality,0.0,20,False
rating and game issues,0.16666666666666666,30,False
ready to play,0.0,13,False
realism in game,0.029411764705882353,34,False
realistic football game experience,0.024390243902439025,82,False
referee and foul complaints,0.625,96,True
request for more soccer leagues,0.09523809523809523,42,False
request for new game icons,0.0,10,False
request for neymar jr.,0.17647058823529413,34,False
request for offline mode,0.0967741935483871,31,False
slow loading time,0.5454545454545454,22,True
superb racing experience,0.02857142857142857,35,False
unbalanced matchmaking complaints,0.6923076923076923,13,True
update issues and fixes,0.4583333333333333,24,True
