merged_topic_label,total_reviews,avg_vader_sentiment,avg_text_length,avg_readability,bug_keyword_rate,request_keyword_rate,pain_point_flag
"""appreciation for game quality""",28,0.5554428571428571,9.857142857142858,114.89928571428574,0.0,0.0,False
"""best game ever played""",26,0.6340076923076924,37.30769230769231,100.49002516714056,0.0,0.0,False
"""best game praise""",27,0.5911740740740741,31.14814814814815,107.89346560846562,0.0,0.0,False
"""best game reviews""",60,0.5907183333333333,16.3,113.59154170829173,0.0,0.0,False
"""cool"" reviews",21,0.3315904761904762,4.904761904761905,118.43761904761907,0.0,0.047619047619047616,False
"""ea sports app feedback""",30,0.5253533333333333,47.1,87.83587087912089,0.0,0.03333333333333333,False
"""fc mobile app issues""",63,0.5365888888888889,111.77777777777777,80.36824239858957,0.07936507936507936,0.20634920634920634,False
"""fc25 game reviews""",14,0.6284928571428571,68.5,97.6833370385772,0.07142857142857142,0.14285714285714285,False
"""fun game to play""",10,0.59071,37.1,101.25150699300701,0.0,0.0,False
"""game rigging complaints""",18,-0.009183333333333337,85.5,80.09703579087707,0.0,0.05555555555555555,True
"""goated game praise""",12,0.01743333333333334,20.083333333333332,93.57291666666669,0.0,0.0,False
"""h2h mode glitches""",18,-0.3547666666666667,119.55555555555556,81.46180819994204,0.5555555555555556,0.1111111111111111,True
"""high praise""",12,0.6220583333333334,9.333333333333334,105.93583333333335,0.0,0.0,False
"""interesting game reviews""",11,0.4029818181818182,25.727272727272727,67.68610389610393,0.0,0.0,False
"""interesting thoughts/opinions""",22,0.23506363636363636,10.863636363636363,71.46000000000002,0.0,0.0,False
"""neutral/acceptance responses""",37,0.2629594594594595,4.486486486486487,57.14662162162165,0.0,0.05405405405405406,False
"""overpowered game complaints""",13,-0.060230769230769234,9.76923076923077,117.79912087912089,0.0,0.0,False
"""request for career mode""",47,0.36427021276595745,94.29787234042553,83.63612064464954,0.0,0.5957446808510638,False
"""so good"" reviews",22,0.4208409090909091,8.318181818181818,116.17500000000001,0.0,0.0,False
"""soccer game reviews""",30,0.6691900000000001,72.23333333333333,82.61480799034429,0.0,0.03333333333333333,False
"""worst game complaints""",29,-0.5845689655172414,92.93103448275862,89.24548406732508,0.034482758620689655,0.034482758620689655,True
"""wow factor""",34,0.6024,4.588235294117647,117.66352941176473,0.0,0.0,False
Unknown,1032,0.32461143410852716,95.71511627906976,78.63716874146617,0.0436046511627907,0.13953488372093023,False
account login issues,31,-0.2778612903225806,88.61290322580645,79.53882261795746,0.03225806451612903,0.06451612903225806,True
app performance issues,50,0.45653,31.82,91.67810599617775,0.02,0.0,False
appreciation level,14,0.33704285714285714,10.928571428571429,118.97250000000001,0.0,0.0,False
best football game experience,25,0.6484359999999999,38.64,83.93752207126208,0.0,0.0,False
best football games,25,0.602556,31.32,91.01707692307694,0.0,0.04,False
best game ever,45,0.6383911111111111,20.31111111111111,93.56522222222225,0.0,0.0,False
best game praise,21,0.5886285714285714,23.904761904761905,111.95710884353743,0.0,0.0,False
best reviews,43,0.5804976744186047,4.325581395348837,119.20534883720933,0.0,0.0,False
card pack issues,19,0.08905789473684211,174.94736842105263,71.16933704777462,0.05263157894736842,0.15789473684210525,True
commentary and voiceover feedback,12,0.15614166666666665,115.33333333333333,51.76573061708661,0.0,0.3333333333333333,False
comparing football games,13,0.6493230769230769,61.84615384615385,82.23563974039281,0.0,0.07692307692307693,False
comparisons to efootball,42,0.2925428571428571,103.66666666666667,76.06436116905036,0.0,0.07142857142857142,False
enjoyable entertainment,56,0.5177857142857143,12.107142857142858,78.33062500000003,0.0,0.0,False
expensive player trading,21,0.10311904761904762,124.47619047619048,73.3082797441047,0.0,0.3333333333333333,False
expressions of gratitude,14,0.4633,11.642857142857142,115.16535714285716,0.0,0.0,False
fantastic game reviews,11,0.6181454545454546,18.272727272727273,91.02090909090911,0.0,0.0,False
fifa game reviews,18,0.19997777777777778,33.611111111111114,90.28095598845601,0.0,0.05555555555555555,False
fifa mobile game criticisms,10,0.46635,173.4,75.03669716784316,0.2,0.0,True
football game experience,15,0.8148133333333333,157.8,70.55759134018926,0.0,0.13333333333333333,False
football gaming app issues,36,0.5847805555555555,75.83333333333333,81.38411503135568,0.027777777777777776,0.1388888888888889,False
football player ratings,26,0.31575384615384616,26.96153846153846,46.39463622915548,0.0,0.07692307692307693,False
game appreciation,36,0.20627222222222222,14.527777777777779,93.10027777777779,0.0,0.0,False
game control issues,16,-0.2025375,227.625,63.3005259386548,0.4375,0.375,True
game enjoyment,97,0.23528144329896905,6.979381443298969,33.15639175257733,0.0,0.0,False
game graphics and gameplay,42,0.6700666666666667,63.5,82.77709604333738,0.023809523809523808,0.023809523809523808,False
game performance feedback,52,0.10782884615384615,65.21153846153847,80.29656650731721,0.11538461538461539,0.057692307692307696,False
game reactions,11,0.28377272727272723,8.272727272727273,93.2868181818182,0.0,0.09090909090909091,False
gameplay experience,14,-0.04246428571428571,86.92857142857143,77.50657531978311,0.07142857142857142,0.0,False
goal celebration feedback,19,0.5853157894736842,172.8421052631579,54.892932142371784,0.0,0.42105263157894735,False
good game play,13,0.3634230769230769,15.923076923076923,112.4523076923077,0.0,0.0,False
good game recommendations,66,0.5159939393939393,49.56060606060606,94.4492598161865,0.0,0.045454545454545456,False
good game reviews,119,0.441409243697479,9.394957983193278,119.07890756302523,0.0,0.008403361344537815,False
good reviews,336,0.4430092261904762,4.330357142857143,120.65903273809528,0.0,0.0,False
graphics and design improvement,13,0.2079153846153846,27.46153846153846,77.9625274725275,0.0,0.0,False
graphics and features,26,0.5144538461538462,19.653846153846153,81.72096153846155,0.0,0.07692307692307693,False
hacker and cheater complaints,23,0.07543478260869567,126.04347826086956,64.76130661347499,0.08695652173913043,0.21739130434782608,True
high data usage,16,0.24625625,46.25,89.44531708780352,0.0,0.0,False
joystick control issues,12,0.270075,87.16666666666667,84.53971560344877,0.08333333333333333,0.4166666666666667,True
love for game,27,0.5054481481481482,18.555555555555557,114.6427777777778,0.0,0.0,False
match duration and features,12,0.02915,55.083333333333336,95.15308170995672,0.0,0.25,False
mixed language reviews,11,0.030772727272727275,11.363636363636363,-112.26045454545448,0.0,0.0,False
mobile gaming performance,24,0.47213750000000004,60.208333333333336,78.78658284380298,0.0,0.08333333333333333,False
negative gameplay reviews,24,-0.40700833333333336,28.625,92.74745192307694,0.0,0.0,True
negative reviews,21,-0.31115714285714285,14.380952380952381,94.32372294372297,0.0,0.047619047619047616,True
network and connection issues,74,-0.13756216216216216,157.3783783783784,69.7513292453808,0.32432432432432434,0.12162162162162163,True
nice but short,12,0.45675,10.333333333333334,117.85041666666667,0.0,0.0,False
nice game appreciation,83,0.42807469879518073,9.963855421686747,115.94445783132532,0.0,0.0,False
pay to win complaints,26,0.42973076923076925,92.92307692307692,82.9454856274242,0.0,0.0,True
perfect satisfaction,18,0.43179999999999996,8.055555555555555,41.87777777777781,0.0,0.0,False
player additions/removals,17,0.27738823529411766,76.05882352941177,69.9395183737831,0.0,0.4117647058823529,False
player overall rating complaints,28,0.09220714285714286,116.64285714285714,84.35545734395988,0.0,0.17857142857142858,True
poor pack luck,30,0.10614666666666667,108.33333333333333,87.81935857539209,0.03333333333333333,0.2,True
positive app experience,22,0.4193045454545455,20.454545454545453,106.57034090909093,0.0,0.0,False
positive app feedback,63,0.6022063492063492,14.031746031746032,79.59992784992787,0.0,0.015873015873015872,False
positive app reviews,21,0.5384428571428571,23.095238095238095,93.70571951857669,0.0,0.0,False
positive beginner experience,24,0.41176250000000003,18.875,106.52211309523811,0.0,0.0,False
positive feedback,317,0.43455709779179813,8.665615141955836,105.0825502888279,0.0,0.0031545741324921135,False
positive feedback/gratitude,14,0.6625928571428572,15.071428571428571,19.49071428571431,0.0,0.0,False
positive feedback/reactions,27,0.01699259259259259,8.148148148148149,55.56629629629632,0.0,0.0,False
positive game reviews,359,0.47063899721448466,24.880222841225628,100.58094520631107,0.0,0.005571030640668524,False
positive reactions,67,0.5695641791044777,6.507462686567164,65.00014925373138,0.0,0.0,False
positive sentiments,28,0.6646357142857143,13.071428571428571,111.02803571428574,0.0,0.0,False
praise and admiration,57,0.5218947368421053,8.964912280701755,-31.001578947368387,0.0,0.0,False
praise for best features,33,0.6391575757575758,14.303030303030303,108.39712121212122,0.0,0.0,False
praise for game quality,20,0.49952499999999994,15.6,32.32825000000001,0.0,0.0,False
rating and game issues,30,0.39866666666666667,109.16666666666667,81.11095381100975,0.13333333333333333,0.0,False
ready to play,13,0.6075307692307692,19.0,111.38538461538464,0.0,0.0,False
realism in game,34,0.20913529411764706,32.970588235294116,63.32560931715346,0.0,0.029411764705882353,False
realistic football game experience,82,0.5465378048780488,37.109756097560975,82.03079624643652,0.0,0.024390243902439025,False
referee and foul complaints,96,0.00907604166666667,164.75,70.59867131612778,0.08333333333333333,0.19791666666666666,True
request for more soccer leagues,42,0.41439761904761907,120.19047619047619,77.11809024854817,0.0,0.5714285714285714,False
request for new game icons,10,0.28775000000000006,54.8,80.70729691876753,0.0,0.4,False
request for neymar jr.,34,0.2585794117647059,71.02941176470588,81.92101089232494,0.0,0.38235294117647056,False
request for offline mode,31,0.41994516129032256,90.80645161290323,74.43177492159653,0.0,0.3548387096774194,False
slow loading time,22,-0.012413636363636365,55.81818181818182,94.00064717234638,0.0,0.045454545454545456,True
superb racing experience,35,0.53966,6.514285714285714,40.04271428571432,0.0,0.0,False
unbalanced matchmaking complaints,13,-0.008361538461538467,196.30769230769232,64.94666548039137,0.0,0.07692307692307693,True
update issues and fixes,24,-0.114325,49.375,86.86960662875138,0.2916666666666667,0.0,True
