id,user,text,rating,likes,app_version,date,text_length,vader_sentiment,emotion,readability,contains_bug_keywords,contains_request_keywords,topic,topic_prob,merged_topic,merged_topic_label,pain_point
58b60076-5679-4948-8f69-f13301155539,A Google user,love this game so far 🤗,5,0,21.8.0,2025-07-24 16:04:24,23,0.8062,joy,117.16000000000003,False,False,21,0.8074935203279928,17.0,positive app experience,False
81d28380-4e32-4599-84e4-5ceb53f23eed,A Google user,Cool,5,0,,2025-07-24 11:50:37,4,0.3182,neutral,121.22000000000003,False,False,40,1.0,0.0,positive feedback,False
ecc1a009-82f7-4d7a-a5b2-49b33c8dcd6e,A Google user,"the rating would be higher but you don't give credit to partner apps after level 22,so I consider it a waste of my tine",2,0,21.8.0,2025-07-24 08:00:08,119,-0.7562,anger,66.15000000000003,False,False,-1,0.0,,Unknown,False
c2b7936c-92f1-4b39-bfb6-e1a04c8ad04d,A Google user,very nice game to play.,5,0,21.8.0,2025-07-23 20:45:43,23,0.6697,joy,100.24000000000002,False,False,-1,0.0,,Unknown,False
2b29ecad-01cd-4c51-9222-25a6cedd102d,A Google user,"Super addicting. Costs way to much to really enjoy the game any more. Ive been playing for over 2 years and wish they would fix this. the amount of storage this game costs is ridiculous. talk about coding over code again and again. for a while it seemed like they were going to fix everything. They never do they just code over it, trust me do not start this game. try any other strategy game",1,2,21.7.1,2025-07-23 08:11:23,392,0.9377,anger,80.90400000000001,False,True,-1,0.0,,Unknown,False
e32f2895-6ff2-4b11-8b3b-6c4c8f1850ca,A Google user,"Stay away from this. THIS IS NOT A FREE GAME.You pay to win.I have been playing 8 years and just can't keep up with the spending. A game is supposed to be fun and enjoyable, not this game.This game makes you frustrated and irritable and put you in a state of permanent depression.Theirs permanent bugs, lagging is huge and influence your game play.Eexpensive with very little gain.Stay away if you know what's good for you.The servers are old and can't handle the traffic.The mini games are pathetic",1,103,21.7.1,2025-07-23 06:44:25,499,-0.5782,anger,74.33830721003136,True,False,20,0.9257145554103289,16.0,pay-to-win frustration,False
44eae218-4f2e-4be7-a6b1-eb432a9cf1fd,A Google user,Not at all like the videos showing game play,1,0,,2025-07-23 04:10:55,44,0.0747,neutral,84.90000000000003,False,False,1,0.6862614982461817,1.0,misleading advertisements,False
e7b81f2f-119f-44e9-9c4e-ab88ccc0e350,A Google user,YOU CAN PLAY THIS WITHOUT BUYING GOLD AND LOOT A LOT OF GOLD WHICH IS THE MAIN CURRENCY. I LOOTED 10K IN GOLD AND IF YOU ARE BUYING GOLD 10K GOES FAST. SAVE UP GOLD EACH DAY OF 1500 AND ACTIVATE VIP WHICH HELPS A LOT. GET WITH AN ALLIANCE THAT FITS YOUR GAME BECAUSE HAVING PROTECTION HELPS BUT A 24HOUR PEACE SHIELD EACH DAY IS ALL YOU NEED. DONT OPEN ANY ITEMS UNTIL NEEDED AS THIS IS WHAT ATTACKERS ARE AFTER IS THE BATTLE POINTS AND OPEN RESOURCES.,5,0,21.8.0,2025-07-23 00:48:41,452,0.5549,neutral,77.55226966292135,False,False,-1,0.0,,Unknown,False
abea0f1f-75c9-4e2f-8d12-12ea1420f4a2,A Google user,"pretty good game,just needs some more work to make it a great game to play.",5,0,21.7.1,2025-07-22 21:11:24,75,0.9118,joy,95.73000000000002,False,False,-1,0.0,,Unknown,False
113fa74e-6413-487e-80ee-159183a7b6ab,A Google user,great game really enjoying,5,1,21.7.1,2025-07-22 16:04:14,26,0.8313,joy,54.72500000000002,False,False,-1,0.0,,Unknown,False
f3c505ce-ee61-4dff-973e-b2b03890da1a,A Google user,"the only review you need to read. I've played this game for a few years now and the current state of this game is beyond a joke. a real time war game with constant lag and disconnects. at times it's unplayable. reach out to the developer and they will blame your updates, Internet or anything else rather than acknowledge they messed it up. if you're looking for a game that doesn't work as it should, costs a fortune to play constantly crashes or disconnects then go ahead and download it",1,1,21.7.1,2025-07-22 09:12:13,489,-0.6124,sadness,79.75000000000003,True,False,109,1.0,82.0,game stability issues,True
9f465d6d-7448-414f-b732-9916c940bf10,A Google user,game freezes and crashes every 5 minutes!!,1,0,,2025-07-21 21:08:15,42,-0.1739,surprise,54.70142857142861,True,False,35,1.0,29.0,app crashes and freezes,True
aeeaffd8-86ec-4b0c-bb9a-8ad276efb97a,A Google user,Good game I like it,5,0,,2025-07-21 18:09:52,19,0.6597,joy,117.16000000000003,False,False,2,0.9764423059346365,2.0,positive game experience,False
88fe7fc8-18ec-4b54-9195-1e32b537effe,A Google user,This game is straight out demonic.,1,0,21.7.1,2025-07-21 17:45:46,34,0.2263,disgust,87.94500000000002,False,False,-1,0.0,,Unknown,False
d35391f1-ef8d-474c-b566-6d7c152e39fa,A Google user,"I really thought this has difference to other ""4x games""🤢🤮. bro whatever that's display on playstore is very different like hella incomparable. same same with other games. leaping from 200 food to 3k in 5 mins like bruh. the art is very good😊, the story is fine ig(cliché ashhel), and the game mechanics seems good but it glitches time to time. but please show what your game really is instead of presenting a deceiving pictures.",1,0,,2025-07-21 11:17:12,429,0.8432,neutral,74.57950000000001,True,True,34,0.9227416628411126,28.0,misleading visuals,False
dfea25a5-f471-449a-843f-20e15a3bf271,A Google user,I brought two packages on this game one for 9.99 n one for 19.99 on july 19th 2025 never received my gold but yuh kept my money. either give me my gold or send me back my money.,1,0,21.7.1,2025-07-20 09:59:35,177,0.0,neutral,94.78197368421053,False,False,79,1.0,60.0,in-game purchases and refunds,True
f3775ca3-8c26-41bb-9b9a-5428654c4df6,A Google user,good game,5,0,21.7.1,2025-07-20 09:53:48,9,0.4404,joy,120.20500000000001,False,False,2,1.0,2.0,positive game experience,False
b0589de3-0dd6-4e10-b74a-f6b13a1ba01a,A Google user,good game,5,0,,2025-07-20 02:25:24,9,0.4404,joy,120.20500000000001,False,False,2,0.9402117899796949,2.0,positive game experience,False
a66c02f5-c637-469b-9bea-72d5cdf319b3,A Google user,Please Fix...Data Synchronization Error [6003]Reconnect... unable to participate in game for last couple of weeks. please help.,1,0,21.7.1,2025-07-20 01:04:28,127,0.5574,sadness,38.960441176470624,True,True,14,0.30723280846575,11.0,connectivity issues,True
7876a5ba-e722-4230-ba55-2ff579b17763,A Google user,very good,4,0,21.7.1,2025-07-19 22:33:45,9,0.4927,joy,77.90500000000002,False,False,32,1.0,26.0,positive praise,False
