merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
Unknown,0.017807122849139656,0.02100840336134454,0.0024009603841536613,0.08443377350940376,0.08343337334933974,0.03481392557022809,0.011804721888755502
alliance conflicts,0.0008003201280512205,0.0008003201280512205,0.00020008003201280514,0.001600640256102441,0.003001200480192077,0.0012004801920768306,0.00040016006402561027
app crashes and freezes,0.0012004801920768306,0.0,0.0,0.0006002400960384153,0.0010004001600640256,0.003601440576230492,0.00040016006402561027
castle building and progression,0.0,0.0,0.0,0.001800720288115246,0.0020008003201280513,0.0006002400960384153,0.0010004001600640256
casual acknowledgments,0.00020008003201280514,0.0,0.0,0.0,0.007202881152460984,0.00020008003201280514,0.0
city building & progression,0.00020008003201280514,0.00020008003201280514,0.0,0.0010004001600640256,0.0012004801920768306,0.00020008003201280514,0.00020008003201280514
connectivity issues,0.0010004001600640256,0.00020008003201280514,0.0,0.0006002400960384153,0.0028011204481792717,0.004401760704281713,0.00040016006402561027
customer support issues,0.0006002400960384153,0.001800720288115246,0.00020008003201280514,0.00020008003201280514,0.0022008803521408565,0.001800720288115246,0.0
dragon-themed gameplay,0.00020008003201280514,0.00020008003201280514,0.0,0.0028011204481792717,0.0014005602240896359,0.00020008003201280514,0.00040016006402561027
engaging and fun games,0.0,0.0,0.00020008003201280514,0.001800720288115246,0.0012004801920768306,0.0,0.0
engaging and thought-provoking,0.0,0.0,0.0,0.00040016006402561027,0.0006002400960384153,0.0,0.0014005602240896359
engaging story & graphics,0.0,0.0,0.0,0.015406162464985995,0.004601840736294518,0.00020008003201280514,0.00020008003201280514
enjoyable experience,0.0,0.0,0.0,0.004801920768307323,0.0,0.0,0.0
enjoyment and fun,0.0,0.0,0.0,0.021408563425370147,0.00040016006402561027,0.00040016006402561027,0.00020008003201280514
entertaining & cute games,0.0,0.0,0.0,0.004401760704281713,0.00020008003201280514,0.0,0.0
fake ads,0.0014005602240896359,0.0014005602240896359,0.0,0.0,0.003201280512204882,0.0,0.0
fake advertising,0.0,0.0012004801920768306,0.0,0.00040016006402561027,0.001800720288115246,0.0,0.0
fun and entertainment,0.0,0.0,0.0,0.012605042016806723,0.0026010404161664665,0.0006002400960384153,0.00020008003201280514
fun game,0.00040016006402561027,0.00020008003201280514,0.0,0.008003201280512205,0.0008003201280512205,0.0,0.0
game addiction,0.00040016006402561027,0.0006002400960384153,0.00020008003201280514,0.006402561024409764,0.0020008003201280513,0.0012004801920768306,0.0
game balance and features,0.00040016006402561027,0.00020008003201280514,0.0,0.001800720288115246,0.0014005602240896359,0.00020008003201280514,0.0
game enjoyment,0.0,0.0,0.0,0.0056022408963585435,0.00020008003201280514,0.0,0.0
game experience and costs,0.001800720288115246,0.0028011204481792717,0.0008003201280512205,0.004001600640256103,0.005202080832332933,0.003201280512204882,0.001600640256102441
game learning curve,0.0,0.0,0.0,0.0020008003201280513,0.00020008003201280514,0.0,0.00040016006402561027
game of thrones theme,0.0,0.00020008003201280514,0.0,0.0008003201280512205,0.0012004801920768306,0.00020008003201280514,0.00020008003201280514
game progress & spending,0.0012004801920768306,0.0008003201280512205,0.00020008003201280514,0.0024009603841536613,0.0028011204481792717,0.001600640256102441,0.00040016006402561027
game quality,0.00020008003201280514,0.00040016006402561027,0.0,0.0,0.0038015206082432974,0.0,0.00020008003201280514
game rewards and growth,0.00040016006402561027,0.0,0.0,0.0014005602240896359,0.00040016006402561027,0.00020008003201280514,0.0
game stability issues,0.0,0.00020008003201280514,0.0,0.0006002400960384153,0.0008003201280512205,0.0008003201280512205,0.0
game updates issues,0.00020008003201280514,0.0,0.00020008003201280514,0.0,0.004401760704281713,0.0,0.0
gameplay enjoyment,0.00020008003201280514,0.0,0.0,0.007202881152460984,0.0014005602240896359,0.00020008003201280514,0.0
gameplay speed and performance,0.00020008003201280514,0.0,0.0,0.001800720288115246,0.004601840736294518,0.0014005602240896359,0.0
general interest,0.0,0.00040016006402561027,0.0,0.0,0.0006002400960384153,0.00020008003201280514,0.001800720288115246
graphics and navigation,0.00020008003201280514,0.0,0.0,0.0012004801920768306,0.0026010404161664665,0.00040016006402561027,0.0
high cost concerns,0.0,0.0,0.00020008003201280514,0.0028011204481792717,0.0008003201280512205,0.001600640256102441,0.0
high data usage,0.00020008003201280514,0.00040016006402561027,0.0,0.0006002400960384153,0.0008003201280512205,0.0008003201280512205,0.0010004001600640256
in-game purchases and refunds,0.0012004801920768306,0.00020008003201280514,0.0,0.0,0.0012004801920768306,0.0006002400960384153,0.00040016006402561027
