merged_topic_label,total_reviews,avg_vader_sentiment,avg_text_length,avg_readability,bug_keyword_rate,request_keyword_rate,pain_point_flag
Unknown,1278,0.290171048513302,132.78560250391237,77.99797934201227,0.09389671361502347,0.06729264475743349,False
alliance conflicts,40,0.303245,240.9,73.57716713732326,0.05,0.05,False
app crashes and freezes,34,-0.03988823529411765,119.82352941176471,78.84339651887579,0.6764705882352942,0.14705882352941177,True
castle building and progression,27,0.4098111111111111,229.25925925925927,74.68515710455443,0.14814814814814814,0.25925925925925924,False
casual acknowledgments,38,0.2653078947368421,5.0,49.363552631578976,0.0,0.0,False
city building & progression,15,0.33791333333333334,137.8,75.98819580931722,0.0,0.06666666666666667,False
connectivity issues,47,-0.10177021276595745,186.7659574468085,61.246274211120145,0.48936170212765956,0.2127659574468085,True
customer support issues,34,-0.07667058823529413,222.85294117647058,61.579273569563185,0.29411764705882354,0.14705882352941177,True
dragon-themed gameplay,26,0.49093846153846155,126.5,80.8344041699431,0.07692307692307693,0.15384615384615385,False
engaging and fun games,16,0.45998125,28.0625,47.86718750000002,0.0,0.0,False
engaging and thought-provoking,12,0.4121166666666667,34.5,49.2972023809524,0.0,0.0,False
engaging story & graphics,102,0.7164686274509805,84.31372549019608,71.21407052547325,0.00980392156862745,0.029411764705882353,False
enjoyable experience,24,0.6706083333333334,10.708333333333334,90.21437500000002,0.0,0.0,False
enjoyment and fun,112,0.5114973214285714,10.696428571428571,113.48079081632656,0.0,0.0,False
entertaining & cute games,23,0.6497782608695652,23.652173913043477,82.47391304347829,0.043478260869565216,0.0,False
fake ads,30,-0.35690000000000005,32.06666666666667,58.86742794486217,0.0,0.0,True
fake advertising,17,-0.1713764705882353,58.705882352941174,89.8634573759574,0.0,1.0,False
fun and entertainment,80,0.50056375,21.4875,32.559495691808216,0.0,0.0125,False
fun game,47,0.4044468085106383,14.446808510638299,111.51108954874914,0.0,0.0,False
game addiction,54,0.3342055555555556,81.03703703703704,54.92463626163918,0.0,0.8148148148148148,False
game balance and features,20,0.57203,253.55,71.75504566952546,0.15,0.2,False
game enjoyment,29,0.6047310344827587,16.413793103448278,113.35172413793106,0.0,0.0,False
game experience and costs,97,0.09938969072164949,259.5360824742268,73.84335742086596,0.10309278350515463,0.10309278350515463,True
game learning curve,13,0.6544076923076924,73.3076923076923,85.90465365617678,0.0,0.0,False
game of thrones theme,13,0.40557692307692306,60.15384615384615,83.80178071928074,0.0,0.0,False
game progress & spending,47,0.16175744680851065,232.91489361702128,73.21851842394821,0.06382978723404255,0.14893617021276595,True
game quality,23,-0.05467391304347826,59.73913043478261,37.70801313554184,0.0,0.0,False
game rewards and growth,12,0.70025,186.33333333333334,84.90910821784856,0.0,0.08333333333333333,False
game stability issues,12,0.13175,203.91666666666666,84.16721959109732,0.8333333333333334,0.0,True
game updates issues,24,-0.015908333333333333,35.958333333333336,109.27885416666669,0.0,0.0,False
gameplay enjoyment,45,0.6495333333333333,27.266666666666666,90.50561624649862,0.022222222222222223,0.0,False
gameplay speed and performance,40,0.3240475,44.475,87.54713187599296,0.025,0.0,False
general interest,15,0.25756,10.933333333333334,-20.050666666666633,0.0,0.0,False
graphics and navigation,22,0.4654772727272727,77.0,80.26034232345197,0.0,0.18181818181818182,False
high cost concerns,27,0.24746296296296297,32.18518518518518,70.65318931068933,0.0,0.0,False
high data usage,19,0.05233684210526317,109.36842105263158,75.71415333204808,0.0,0.05263157894736842,False
in-game purchases and refunds,18,0.004322222222222217,236.94444444444446,77.86884757397345,0.3333333333333333,0.05555555555555555,True
in-game spending,40,0.2211725,119.075,83.07050831152517,0.0,0.025,False
initial impressions,16,0.44108125,16.6875,106.69750000000002,0.0,0.0,False
initial positive impressions,12,0.4079083333333333,20.083333333333332,109.9925,0.0,0.0,False
initial stages,28,0.2608821428571429,38.25,87.85532967032968,0.0,0.0,False
login and account issues,48,-0.05864583333333332,170.72916666666666,74.89654782605453,0.1875,0.14583333333333334,True
long-term engagement,17,0.2704823529411765,42.8235294117647,90.12903881009419,0.0,0.058823529411764705,False
long-term player loyalty,26,0.6304307692307692,56.76923076923077,96.12992879333599,0.0,0.0,False
military strategy,39,0.25146410256410257,123.23076923076923,77.84750533150543,0.02564102564102564,0.10256410256410256,False
misleading advertisements,135,-0.16497777777777778,111.68888888888888,78.70756252924593,0.014814814814814815,0.007407407407407408,False
misleading advertising,30,-0.06147666666666666,26.766666666666666,44.62539285714287,0.0,0.0,True
misleading visuals,54,-0.07662962962962963,90.33333333333333,81.20995348295017,0.018518518518518517,0.05555555555555555,False
mixed feelings,12,0.39615833333333333,9.083333333333334,119.6975,0.0,0.0,True
mixed reactions,29,0.08997931034482759,6.724137931034483,74.36913793103452,0.0,0.0,False
mobile gaming and apps,23,0.5749217391304348,72.8695652173913,83.71581434331588,0.0,0.043478260869565216,False
negative app experience,19,-0.02770526315789473,225.1578947368421,79.16304982376842,0.21052631578947367,0.15789473684210525,True
negative feedback,15,-0.36946,10.266666666666667,99.80333333333336,0.0,0.0,True
negative game experience,18,-0.3665055555555556,33.166666666666664,75.47597653554178,0.0,0.0,True
neutral expressions,21,0.25798571428571426,17.476190476190474,90.10880952380954,0.0,0.0,False
outstanding experience,34,0.4339588235294118,8.411764705882353,37.238823529411796,0.0,0.0,False
pay-to-play concerns,17,0.04699999999999999,58.76470588235294,100.93002973268655,0.058823529411764705,0.058823529411764705,False
pay-to-win concerns,40,0.11321250000000001,302.7,75.86156432301173,0.1,0.225,True
pay-to-win frustration,78,0.3337128205128205,174.97435897435898,79.77427853368204,0.07692307692307693,0.01282051282051282,False
performance issues,12,-0.3688416666666667,81.08333333333333,76.04501792795405,0.16666666666666666,0.16666666666666666,True
player appreciation,15,0.6207,19.2,117.49833333333335,0.0,0.0,False
positive app experience,67,0.690868656716418,33.97014925373134,90.55613233434391,0.0,0.014925373134328358,False
