id,user,text,rating,likes,app_version,date,text_length,vader_sentiment,emotion,readability,contains_bug_keywords,contains_request_keywords,topic,topic_prob,merged_topic,merged_topic_label,pain_point
d1508d21-094c-4048-b211-54ddfc953e25,Randy Byers,so cool,5,1,,2025-07-22 12:14:39,7,0.3804,joy,120.20500000000001,False,False,5,0.8382608221854894,5.0,positive app feedback,False
f106e1ec-a915-45cf-8bf9-ece10bb6b1b2,Mark Roberson,so fun I love kin tin thx so much :),5,0,18.0,2025-07-20 09:39:45,36,0.9305,joy,113.10000000000002,False,False,11,0.9219318992211696,5.0,positive app feedback,False
4b34027a-c124-4fe2-a74f-0a7fccf6eaca,Cheryl Magan,Nice apo,5,0,18.0,2025-07-19 18:02:43,8,0.4215,neutral,35.60500000000002,False,False,5,0.885543827790144,5.0,positive app feedback,False
fa06af78-3d5b-498e-9021-a1f1c2c03f18,Shane scruggs,it's good,4,0,17.9,2025-07-19 12:31:34,9,0.4404,joy,120.20500000000001,False,False,16,0.9825389755449843,4.0,app quality evaluation,False
8bb6be50-663b-4b7a-a2ca-9e7cabbec70d,Hailey,I thought for years this was a safe app. my kids started watching the gaming minecraft type shows and there is so much bad adult or almost adult content.,1,0,17.9,2025-07-18 08:59:54,153,-0.2212,disgust,84.17956896551725,False,False,-1,0.0,,Unknown,False
3f92b5a8-06f4-4530-bda2-02dd7dd42162,Brianna Esquivel,love it,5,0,18.0,2025-07-17 09:03:43,7,0.6369,neutral,120.20500000000001,False,False,-1,0.0,,Unknown,False
bda2f0aa-8275-44c1-809c-4a814e2a5a6e,Liam O Dwyer,Its been so good for my son 10/10,5,1,,2025-07-15 00:39:36,33,0.5777,joy,114.11500000000001,False,False,-1,0.0,,Unknown,False
cbad9c9b-3207-4865-a957-1d2a52d26803,BLUESCALED REFLECTION,"Will the full series of Gawayn ever arrive on this app? So far only Season 1 is available on Youtube, but it only has 30 episodes. Season 2 is there but completely disorganized with the episodes. Also, it's made by the same person who created Robotboy. Just really hoping I could get around to watching the entirety of The Questers in high quality and in English.",5,5,18.0,2025-07-14 21:32:58,363,0.5267,neutral,63.97336363636367,False,False,23,0.4604158665189245,20.0,request for series additions,False
5b4cedde-b2c1-4755-aba8-2c6aaf5bc3c7,Z T,Happy kids is amazing but I'm still waiting for Gabriel bee,4,11,18.0,2025-07-12 19:36:43,59,0.5789,joy,64.9245454545455,False,False,12,0.7046931877962128,11.0,happy kids entertainment,False
7cc5208c-65ad-4e36-bc44-f23729a1d9f6,rose ghost,pretty good mate not good enough):<,4,17,17.9,2025-07-11 09:11:57,35,0.571,neutral,87.94500000000002,False,False,3,1.0,3.0,positive feedback,False
9f744ebe-f85c-4f13-9c6d-3b0751436879,gxcha_jxck,TWINKLE TWINKLE LITTLE STAR ⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐,5,0,11.0,2025-07-10 16:34:33,63,0.0,neutral,54.72500000000002,False,False,10,0.9976085389606482,10.0,five star ratings,False
7b7bee9c-224b-4dc9-9a56-2fa9272534d4,Andrew Harris,"app does not work on Chromebook. I had used it before and then deleted it. (the app being extemaly buggy and slow) Upon re-downloading it no long loads. PLEASE FIX THIS. Being an app that advertises being free and no ads, you need to make it work for all devices it is downloadable on",2,0,,2025-07-09 19:43:57,284,0.4466,neutral,79.93966666666668,True,True,-1,0.0,,Unknown,False
c151e10f-4c6f-4708-9028-b5224a73e2fb,Rebekah Spurgeon,"I wanted to love this app since I first found it on my Roku- however, I find myself deleting it from my son's tablet because the lack of ability to control what my son sees is appalling. Let me block channels/videos/content. I can see reviews from 4 years ago where parents were asking for a feature to block content and the developer was ""working on it"". It's still not avaliable and my child copies too many of these kid vloggers and his behavior has become atrocious since downloading this app.",1,4,18.0,2025-07-09 07:46:40,497,-0.4767,disgust,64.6175,False,True,22,1.0,19.0,content blocking feature,False
ff07289c-7121-4bdc-b5f0-0bcbec9fb8c8,cindy rogers,wow this is a cool app,5,0,18.0,2025-07-05 18:20:33,22,0.7269,surprise,116.14500000000001,False,False,-1,0.0,,Unknown,False
4a53a84b-641f-4660-b3d5-7679ab636d3d,Felicia Marie,"honestly, just opened this app for the first time and wish I had a long time ago! it seems to have a lot of content that either I'm ok with my kid watch or actually Want him to be watching; and the content that I don't want him to watch, I can easily block! it also seems like it will be easy for my 3 year old to navigate through without getting frustrated",5,1,17.0,2025-07-03 07:01:27,357,0.9353,surprise,72.04077625570778,False,False,22,0.6548589205803557,19.0,content blocking feature,False
28890798-7cf8-4e5f-a6c8-361c06ed60b8,Danielle Kelzenberg,is it on good shows,5,0,,2025-07-02 19:24:08,19,0.4404,surprise,117.16000000000003,False,False,9,1.0,9.0,watching shows/episodes,False
47dde505-d4f5-4aca-a4fa-4874aba3613b,Ryshellia Onarheim,going great with the add,5,1,12.7,2025-06-30 17:35:42,24,0.6249,joy,100.24000000000002,False,True,5,0.5295714942970517,5.0,positive app feedback,False
9ea7bc31-6493-4b18-9721-8c12a25d6f64,John Davis,"play , freedom causes do not have to force information, learning happen natural. play, freedom will outdistance those with high advice intelligence quote",5,0,18.0,2025-06-29 11:43:48,153,0.9571,neutral,49.54272727272729,False,False,-1,0.0,,Unknown,False
9902f689-df96-4d4e-af16-68678e650d08,Heather Harp,it is fon five stors,5,0,18.0,2025-06-27 12:59:51,20,0.0,neutral,117.16000000000003,False,False,10,0.5942875096913629,10.0,five star ratings,False
