merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
Unknown,0.005,0.013333333333333334,0.005,0.12083333333333333,0.09416666666666666,0.029166666666666667,0.019166666666666665
app installation/connection issues,0.0025,0.0008333333333333334,0.0008333333333333334,0.0016666666666666668,0.01,0.021666666666666667,0.004166666666666667
app quality evaluation,0.0,0.0025,0.0,0.035833333333333335,0.0175,0.0016666666666666668,0.0025
appreciation for app,0.0,0.0,0.0,0.02,0.0016666666666666668,0.0,0.0008333333333333334
content blocking feature,0.0033333333333333335,0.0025,0.0,0.0,0.0075,0.0,0.0016666666666666668
educational apps for kids,0.0,0.0,0.0,0.013333333333333334,0.0033333333333333335,0.0,0.0
emoji reactions,0.0,0.0,0.0,0.0008333333333333334,0.0125,0.0016666666666666668,0.0
emojis and non-verbal expressions,0.0,0.0,0.0,0.0,0.0275,0.0,0.0008333333333333334
excessive ads complaints,0.0025,0.0,0.0008333333333333334,0.0016666666666666668,0.0033333333333333335,0.0008333333333333334,0.005833333333333334
excitement and approval,0.0,0.0,0.0,0.0016666666666666668,0.0008333333333333334,0.0,0.008333333333333333
five star ratings,0.0,0.0008333333333333334,0.0,0.009166666666666667,0.010833333333333334,0.0008333333333333334,0.0025
fun and enjoyment,0.0,0.0,0.0,0.009166666666666667,0.0008333333333333334,0.0,0.0
game appreciation,0.0008333333333333334,0.0,0.0,0.0075,0.0016666666666666668,0.0,0.0008333333333333334
happy kids entertainment,0.0,0.0,0.0,0.0175,0.005833333333333334,0.0,0.0
happykids app content,0.0,0.0,0.0,0.009166666666666667,0.0,0.0008333333333333334,0.0
kids enjoying app,0.0,0.0,0.0,0.0175,0.0008333333333333334,0.0,0.0008333333333333334
kids' app reviews,0.0008333333333333334,0.0016666666666666668,0.0016666666666666668,0.0425,0.0125,0.0,0.004166666666666667
mixed feelings,0.0,0.0,0.0,0.004166666666666667,0.015833333333333335,0.0,0.0008333333333333334
movie streaming app,0.0,0.0,0.0,0.013333333333333334,0.005,0.0025,0.0016666666666666668
negative feedback,0.0008333333333333334,0.0033333333333333335,0.0033333333333333335,0.0,0.0008333333333333334,0.0016666666666666668,0.0
performance issues,0.0,0.0,0.0,0.0,0.0075,0.004166666666666667,0.0
positive app feedback,0.0016666666666666668,0.0008333333333333334,0.0,0.04666666666666667,0.029166666666666667,0.0008333333333333334,0.0008333333333333334
positive feedback,0.0,0.0,0.0,0.018333333333333333,0.015833333333333335,0.0008333333333333334,0.005
request for series additions,0.0,0.0008333333333333334,0.0,0.005,0.006666666666666667,0.0008333333333333334,0.0
unclear topic,0.0,0.0008333333333333334,0.0,0.0008333333333333334,0.03916666666666667,0.0,0.0
video playback issues,0.0033333333333333335,0.0,0.0,0.0016666666666666668,0.008333333333333333,0.0125,0.0033333333333333335
watching shows/episodes,0.0008333333333333334,0.0,0.0008333333333333334,0.01,0.009166666666666667,0.0016666666666666668,0.004166666666666667
youtube kids content concerns,0.0,0.0008333333333333334,0.0,0.016666666666666666,0.009166666666666667,0.0008333333333333334,0.005
