merged_topic_label,negative_proportion,total_reviews,pain_point_flag
Unknown,0.18313953488372092,344,False
app installation/connection issues,0.62,50,True
app quality evaluation,0.06944444444444445,72,False
appreciation for app,0.0,27,False
content blocking feature,0.3888888888888889,18,False
educational apps for kids,0.0,20,False
emoji reactions,0.1111111111111111,18,False
emojis and non-verbal expressions,0.0,34,False
excessive ads complaints,0.2777777777777778,18,False
excitement and approval,0.0,13,False
five star ratings,0.06896551724137931,29,False
fun and enjoyment,0.0,12,False
game appreciation,0.07692307692307693,13,False
happy kids entertainment,0.0,28,False
happykids app content,0.08333333333333333,12,False
kids enjoying app,0.0,23,False
kids' app reviews,0.06578947368421052,76,False
mixed feelings,0.0,25,False
movie streaming app,0.1111111111111111,27,False
negative feedback,0.9166666666666666,12,True
performance issues,0.35714285714285715,14,False
positive app feedback,0.041666666666666664,96,False
positive feedback,0.020833333333333332,48,False
request for series additions,0.125,16,False
unclear topic,0.02040816326530612,49,False
video playback issues,0.5428571428571428,35,True
watching shows/episodes,0.125,32,False
youtube kids content concerns,0.05128205128205128,39,False
