merged_topic_label,total_reviews,avg_vader_sentiment,avg_text_length,avg_readability,bug_keyword_rate,request_keyword_rate,pain_point_flag
Unknown,344,0.42684854651162796,95.96802325581395,82.40559170173823,0.040697674418604654,0.10174418604651163,False
app installation/connection issues,50,-0.026942,80.72,77.39085069519051,0.02,0.2,True
app quality evaluation,72,0.5739777777777778,34.77777777777778,92.07255990741287,0.013888888888888888,0.027777777777777776,False
appreciation for app,27,0.5165518518518519,19.814814814814813,111.08372053872056,0.0,0.0,False
content blocking feature,18,-0.057255555555555566,228.72222222222223,78.47005598572238,0.1111111111111111,0.3888888888888889,False
educational apps for kids,20,0.5641149999999999,27.8,96.89323214285716,0.0,0.0,False
emoji reactions,18,0.27205555555555555,22.5,60.593888888888905,0.0,0.0,False
emojis and non-verbal expressions,34,0.4212676470588235,7.352941176470588,23.062500000000007,0.0,0.0,False
excessive ads complaints,18,0.06857777777777779,171.72222222222223,68.99648727367439,0.0,0.1111111111111111,False
excitement and approval,13,0.5801153846153846,8.23076923076923,120.51730769230772,0.0,0.0,False
five star ratings,29,0.2931758620689655,74.24137931034483,90.05669712349572,0.034482758620689655,0.034482758620689655,False
fun and enjoyment,12,0.412275,12.666666666666666,40.99125000000003,0.0,0.0,False
game appreciation,13,0.5582384615384616,38.76923076923077,101.5987087912088,0.0,0.07692307692307693,False
happy kids entertainment,28,0.6229321428571428,39.67857142857143,77.24377875275987,0.0,0.0,False
happykids app content,12,0.5285,79.41666666666667,68.65251504987963,0.0,0.0,False
kids enjoying app,23,0.6676434782608696,40.43478260869565,105.65213489409143,0.0,0.0,False
kids' app reviews,76,0.6051526315789474,99.92105263157895,87.41153239025184,0.0,0.039473684210526314,False
mixed feelings,25,0.415848,6.08,119.29800000000003,0.0,0.0,False
movie streaming app,27,0.5868111111111111,100.62962962962963,83.49425247063652,0.0,0.037037037037037035,False
negative feedback,12,-0.5216083333333333,18.833333333333332,65.92500000000003,0.0,0.08333333333333333,True
performance issues,14,-0.08056428571428573,18.285714285714285,94.86428571428574,0.21428571428571427,0.0,False
positive app feedback,96,0.5072239583333333,21.666666666666668,104.44258558746468,0.0,0.052083333333333336,False
positive feedback,48,0.50006875,10.354166666666666,71.29677083333335,0.0,0.0,False
request for series additions,16,0.40685,106.0625,85.96963992473046,0.0,0.375,False
unclear topic,49,0.05141632653061225,16.183673469387756,85.80363422291995,0.0,0.02040816326530612,False
video playback issues,35,0.03359999999999999,107.57142857142857,80.91267474589142,0.2,0.02857142857142857,True
watching shows/episodes,32,0.372759375,79.59375,86.48833596402072,0.03125,0.0,False
youtube kids content concerns,39,0.6252025641025641,196.7948717948718,68.2527285571863,0.02564102564102564,0.1794871794871795,False
