merged_topic_label,negative_proportion,total_reviews,pain_point_flag
"""amazing app experience""",0.0,28,False
"""best game reviews""",0.0,16,False
"""best"" reviews",0.0,14,False
"""complaints about paid content""",0.65,80,True
"""epic appreciation""",0.04,25,False
"""epic books app reviews""",0.06015037593984962,133,False
"""epic reading app""",0.10743801652892562,121,False
"""fun and engaging""",0.075,40,False
"""fun but glitchy""",0.0,18,False
"""love for fun app""",0.0,14,False
"""love for useful app""",0.0,27,False
"""paid reading app complaints""",0.11764705882352941,17,False
"""positive app feedback""",0.0,16,False
"""positive app reviews""",0.0,15,False
Unknown,0.22106722106722107,1443,False
app appreciation,0.0,14,False
app for books,0.0,22,False
app functionality issues,0.6962025316455697,79,True
app not free complaints,0.36666666666666664,30,False
appreciation for app,0.04285714285714286,70,False
appreciation for coolness,0.0625,16,False
appreciation/love for app,0.0,22,False
book availability complaints,0.08333333333333333,12,False
book collection quality,0.041666666666666664,72,False
cat ninja series reviews,0.03125,32,False
child learning assistance,0.0,13,False
children's book selection,0.12,75,False
children's books app,0.10526315789473684,38,False
children's learning and reading,0.06666666666666667,90,False
children's reading app,0.09836065573770492,61,False
coolness appreciation,0.0,19,False
cost of epic games,0.5652173913043478,23,True
educational app usage,0.0,27,False
educational reading game,0.037037037037037035,27,False
emojis/non-english reviews,0.043478260869565216,46,False
enjoyable reading experience,0.0,39,False
enjoyment of reading,0.18181818181818182,11,False
entertaining and fun,0.0,24,False
expressions of love,0.19047619047619047,21,False
fun educational app,0.0,17,False
general positive feedback,0.0625,16,False
good for kids,0.03571428571428571,56,False
incoherent reviews,0.15853658536585366,82,False
indecipherable comments,0.125,16,False
kids love it,0.06896551724137931,87,False
kids loving epic app,0.02631578947368421,38,False
kids' reading and learning app,0.023529411764705882,85,False
kids-friendly app,0.05154639175257732,97,False
learning and knowledge enhancement,0.02564102564102564,39,False
limited free books,0.5416666666666666,24,True
login issues,0.5944055944055944,143,True
love for books,0.03571428571428571,28,False
love for epic,0.06060606060606061,33,False
love for reading,0.0,19,False
love for reading books,0.0,26,False
love for the game,0.07407407407407407,27,False
negative app reviews,0.8823529411764706,17,True
negative feedback,0.7857142857142857,14,True
negative reviews,0.7333333333333333,15,True
paid features complaints,0.3673469387755102,49,False
payment complaints,0.5957446808510638,47,True
payment for reading books,0.5263157894736842,76,True
poor customer service & subscription issues,0.582089552238806,67,True
positive app feedback,0.0,115,False
positive app reactions,0.03225806451612903,31,False
positive app reviews,0.0,37,False
positive feedback,0.004,250,False
positive reviews for epic,0.07407407407407407,27,False
positive satisfaction,0.0,12,False
quality assessment,0.22727272727272727,44,False
rating and payment issues,0.23809523809523808,42,False
reading and book app,0.057692307692307696,52,False
reading and learning app,0.0,17,False
reading and researching experience,0.0,26,False
reading app reviews,0.0,42,False
school use,0.14705882352941177,34,False
story-based learning,0.03571428571428571,28,False
storytelling app reviews,0.0,11,False
subscription issues,0.664804469273743,179,True
unwanted free trial issues,0.5333333333333333,45,True
