merged_topic_label,total_reviews,avg_vader_sentiment,avg_text_length,avg_readability,bug_keyword_rate,request_keyword_rate,pain_point_flag
"""amazing app experience""",28,0.6149428571428571,19.0,54.66010204081635,0.0,0.0,False
"""best game reviews""",16,0.56725625,20.25,113.22593750000001,0.0,0.0,False
"""best"" reviews",14,0.5811357142857142,15.428571428571429,104.71142857142858,0.0,0.0,False
"""complaints about paid content""",80,-0.04211625,196.95,79.38635662393618,0.1,0.125,True
"""epic appreciation""",25,0.26435600000000004,14.48,68.84834285714288,0.0,0.0,False
"""epic books app reviews""",133,0.6412481203007518,101.84210526315789,83.13230185489759,0.007518796992481203,0.03007518796992481,False
"""epic reading app""",121,0.6107661157024793,168.20661157024793,77.51719552510276,0.04132231404958678,0.08264462809917356,False
"""fun and engaging""",40,0.5336175,19.325,106.76977678571431,0.0,0.0,False
"""fun but glitchy""",18,0.5587055555555556,14.444444444444445,109.35666666666668,0.05555555555555555,0.0,False
"""love for fun app""",14,0.7841571428571428,44.785714285714285,95.30536195008001,0.0,0.0,False
"""love for useful app""",27,0.6562962962962963,7.962962962962963,115.87685185185185,0.0,0.0,False
"""paid reading app complaints""",17,0.6120823529411765,170.41176470588235,84.3421924567722,0.0,0.058823529411764705,False
"""positive app feedback""",16,0.57700625,19.1875,113.66639204545456,0.0,0.0,False
"""positive app reviews""",15,0.6573399999999999,15.4,60.27266666666669,0.0,0.0,False
Unknown,1443,0.3874241857241857,104.27858627858627,81.94136626207376,0.02702702702702703,0.06791406791406791,False
app appreciation,14,0.5261714285714286,25.214285714285715,102.94607142857146,0.0,0.07142857142857142,False
app for books,22,0.781159090909091,104.4090909090909,86.64598774554325,0.045454545454545456,0.0,False
app functionality issues,79,-0.24795696202531645,66.18987341772151,88.33991652723564,0.05063291139240506,0.06329113924050633,True
app not free complaints,30,0.10909333333333333,37.733333333333334,100.99400715248095,0.0,0.0,False
appreciation for app,70,0.6681014285714285,35.47142857142857,104.41170086828912,0.014285714285714285,0.014285714285714285,False
appreciation for coolness,16,0.42184374999999996,14.9375,35.310937500000016,0.0,0.0,False
appreciation/love for app,22,0.5831227272727273,22.681818181818183,110.39199550449553,0.0,0.0,False
book availability complaints,12,0.33321666666666666,52.083333333333336,94.27291519239276,0.0,0.25,False
book collection quality,72,0.4603541666666666,27.041666666666668,94.43972274253525,0.0,0.0,False
cat ninja series reviews,32,0.5357875,53.84375,84.1615951024018,0.03125,0.0625,False
child learning assistance,13,0.41876153846153846,30.384615384615383,102.83692307692309,0.0,0.0,False
children's book selection,75,0.513304,89.84,84.98145145775254,0.0,0.09333333333333334,False
children's books app,38,0.7309657894736842,183.42105263157896,80.38943556597685,0.0,0.13157894736842105,False
children's learning and reading,90,0.5127244444444444,69.3,89.75876976630423,0.0,0.022222222222222223,False
children's reading app,61,0.6723901639344262,144.01639344262296,80.76632219279323,0.0,0.08196721311475409,False
coolness appreciation,19,0.3501842105263158,5.105263157894737,118.78000000000003,0.0,0.0,False
cost of epic games,23,0.2593478260869565,104.73913043478261,77.3336444561334,0.0,0.043478260869565216,True
educational app usage,27,0.6329592592592592,67.55555555555556,96.99669086533751,0.0,0.0,False
educational reading game,27,0.6224481481481482,112.74074074074075,80.65953668473236,0.0,0.1111111111111111,False
emojis/non-english reviews,46,0.2699782608695652,5.456521739130435,31.30945652173914,0.0,0.0,False
enjoyable reading experience,39,0.5719230769230769,42.46153846153846,101.07554479708327,0.0,0.0,False
enjoyment of reading,11,0.17986363636363636,16.363636363636363,95.56363636363639,0.0,0.0,False
entertaining and fun,24,0.5674875,11.291666666666666,95.15627976190478,0.0,0.0,False
expressions of love,21,0.5546476190476191,7.190476190476191,116.56309523809527,0.0,0.0,False
fun educational app,17,0.6877176470588235,41.470588235294116,90.96273491214669,0.0,0.0,False
general positive feedback,16,0.59649375,12.6875,110.27156250000003,0.0,0.0,False
good for kids,56,0.46602678571428574,27.160714285714285,107.00316571821038,0.0,0.0,False
incoherent reviews,82,0.033815853658536586,28.01219512195122,88.36617158137886,0.0,0.0,False
indecipherable comments,16,0.33018749999999997,36.8125,72.76108173076926,0.0,0.0,False
kids love it,87,0.6138034482758621,37.3448275862069,102.50854058610058,0.0,0.011494252873563218,False
kids loving epic app,38,0.7017605263157896,65.1842105263158,83.99144992805842,0.0,0.0,False
kids' reading and learning app,85,0.7336682352941176,117.6,84.96587447654004,0.03529411764705882,0.047058823529411764,False
kids-friendly app,97,0.6507525773195876,64.15463917525773,89.27916035426354,0.0,0.030927835051546393,False
learning and knowledge enhancement,39,0.44416153846153844,41.17948717948718,91.16453046953049,0.0,0.0,False
limited free books,24,0.2574916666666667,89.20833333333333,89.51040535985821,0.0,0.0,True
login issues,143,-0.11232027972027973,114.46153846153847,84.03489027813042,0.09090909090909091,0.11188811188811189,True
love for books,28,0.7597857142857143,45.964285714285715,107.30959008351626,0.0,0.0,False
love for epic,33,0.6159515151515151,19.303030303030305,89.92417531431889,0.0,0.030303030303030304,False
love for reading,19,0.6958473684210527,29.05263157894737,87.13566157526687,0.0,0.0,False
love for reading books,26,0.5955192307692307,33.30769230769231,102.95912113190455,0.0,0.038461538461538464,False
love for the game,27,0.6149222222222221,36.74074074074074,105.6393456066037,0.0,0.0,False
negative app reviews,17,-0.35205294117647057,10.470588235294118,37.087941176470615,0.0,0.0,True
negative feedback,14,-0.49975,5.142857142857143,113.3039285714286,0.0,0.0,True
negative reviews,15,-0.4822133333333333,16.4,102.86800000000001,0.0,0.2,True
paid features complaints,49,-0.03925102040816326,96.91836734693878,88.3119527441788,0.04081632653061224,0.10204081632653061,False
payment complaints,47,-0.16649148936170213,40.851063829787236,102.66987923736674,0.0,0.0425531914893617,True
payment for reading books,76,-0.11879473684210526,95.1842105263158,88.40286296267645,0.0,0.02631578947368421,True
poor customer service & subscription issues,67,0.023677611940298507,300.3880597014925,71.75463385484665,0.22388059701492538,0.2835820895522388,True
positive app feedback,115,0.5647434782608696,21.095652173913045,102.03610869565219,0.0,0.0,False
positive app reactions,31,0.5875709677419355,16.161290322580644,23.88661290322583,0.0,0.0,False
positive app reviews,37,0.537545945945946,12.027027027027026,106.31851351351354,0.0,0.0,False
positive feedback,250,0.4984848,7.144,78.9167942857143,0.0,0.0,False
positive reviews for epic,27,0.47781111111111113,32.25925925925926,78.29995543672015,0.0,0.0,False
positive satisfaction,12,0.5349833333333334,8.75,118.45666666666669,0.0,0.0,False
quality assessment,44,0.28625,11.795454545454545,108.05352272727274,0.0,0.0,False
rating and payment issues,42,0.12918809523809524,78.45238095238095,92.52954083851557,0.047619047619047616,0.023809523809523808,False
reading and book app,52,0.7522692307692308,101.48076923076923,86.2222528807582,0.0,0.07692307692307693,False
reading and learning app,17,0.7659411764705882,61.64705882352941,100.24199565456682,0.0,0.0,False
reading and researching experience,26,0.5843846153846154,30.53846153846154,92.25255494505497,0.0,0.0,False
reading app reviews,42,0.6008095238095239,40.642857142857146,86.18226994037711,0.0,0.023809523809523808,False
school use,34,0.3320705882352941,57.705882352941174,101.26908206196919,0.0,0.029411764705882353,False
story-based learning,28,0.5631714285714285,67.35714285714286,75.84471223828142,0.07142857142857142,0.0,False
storytelling app reviews,11,0.6909363636363636,148.27272727272728,69.29539011759314,0.0,0.09090909090909091,False
subscription issues,179,-0.10393296089385475,199.23463687150837,71.41054835162583,0.1005586592178771,0.16759776536312848,True
unwanted free trial issues,45,0.3926911111111111,201.6888888888889,77.2592569282856,0.044444444444444446,0.1111111111111111,True
