merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
"""amazing variety""",0.0,0.0,0.0,0.0034006801360272052,0.0,0.0,0.001200240048009602
"""app satisfaction and performance""",0.0,0.00020004000800160032,0.0,0.0018003600720144029,0.00020004000800160032,0.00020004000800160032,0.00020004000800160032
"""best ever""",0.0,0.0,0.0,0.0,0.008801760352070413,0.0,0.00040008001600320064
"""enjoyable entertainment""",0.0,0.0,0.0,0.005001000200040008,0.00020004000800160032,0.0,0.0
"""enjoyment and fun""",0.00020004000800160032,0.0,0.0,0.002400480096019204,0.0,0.00020004000800160032,0.0
"""expressions of surprise""",0.0,0.0,0.0,0.0,0.0,0.0,0.0034006801360272052
"""interesting and enjoyable""",0.0,0.0,0.0,0.001200240048009602,0.0,0.0,0.0008001600320064013
"""positive education app reviews""",0.0,0.0,0.0,0.004800960192038408,0.00040008001600320064,0.0,0.00040008001600320064
"""quality of app""",0.0,0.00020004000800160032,0.0,0.0030006001200240046,0.00020004000800160032,0.00020004000800160032,0.0
"""youtube kids app issues""",0.00040008001600320064,0.00020004000800160032,0.00020004000800160032,0.003200640128025605,0.003800760152030406,0.000600120024004801,0.00020004000800160032
"""youtube kids app""",0.0,0.0,0.0,0.0022004400880176033,0.002600520104020804,0.000600120024004801,0.00020004000800160032
"""youtube kids enjoyment""",0.0,0.0,0.0,0.008401680336067214,0.0018003600720144029,0.0008001600320064013,0.00020004000800160032
Unknown,0.005601120224044809,0.007001400280056011,0.0028005601120224045,0.07581516303260652,0.05721144228845769,0.012002400480096018,0.008001600320064013
account access issues,0.00020004000800160032,0.00020004000800160032,0.0,0.00040008001600320064,0.0022004400880176033,0.000600120024004801,0.00020004000800160032
ad pop-up complaints,0.0,0.00040008001600320064,0.0,0.0010002000400080016,0.0008001600320064013,0.00040008001600320064,0.000600120024004801
app affection,0.000600120024004801,0.0,0.0,0.004600920184036807,0.000600120024004801,0.00020004000800160032,0.0
app for babies,0.00020004000800160032,0.0,0.00020004000800160032,0.0034006801360272052,0.00040008001600320064,0.0,0.00020004000800160032
app loved by kids,0.0,0.0,0.0,0.009001800360072015,0.000600120024004801,0.00020004000800160032,0.0
app opening/update issues,0.0,0.0,0.0,0.0,0.0030006001200240046,0.003800760152030406,0.0008001600320064013
app quality opinions,0.0,0.0,0.0,0.00040008001600320064,0.0016003200640128026,0.000600120024004801,0.0
appreciation for app,0.0,0.0,0.0,0.001200240048009602,0.011202240448089618,0.0,0.00020004000800160032
appreciation for effort,0.0,0.0,0.0,0.00040008001600320064,0.002000400080016003,0.0,0.0
arabic kids app reviews,0.0,0.00020004000800160032,0.0,0.00040008001600320064,0.00620124024804961,0.0,0.0
background play and settings issues,0.000600120024004801,0.0,0.00020004000800160032,0.0,0.0022004400880176033,0.0010002000400080016,0.0
best app reviews,0.0,0.0,0.0,0.0008001600320064013,0.002400480096019204,0.0,0.000600120024004801
best for kids,0.0,0.00020004000800160032,0.0,0.000600120024004801,0.003200640128025605,0.0,0.0
best kids vocabulary app,0.0,0.00020004000800160032,0.0,0.00040008001600320064,0.005001000200040008,0.0,0.0
channel subscription issues,0.00020004000800160032,0.00020004000800160032,0.0,0.0,0.0016003200640128026,0.00040008001600320064,0.00020004000800160032
child safety features,0.0,0.00020004000800160032,0.00020004000800160032,0.002000400080016003,0.0034006801360272052,0.0,0.0
children's app content concerns,0.0,0.00020004000800160032,0.0,0.0036007201440288058,0.000600120024004801,0.000600120024004801,0.0
