merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
Addictive Fun,0.0014,0.0014,0.0002,0.0372,0.004,0.0008,0.0008
Addictive Gameplay,0.0002,0.0014,0.0006,0.0654,0.0198,0.0018,0.0034
Casual Acknowledgments,0.001,0.0026,0.0002,0.0108,0.0558,0.0004,0.0014
Offline Play Issues,0.0012,0.0012,0.0002,0.0048,0.0218,0.0264,0.0048
Other,0.0326,0.038,0.0064,0.1516,0.1432,0.0936,0.0408
Pay-to-Win Concerns,0.0018,0.0022,0.0004,0.0032,0.0098,0.0042,0.001
Positive Feedback,0.0002,0.0012,0.0002,0.0254,0.0206,0.0002,0.0052
Positive Game Experience,0.0008,0.0012,0.0002,0.0814,0.0084,0.0008,0.0034
Redemption & False Advertising,0.0038,0.0024,0.0002,0.0026,0.0094,0.0064,0.0018
Игры и развлечения,0.0002,0.0042,0.0008,0.001,0.016,0.002,0.0002
