merged_topic_label,negative_proportion,total_reviews,pain_point_flag
Addictive Fun,0.08296943231441048,229,False
Addictive Gameplay,0.04319654427645788,463,False
Casual Acknowledgments,0.05817174515235457,361,False
Offline Play Issues,0.48013245033112584,302,True
Other,0.33702094033978663,2531,False
Pay-to-Win Concerns,0.3805309734513274,113,False
Positive Feedback,0.033962264150943396,265,False
Positive Game Experience,0.031185031185031187,481,False
Redemption & False Advertising,0.48120300751879697,133,True
Игры и развлечения,0.29508196721311475,122,False
