merged_topic_label,total_reviews,avg_vader_sentiment,avg_text_length,avg_readability,bug_keyword_rate,request_keyword_rate,pain_point_flag
Addictive Fun,229,0.495085152838428,13.606986899563319,74.03863664719563,0.0,0.1222707423580786,False
Addictive Gameplay,463,0.5536548596112311,40.88768898488121,94.88906473824642,0.0,0.08855291576673865,False
Casual Acknowledgments,361,0.3408185595567867,6.698060941828255,100.52190023273127,0.0,0.0,False
Offline Play Issues,302,0.1001158940397351,103.86754966887418,77.35567352768712,0.18543046357615894,0.1390728476821192,True
Other,2531,0.2648464243382062,147.18135124456737,76.74729912795009,0.14934808376135913,0.13868036349269064,False
Pay-to-Win Concerns,113,0.2536283185840708,114.95575221238938,80.50978633530426,0.1592920353982301,0.09734513274336283,False
Positive Feedback,265,0.5561977358490566,10.939622641509434,75.13538326767573,0.0,0.0,False
Positive Game Experience,481,0.4763769230769231,18.87941787941788,103.74098933389068,0.002079002079002079,0.004158004158004158,False
Redemption & False Advertising,133,0.10425939849624061,172.6390977443609,78.84460877710976,0.21804511278195488,0.12781954887218044,True
Игры и развлечения,122,-0.11798770491803279,52.01639344262295,79.13823520477163,0.00819672131147541,0.01639344262295082,False
