merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
Unknown,0.014805922368947578,0.011204481792717087,0.001800720288115246,0.09663865546218488,0.06042416966786715,0.0234093637454982,0.01520608243297319
account recovery issues,0.0008003201280512205,0.0,0.00040016006402561027,0.00040016006402561027,0.003001200480192077,0.0038015206082432974,0.0014005602240896359
addictive game experience,0.0,0.0,0.0,0.0022008803521408565,0.0,0.00020008003201280514,0.0
addictive gameplay,0.0010004001600640256,0.00040016006402561027,0.0,0.0024009603841536613,0.0014005602240896359,0.0,0.0
app crashes and loading issues,0.001800720288115246,0.0010004001600640256,0.0,0.0008003201280512205,0.007402961184473789,0.010604241696678672,0.0024009603841536613
app usefulness,0.0,0.0,0.0,0.0020008003201280513,0.0038015206082432974,0.0006002400960384153,0.0
big wins and fun,0.0,0.0,0.0,0.004801920768307323,0.0006002400960384153,0.0,0.00020008003201280514
big wins and supporters,0.0,0.00040016006402561027,0.0,0.005202080832332933,0.00040016006402561027,0.00040016006402561027,0.0010004001600640256
casino games,0.0008003201280512205,0.0014005602240896359,0.00020008003201280514,0.02781112444977991,0.028411364545818326,0.0028011204481792717,0.0024009603841536613
casino gaming,0.00040016006402561027,0.0006002400960384153,0.0,0.0038015206082432974,0.0022008803521408565,0.0006002400960384153,0.0006002400960384153
charm collecting and gambling,0.001800720288115246,0.0006002400960384153,0.00020008003201280514,0.0012004801920768306,0.003601440576230492,0.003201280512204882,0.0014005602240896359
coolness and simplicity,0.0,0.0,0.0,0.0010004001600640256,0.006202480992396959,0.0,0.0
customer favorites,0.0,0.0,0.0,0.0020008003201280513,0.00020008003201280514,0.0,0.0
customer praise,0.0,0.0,0.0,0.0,0.0020008003201280513,0.0,0.0
customer satisfaction and happiness,0.0,0.00040016006402561027,0.0,0.0014005602240896359,0.00040016006402561027,0.00020008003201280514,0.00020008003201280514
enjoyable daily play,0.0,0.0,0.0,0.0028011204481792717,0.00040016006402561027,0.0,0.00020008003201280514
enjoyable entertainment,0.0,0.0,0.0,0.006402561024409764,0.0,0.0,0.00020008003201280514
enjoyable game experience,0.0,0.0,0.0,0.0056022408963585435,0.0,0.0,0.0
enjoyable gameplay,0.0,0.0,0.0,0.02100840336134454,0.0006002400960384153,0.0008003201280512205,0.0
enjoyment and fun,0.0,0.0,0.00020008003201280514,0.010604241696678672,0.0,0.0,0.00020008003201280514
enjoyment and visits,0.0,0.0,0.0,0.003201280512204882,0.0,0.0,0.0
excessive ads,0.001600640256102441,0.001800720288115246,0.0,0.0010004001600640256,0.001800720288115246,0.001800720288115246,0.00040016006402561027
excessive pop-ups,0.00040016006402561027,0.00020008003201280514,0.0,0.00020008003201280514,0.0006002400960384153,0.0012004801920768306,0.00040016006402561027
excitement and enthusiasm,0.0,0.0,0.0,0.0008003201280512205,0.001600640256102441,0.0,0.0
exciting game experience,0.0,0.0,0.0,0.003601440576230492,0.0,0.00020008003201280514,0.0
expressive excitement,0.0,0.0,0.0,0.0,0.00020008003201280514,0.0,0.0020008003201280513
extreme fun,0.0,0.0,0.0,0.003201280512204882,0.00020008003201280514,0.0,0.0
