merged_topic_label,total_reviews,avg_vader_sentiment,avg_text_length,avg_readability,bug_keyword_rate,request_keyword_rate,pain_point_flag
Unknown,1117,0.4195933751119069,103.97314234556849,78.45929587255345,0.025067144136078783,0.05729632945389436,False
account recovery issues,49,0.13137551020408164,163.53061224489795,76.49527976088059,0.12244897959183673,0.16326530612244897,True
addictive game experience,12,0.7682166666666667,73.75,74.64122894991331,0.0,1.0,False
addictive gameplay,26,0.2682192307692308,31.576923076923077,28.81187947921646,0.0,0.9230769230769231,False
app crashes and loading issues,120,0.021074166666666668,104.775,81.77321373675899,0.125,0.1,True
app usefulness,32,0.38276875,15.1875,92.94665178571431,0.0,0.0,False
big wins and fun,28,0.8085071428571429,31.321428571428573,101.61449960127594,0.0,0.0,False
big wins and supporters,37,0.6834270270270271,52.054054054054056,51.073944695196836,0.0,0.02702702702702703,False
casino games,319,0.43865360501567396,65.30407523510972,73.40475729525642,0.006269592476489028,0.03134796238244514,False
casino gaming,41,0.5138853658536586,176.58536585365854,68.0047065060636,0.04878048780487805,0.07317073170731707,False
charm collecting and gambling,60,0.5305616666666667,294.8833333333333,76.5580272630577,0.05,0.1,True
coolness and simplicity,36,0.3102611111111111,6.527777777777778,117.21569444444448,0.0,0.0,False
customer favorites,11,0.6492545454545454,16.545454545454547,110.89251082251084,0.0,0.0,False
customer praise,10,0.09288,13.8,-47.38199999999997,0.0,0.0,False
customer satisfaction and happiness,13,0.44933076923076926,11.846153846153847,21.661153846153873,0.0,0.0,False
enjoyable daily play,17,0.7469470588235294,95.11764705882354,87.62354852684842,0.0,0.058823529411764705,False
enjoyable entertainment,33,0.8157,12.666666666666666,111.05121212121213,0.0,0.0,False
enjoyable game experience,28,0.8230928571428572,31.785714285714285,95.33598606750395,0.0,0.0,False
enjoyable gameplay,112,0.4701571428571429,5.205357142857143,117.00316964285717,0.0,0.0,False
enjoyment and fun,55,0.6198345454545454,22.10909090909091,107.15844855144857,0.0,0.0,False
enjoyment and visits,16,0.64165,55.5625,88.16019363666521,0.0,0.0,False
excessive ads,42,-0.0587595238095238,119.9047619047619,75.63226568310667,0.0,0.023809523809523808,True
excessive pop-ups,15,0.11416,177.46666666666667,79.47054001749119,0.06666666666666667,0.3333333333333333,True
excitement and enthusiasm,12,0.45375000000000004,13.833333333333334,-14.207916666666634,0.0,0.08333333333333333,False
exciting game experience,19,0.7544157894736842,41.63157894736842,68.82555064130918,0.0,0.0,False
expressive excitement,11,0.5676090909090908,8.454545454545455,114.60590909090911,0.0,0.0,False
extreme fun,17,0.7236235294117648,20.352941176470587,58.953823529411785,0.0,0.0,False
fraud and scams,126,-0.07544126984126984,193.9126984126984,77.31346652300942,0.03968253968253968,0.16666666666666666,True
fun and entertaining game,26,0.6505115384615384,15.192307692307692,74.88769230769232,0.0,0.0,False
fun and humor,28,0.7907964285714285,14.25,113.10892857142859,0.0,0.0,False
fun and prizes,32,0.57545625,15.875,114.49386160714288,0.0,0.0,False
fun entertainment,40,0.649135,19.325,48.14357142857145,0.0,0.0,False
fun game,40,0.42456250000000006,11.4,111.78600000000002,0.0,0.0,False
game graphics and rewards,14,0.7653928571428572,115.64285714285714,78.64780825622759,0.0,0.07142857142857142,False
game improvements,11,0.5904818181818182,59.81818181818182,76.5628196803197,0.0,0.09090909090909091,False
game losing frustration,27,0.3178111111111111,32.851851851851855,94.6428294608442,0.0,0.1111111111111111,False
game quality and preference,46,0.43824782608695656,26.73913043478261,101.97189305259958,0.0,0.0,False
gameplay enjoyment,80,0.6023125,28.3625,92.5869764169332,0.0,0.0125,False
general satisfaction,31,0.5030225806451613,15.516129032258064,97.89043778801846,0.0,0.03225806451612903,False
great dog choices,12,0.6942499999999999,9.833333333333334,43.416250000000026,0.0,0.0,False
great gaming experiences,20,0.511215,14.25,99.30325000000002,0.0,0.0,False
huuuge casino experience,69,0.6621246376811594,126.56521739130434,57.018260740941805,0.0,0.057971014492753624,False
in-app purchases and loss,15,0.014853333333333326,197.0,86.36205251580745,0.0,0.0,False
in-game betting and currency,30,0.3202433333333333,167.33333333333334,83.77690338318801,0.06666666666666667,0.2,False
