merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
Enjoyable and Fun,0.0022,0.0016,0.0008,0.095,0.0142,0.003,0.0028
Game enjoyment,0.0004,0.0004,0.0002,0.0358,0.009,0.004,0.0012
Gameplay enjoyment,0.0008,0.0008,0.0002,0.0178,0.0204,0.0014,0.002
Love and Affection,0.0004,0.0,0.0004,0.0116,0.024,0.0012,0.006
Other,0.0138,0.0102,0.0032,0.1486,0.093,0.0414,0.0204
Positive Game Feedback,0.0006,0.0,0.0,0.1334,0.0074,0.0004,0.0028
Positive Praise,0.0,0.0002,0.0002,0.033,0.0084,0.0004,0.0032
Positive Sentiment,0.0002,0.0006,0.0,0.0322,0.0082,0.0002,0.0004
Relaxed vibe,0.0,0.0042,0.0006,0.0176,0.107,0.004,0.001
Strategy & Tactics,0.0008,0.0026,0.0004,0.0262,0.0112,0.003,0.0014
