merged_topic_label,negative_proportion,total_reviews,pain_point_flag
Enjoyable and Fun,0.06354515050167224,598,False
Game enjoyment,0.09803921568627451,255,False
Gameplay enjoyment,0.07373271889400922,217,False
Love and Affection,0.045871559633027525,218,False
Other,0.2075015124016939,1653,False
Positive Game Feedback,0.006915629322268326,723,False
Positive Praise,0.01762114537444934,227,False
Positive Sentiment,0.023923444976076555,209,False
Relaxed vibe,0.06547619047619048,672,False
Strategy & Tactics,0.14912280701754385,228,False
