merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
"""appreciation for game""",0.0,0.0,0.0,0.016,0.0008,0.0,0.0002
"""expressions of amazement""",0.0,0.0,0.0,0.0,0.0,0.0,0.0044
"""fun but repetitive gameplay""",0.0,0.0,0.0,0.0048,0.0,0.0002,0.0
"""holi festival theme issues""",0.0004,0.0002,0.0002,0.0006,0.0006,0.0012,0.0002
"""interesting app experience""",0.0,0.0,0.0,0.0014,0.0006,0.0,0.002
"""interesting game experience""",0.0,0.0,0.0,0.006,0.0006,0.0002,0.0004
"""mobile gaming experience""",0.0,0.0,0.0,0.0014,0.0008,0.0002,0.0002
"""neutral or okay responses""",0.0,0.0,0.0,0.0,0.0086,0.0,0.0
"""positive app feedback""",0.0,0.0,0.0,0.0086,0.0044,0.0,0.0
"""positive game reviews""",0.0,0.0,0.0,0.0046,0.0016,0.0002,0.0
"""super"" appreciation",0.0002,0.0,0.0,0.0002,0.0088,0.0,0.0006
"""temple run 2 feedback""",0.0006,0.001,0.0004,0.0208,0.014,0.0028,0.0032
"""tilt control issues""",0.0004,0.0,0.0,0.0,0.0014,0.0012,0.0002
Unknown,0.0026,0.004,0.003,0.0826,0.0318,0.0128,0.0048
adventure gaming experience,0.0,0.0,0.0004,0.0066,0.0014,0.0,0.0004
app appreciation,0.0002,0.0004,0.0,0.0076,0.0062,0.0006,0.0002
app quality evaluation,0.0,0.0006,0.0,0.0004,0.0098,0.0002,0.0002
average quality reviews,0.0,0.0018,0.0002,0.0004,0.0018,0.003,0.0002
background music issues,0.0002,0.0006,0.0,0.0002,0.0024,0.0006,0.0014
beautiful game appreciation,0.0,0.0,0.0,0.003,0.0,0.0,0.0002
best game reviews,0.0002,0.0002,0.0002,0.0034,0.0124,0.0,0.0008
best offline games,0.0,0.0,0.0,0.0028,0.0022,0.0004,0.0002
challenging game enjoyment,0.0,0.0,0.0,0.002,0.0004,0.0002,0.0002
difficulty unlocking levels,0.0002,0.0,0.0,0.0012,0.0008,0.0002,0.0002
endless gameplay enjoyment,0.0,0.0,0.0,0.0026,0.0008,0.0002,0.0002
enjoyment and satisfaction,0.0002,0.0002,0.0,0.0036,0.0002,0.0,0.0
excellent ads,0.0,0.0,0.0,0.0024,0.0012,0.0,0.0
excessive ads complaints,0.002,0.0016,0.0002,0.003,0.0032,0.0036,0.0006
excessive advertisements,0.0,0.0,0.0,0.0014,0.0028,0.002,0.0006
expressing excitement,0.0,0.0,0.0,0.0014,0.003,0.0,0.0012
expressions of love,0.0,0.0,0.0,0.0018,0.0018,0.0002,0.0
favorite game,0.0,0.0002,0.0002,0.0112,0.0008,0.0004,0.0
fun gameplay experience,0.0,0.0,0.0,0.003,0.0002,0.0,0.0
game appreciation,0.0,0.0,0.0,0.009,0.0002,0.0,0.0
game difficulty and interest,0.0002,0.0004,0.0002,0.0016,0.0046,0.0014,0.0
game enjoyment,0.0002,0.0,0.0,0.0022,0.0002,0.0,0.0
game experience feedback,0.0,0.0,0.0002,0.0024,0.0008,0.0,0.0
game preferences,0.0,0.0,0.0,0.0014,0.0008,0.0004,0.0
gameplay repetitiveness,0.0002,0.0012,0.0,0.0008,0.0012,0.0034,0.0002
general feedback,0.0,0.0,0.0,0.001,0.0014,0.0002,0.0002
global and weekly challenges,0.0,0.0,0.0,0.0004,0.0016,0.0006,0.0004
good game reviews,0.0,0.0,0.0002,0.0042,0.0002,0.0,0.0
good mobile game,0.0,0.0,0.0,0.0028,0.0,0.0,0.0
graphics quality and performance,0.0,0.0002,0.0,0.0034,0.0024,0.0006,0.0
installation issues,0.0,0.0006,0.0,0.0004,0.0058,0.0044,0.001
kids' adventure games,0.0,0.0,0.0,0.004,0.0006,0.0,0.0
lost game progress/items,0.0,0.0002,0.0,0.0002,0.001,0.0006,0.0
map variety and changes,0.0,0.0,0.0,0.0062,0.0044,0.0014,0.0006
misleading game content,0.0004,0.0002,0.0,0.0024,0.0008,0.0006,0.0004
missing game maps,0.0,0.0,0.0,0.0006,0.0008,0.0012,0.0002
mixed feelings,0.0004,0.0002,0.0,0.0042,0.0,0.0006,0.0
negative feedback/reviews,0.0002,0.0048,0.0002,0.0,0.0006,0.002,0.0
negative game reviews,0.0004,0.0036,0.0,0.0,0.0,0.002,0.0002
nice game reviews,0.0,0.0,0.0,0.0088,0.0006,0.0,0.0002
non-english reviews,0.0006,0.002,0.0012,0.0108,0.0412,0.0018,0.0014
nostalgia and memories,0.0,0.0,0.0002,0.0004,0.0024,0.002,0.0002
nostalgic childhood games,0.0,0.0,0.0,0.0094,0.0008,0.0008,0.0002
nostalgic memories,0.0,0.0,0.0,0.0034,0.0036,0.0004,0.0006
offline playability,0.0,0.0,0.0,0.002,0.0004,0.0006,0.0
positive app feedback,0.0,0.0,0.0,0.0142,0.0022,0.0,0.0004
positive appreciation,0.0,0.0,0.0,0.0014,0.0026,0.0,0.0
positive bike reviews,0.0,0.0,0.0,0.0038,0.0,0.0,0.0002
positive feedback,0.0004,0.0,0.0,0.0116,0.0754,0.0,0.0012
positive feedback and recommendations,0.0,0.0,0.0,0.0004,0.0022,0.0,0.0
positive feedback/reactions,0.0,0.0002,0.0,0.0072,0.0024,0.0,0.0034
positive game reviews,0.0004,0.0002,0.0,0.0972,0.0136,0.0002,0.0048
positive impressions,0.0,0.0,0.0,0.0016,0.0002,0.0,0.0006
positive reactions,0.0,0.0,0.0,0.0028,0.002,0.0,0.0
positive reviews,0.0004,0.0002,0.0,0.0102,0.0012,0.0004,0.0002
positive sentiments and gratitude,0.0,0.0,0.0,0.0004,0.002,0.0,0.0
praise and satisfaction,0.0,0.0,0.0,0.0016,0.0004,0.0,0.0002
praise for game,0.0,0.0,0.0,0.0028,0.0052,0.0,0.0008
praise for game quality,0.0,0.0,0.0,0.0016,0.0,0.0,0.0012
preference for old version,0.0,0.0,0.0,0.0016,0.003,0.0006,0.0
rating and stars,0.0002,0.0002,0.0,0.004,0.0024,0.0004,0.0004
running games,0.0,0.0,0.0004,0.0054,0.004,0.0006,0.0002
stress relief and relaxation,0.0002,0.0,0.0,0.0064,0.0024,0.0002,0.0006
super adventure games,0.0,0.0,0.0,0.002,0.0026,0.0,0.0044
super fun reactions,0.0,0.0,0.0,0.0004,0.0018,0.0,0.0002
superb game reviews,0.0,0.0,0.0,0.0004,0.0018,0.0002,0.001
time passing apps,0.0002,0.0,0.0,0.0046,0.0038,0.0006,0.0008
unclear/non-english reviews,0.0004,0.0,0.0004,0.001,0.0326,0.0002,0.0002
unlocking maps and gems,0.0006,0.0002,0.0004,0.0014,0.0026,0.0016,0.0006
update issues,0.0,0.0002,0.0,0.0008,0.0018,0.0008,0.0008
