merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
Unknown,0.019403880776155232,0.009001800360072015,0.0028005601120224045,0.07621524304860972,0.051010202040408084,0.04960992198439688,0.01860372074414883
account bans and harassment,0.0010002000400080016,0.00020004000800160032,0.0,0.0,0.00020004000800160032,0.000600120024004801,0.0
ad-free fun,0.0,0.0,0.0,0.0036007201440288058,0.0010002000400080016,0.00040008001600320064,0.00020004000800160032
among us meme & fun,0.00020004000800160032,0.0,0.0,0.005001000200040008,0.000600120024004801,0.00020004000800160032,0.0014002800560112022
among us references,0.0,0.00020004000800160032,0.0,0.00020004000800160032,0.003800760152030406,0.0,0.00040008001600320064
app compatibility & download issues,0.0016003200640128026,0.000600120024004801,0.000600120024004801,0.001200240048009602,0.006001200240048009,0.014402880576115223,0.002000400080016003
app nostalgia,0.00020004000800160032,0.000600120024004801,0.0,0.0014002800560112022,0.003200640128025605,0.002000400080016003,0.00020004000800160032
app updates and changes,0.00040008001600320064,0.00020004000800160032,0.0,0.002400480096019204,0.000600120024004801,0.002000400080016003,0.00020004000800160032
best game experience,0.0,0.0,0.0,0.0022004400880176033,0.00040008001600320064,0.0,0.0
best game praise,0.0,0.0,0.00020004000800160032,0.001200240048009602,0.0068013602720544105,0.0,0.0010002000400080016
black screen issues,0.0014002800560112022,0.000600120024004801,0.0,0.002600520104020804,0.004400880176035207,0.008401680336067214,0.002400480096019204
bug issues,0.001200240048009602,0.00040008001600320064,0.0,0.0028005601120224045,0.004400880176035207,0.002400480096019204,0.00020004000800160032
casual chat & reactions,0.0,0.0,0.0,0.0,0.009601920384076815,0.00020004000800160032,0.00020004000800160032
casual gaming experience,0.00040008001600320064,0.00040008001600320064,0.0,0.0034006801360272052,0.0010002000400080016,0.0,0.00040008001600320064
chat and voting issues,0.0,0.00020004000800160032,0.000600120024004801,0.00040008001600320064,0.004000800160032006,0.0,0.0
chat functionality issues,0.003200640128025605,0.002000400080016003,0.0008001600320064013,0.005001000200040008,0.009801960392078415,0.007601520304060812,0.0014002800560112022
child safety concerns,0.00020004000800160032,0.0,0.00020004000800160032,0.0034006801360272052,0.00040008001600320064,0.001200240048009602,0.0
connection issues,0.008601720344068814,0.0014002800560112022,0.0008001600320064013,0.004200840168033607,0.011402280456091218,0.013802760552110422,0.005001000200040008
cosmicube purchases,0.00040008001600320064,0.0,0.00020004000800160032,0.002000400080016003,0.0028005601120224045,0.0018003600720144029,0.0010002000400080016
customer love,0.0,0.0,0.0,0.00020004000800160032,0.0028005601120224045,0.0,0.0
customization and skins,0.0,0.00020004000800160032,0.0,0.003200640128025605,0.0014002800560112022,0.0008001600320064013,0.00040008001600320064
device compatibility and usage,0.0,0.0,0.0,0.0022004400880176033,0.0008001600320064013,0.00020004000800160032,0.00040008001600320064
disconnection bans,0.0016003200640128026,0.0,0.0,0.00020004000800160032,0.0010002000400080016,0.002400480096019204,0.0008001600320064013
distrust and suspicion,0.00020004000800160032,0.00020004000800160032,0.0008001600320064013,0.0022004400880176033,0.000600120024004801,0.0,0.0
enjoyable gameplay,0.0,0.0,0.0,0.002600520104020804,0.0,0.00020004000800160032,0.0
family & friends play,0.0,0.00020004000800160032,0.0,0.004400880176035207,0.0,0.00020004000800160032,0.00020004000800160032
friend list & online status,0.0,0.0,0.0,0.002400480096019204,0.0014002800560112022,0.0008001600320064013,0.000600120024004801
fun and enjoyment,0.0,0.0,0.0,0.010402080416083216,0.00020004000800160032,0.0,0.0
fun and entertainment,0.00040008001600320064,0.00020004000800160032,0.0,0.0072014402880576115,0.00020004000800160032,0.00020004000800160032,0.0
game bans and kicks,0.0036007201440288058,0.0,0.0,0.000600120024004801,0.0010002000400080016,0.002000400080016003,0.0008001600320064013
game crashes and timeouts,0.0,0.000600120024004801,0.0,0.00020004000800160032,0.0022004400880176033,0.0018003600720144029,0.0014002800560112022
game enjoyment,0.0,0.0,0.0,0.0028005601120224045,0.0,0.0,0.0
game enthusiasm,0.0,0.0,0.0,0.0030006001200240046,0.00020004000800160032,0.00020004000800160032,0.0
game experience complaints,0.00020004000800160032,0.0,0.0,0.0016003200640128026,0.004600920184036807,0.000600120024004801,0.00040008001600320064
game feedback,0.0,0.0,0.0,0.005601120224044809,0.00020004000800160032,0.00020004000800160032,0.00020004000800160032
game glitches and bugs,0.0,0.0,0.00020004000800160032,0.0014002800560112022,0.0010002000400080016,0.0014002800560112022,0.001200240048009602
game praise,0.0,0.0,0.0,0.0018003600720144029,0.0,0.0,0.0008001600320064013
game roles and characters,0.0,0.0,0.0,0.003200640128025605,0.0030006001200240046,0.0008001600320064013,0.0008001600320064013
game updates and maps,0.00020004000800160032,0.0,0.0,0.0028005601120224045,0.0018003600720144029,0.00040008001600320064,0.0010002000400080016
gameplay and connectivity,0.00020004000800160032,0.0008001600320064013,0.00020004000800160032,0.00040008001600320064,0.003800760152030406,0.0,0.00040008001600320064
hacking and cheating,0.0008001600320064013,0.000600120024004801,0.00040008001600320064,0.0018003600720144029,0.0014002800560112022,0.0016003200640128026,0.0010002000400080016
impostor role issues,0.00620124024804961,0.0028005601120224045,0.0010002000400080016,0.015803160632126424,0.015203040608121624,0.007601520304060812,0.004200840168033607
lack of engagement,0.0,0.0,0.0,0.0,0.0008001600320064013,0.0016003200640128026,0.0
level progress reset issues,0.000600120024004801,0.0,0.0,0.0008001600320064013,0.002600520104020804,0.00040008001600320064,0.002000400080016003
