merged_topic_label,negative_proportion,total_reviews,pain_point_flag
App Storage Size,0.21896162528216703,443,False
Customer Appreciation,0.048034934497816595,229,False
Customer Praise,0.0,195,False
Login and Sign-in Issues,0.48872180451127817,399,True
Other,0.35911068148864184,2069,False
Player Appreciation,0.08806818181818182,352,False
Positive Game Feedback,0.08403361344537816,357,False
Screen Glitches,0.5388026607538803,451,True
Top Game Reviews,0.06878306878306878,378,False
طلب دعم اللغة العربية,0.07086614173228346,127,False
