merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
Addictive Gameplay,0.0036,0.0012,0.0,0.0132,0.0046,0.0016,0.0004
Customer Love,0.001,0.0006,0.0004,0.0568,0.0844,0.001,0.009
Enjoyable Gameplay,0.0006,0.0,0.0,0.1096,0.0052,0.001,0.0012
Excessive Ads,0.007,0.006,0.0008,0.0424,0.0244,0.0232,0.0066
Exciting Gameplay,0.0004,0.0006,0.0006,0.0888,0.0078,0.0018,0.0006
Fun and Enjoyment,0.0006,0.0002,0.0,0.0534,0.003,0.0002,0.0006
Game Performance and Difficulty,0.0008,0.0014,0.0,0.02,0.0066,0.0006,0.0006
Mixed Feedback,0.001,0.0018,0.0002,0.014,0.0554,0.0024,0.0024
Other,0.0058,0.0042,0.0018,0.2054,0.058,0.0212,0.0098
Relaxation and Calm,0.0,0.0002,0.0004,0.0156,0.0054,0.0006,0.0
