merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
"""addictive gameplay""",0.0016003200640128026,0.000600120024004801,0.0,0.0010002000400080016,0.00020004000800160032,0.0,0.0
"""awesome game reviews""",0.0,0.0,0.0,0.004600920184036807,0.0,0.0,0.00040008001600320064
"""best""",0.0,0.0,0.0,0.00040008001600320064,0.00640128025605121,0.0,0.0
"""cool and same""",0.0,0.0,0.0,0.0008001600320064013,0.0028005601120224045,0.0,0.0
"""expressing amazement""",0.0,0.0,0.0,0.002000400080016003,0.000600120024004801,0.0,0.00040008001600320064
"""fun and relaxing activities""",0.00020004000800160032,0.0,0.0,0.0054010802160432084,0.0,0.0,0.0
"""fun experience""",0.0,0.0,0.0,0.006001200240048009,0.0,0.0,0.0
"""gaming app experience""",0.00040008001600320064,0.0,0.0,0.006001200240048009,0.005601120224044809,0.0008001600320064013,0.000600120024004801
"""interesting game features""",0.0,0.00020004000800160032,0.0,0.006001200240048009,0.002600520104020804,0.00020004000800160032,0.0016003200640128026
"""love and fun""",0.0,0.0,0.0,0.0014002800560112022,0.0008001600320064013,0.0018003600720144029,0.0
"""perfect and delicious""",0.0,0.0,0.0,0.00020004000800160032,0.0022004400880176033,0.0,0.0
Unknown,0.008201640328065612,0.0072014402880576115,0.00040008001600320064,0.09961992398479697,0.04440888177635527,0.026405281056211243,0.011002200440088018
account connection issues,0.0010002000400080016,0.0,0.0,0.00020004000800160032,0.001200240048009602,0.0016003200640128026,0.00040008001600320064
ad complaints,0.000600120024004801,0.00020004000800160032,0.0,0.0008001600320064013,0.0014002800560112022,0.00040008001600320064,0.00020004000800160032
ad frequency and content,0.00040008001600320064,0.00020004000800160032,0.0,0.004000800160032006,0.00020004000800160032,0.0010002000400080016,0.00020004000800160032
ad issues and rewards,0.0010002000400080016,0.00040008001600320064,0.0,0.00020004000800160032,0.0008001600320064013,0.00040008001600320064,0.0
addictive fun,0.0,0.00020004000800160032,0.0,0.002000400080016003,0.00020004000800160032,0.00020004000800160032,0.0
addictive game enjoyment,0.00020004000800160032,0.00020004000800160032,0.0,0.008201640328065612,0.00040008001600320064,0.00020004000800160032,0.00040008001600320064
addictive gameplay,0.00020004000800160032,0.0,0.0,0.001200240048009602,0.0016003200640128026,0.000600120024004801,0.00020004000800160032
addictive nostalgic games,0.000600120024004801,0.0010002000400080016,0.0,0.00020004000800160032,0.0008001600320064013,0.0016003200640128026,0.0
ads not granting rewards,0.001200240048009602,0.0008001600320064013,0.0,0.0,0.002000400080016003,0.004000800160032006,0.001200240048009602
amazing entertainment games,0.0,0.0,0.0,0.002000400080016003,0.00020004000800160032,0.0,0.001200240048009602
app crashes and glitches,0.002000400080016003,0.00040008001600320064,0.00020004000800160032,0.00040008001600320064,0.005001000200040008,0.009801960392078415,0.002000400080016003
app quality feedback,0.0,0.00040008001600320064,0.0,0.010002000400080016,0.0008001600320064013,0.00020004000800160032,0.0
app version and updates feedback,0.0,0.00040008001600320064,0.0,0.0022004400880176033,0.000600120024004801,0.00020004000800160032,0.00040008001600320064
best ever,0.0,0.00020004000800160032,0.0,0.0,0.0018003600720144029,0.0,0.00020004000800160032
best game praise,0.0,0.00020004000800160032,0.0,0.002000400080016003,0.0058011602320464095,0.0,0.0
candy crush game enjoyment,0.000600120024004801,0.0,0.00020004000800160032,0.012002400480096018,0.0022004400880176033,0.0014002800560112022,0.00040008001600320064
candy crush soda game reviews,0.000600120024004801,0.00020004000800160032,0.0,0.013402680536107221,0.0036007201440288058,0.00020004000800160032,0.00040008001600320064
changes in daily bonuses,0.00020004000800160032,0.0008001600320064013,0.0,0.00020004000800160032,0.00020004000800160032,0.0008001600320064013,0.00020004000800160032
daily gameplay obsession,0.0,0.0,0.0,0.0022004400880176033,0.0008001600320064013,0.0,0.00040008001600320064
difficulty and level progression,0.0018003600720144029,0.0010002000400080016,0.0,0.006001200240048009,0.0058011602320464095,0.0034006801360272052,0.0016003200640128026
enjoyable gameplay,0.00020004000800160032,0.0,0.0,0.011202240448089618,0.001200240048009602,0.00040008001600320064,0.0
enjoying the game,0.00020004000800160032,0.0,0.0,0.0028005601120224045,0.0,0.0,0.0
enjoyment and entertainment,0.0,0.0,0.0,0.006001200240048009,0.0018003600720144029,0.0,0.0
excellent fun gameplay,0.0,0.0,0.0,0.0018003600720144029,0.000600120024004801,0.0,0.0
excellent game reviews,0.0,0.0,0.0,0.002000400080016003,0.00020004000800160032,0.0,0.0
exciting exceptional experiences,0.0,0.0,0.00020004000800160032,0.0018003600720144029,0.0016003200640128026,0.0,0.000600120024004801
favorite game praise,0.0,0.0,0.0,0.005601120224044809,0.0010002000400080016,0.0,0.0
fun and educational entertainment,0.0,0.0,0.0,0.002400480096019204,0.0,0.0,0.0
fun and engaging,0.0,0.0,0.0,0.020004000800160033,0.0008001600320064013,0.00020004000800160032,0.0
fun gameplay experience,0.0,0.0,0.0,0.009801960392078415,0.00020004000800160032,0.000600120024004801,0.0
fun gaming experience,0.00020004000800160032,0.0,0.0,0.0058011602320464095,0.0010002000400080016,0.0,0.0
game boredom feedback,0.0,0.00020004000800160032,0.00020004000800160032,0.0008001600320064013,0.0008001600320064013,0.0016003200640128026,0.0
game challenge enjoyment,0.0,0.0,0.0,0.0030006001200240046,0.00020004000800160032,0.0,0.0
game difficulty and fun,0.00020004000800160032,0.00020004000800160032,0.00040008001600320064,0.005601120224044809,0.002400480096019204,0.0010002000400080016,0.000600120024004801
game quality evaluation,0.0,0.0010002000400080016,0.0,0.0028005601120224045,0.005001000200040008,0.00020004000800160032,0.000600120024004801
game reviews in hindi,0.0,0.00020004000800160032,0.0,0.0014002800560112022,0.005201040208041608,0.00020004000800160032,0.00020004000800160032
gameplay changes and boosters,0.0,0.00040008001600320064,0.00020004000800160032,0.0,0.0010002000400080016,0.00040008001600320064,0.000600120024004801
general approval responses,0.0008001600320064013,0.0,0.0,0.00020004000800160032,0.006601320264052811,0.00040008001600320064,0.00020004000800160032
gold bars issues,0.00040008001600320064,0.0,0.0,0.001200240048009602,0.0014002800560112022,0.002000400080016003,0.0008001600320064013
good game reviews,0.0,0.0,0.0,0.011802360472094419,0.0008001600320064013,0.0,0.0
good pocket money game,0.0,0.0,0.0,0.0014002800560112022,0.001200240048009602,0.0,0.0
great game reviews,0.0,0.0,0.0,0.010402080416083216,0.00040008001600320064,0.00020004000800160032,0.00020004000800160032
high praise for game,0.00040008001600320064,0.0,0.0,0.00040008001600320064,0.003200640128025605,0.0,0.000600120024004801
highly enjoyable,0.0,0.0,0.0,0.0030006001200240046,0.0,0.0,0.00040008001600320064
issues with advertisements,0.000600120024004801,0.00020004000800160032,0.00020004000800160032,0.000600120024004801,0.002000400080016003,0.00040008001600320064,0.000600120024004801
keeps users busy/engaged,0.0,0.00020004000800160032,0.00020004000800160032,0.0018003600720144029,0.0014002800560112022,0.00040008001600320064,0.00020004000800160032
long-term gameplay enjoyment,0.0,0.0,0.0,0.0034006801360272052,0.0008001600320064013,0.0,0.0
lost boosters/update issues,0.00020004000800160032,0.0,0.0,0.0,0.0008001600320064013,0.000600120024004801,0.001200240048009602
lost win streak issues,0.00020004000800160032,0.0,0.0,0.00040008001600320064,0.00020004000800160032,0.001200240048009602,0.0
lots of fun,0.0,0.0,0.0,0.00620124024804961,0.0,0.0,0.0
love for game,0.0,0.0,0.0,0.00620124024804961,0.0,0.0,0.0
love for games,0.0,0.0,0.0,0.0034006801360272052,0.0,0.0,0.0
mind refreshing games,0.0,0.0,0.0,0.0034006801360272052,0.0016003200640128026,0.0,0.000600120024004801
monetization complaints,0.000600120024004801,0.000600120024004801,0.0,0.0028005601120224045,0.004000800160032006,0.0014002800560112022,0.000600120024004801
