merged_topic_label,total_reviews,avg_vader_sentiment,avg_text_length,avg_readability,bug_keyword_rate,request_keyword_rate,pain_point_flag
"""addictive gameplay""",17,-2.3529411764706558e-05,18.058823529411764,-5.491512605041988,0.0,1.0,True
"""awesome game reviews""",25,0.638024,15.52,75.45960000000002,0.0,0.0,False
"""best""",34,0.6184970588235295,5.735294117647059,113.0719117647059,0.0,0.0,False
"""cool and same""",18,0.33524444444444446,6.333333333333333,104.3752777777778,0.0,0.0,False
"""expressing amazement""",15,0.7660066666666666,23.066666666666666,7.194142857142889,0.0,0.0,False
"""fun and relaxing activities""",28,0.8091071428571429,34.392857142857146,60.47488422291996,0.0,0.07142857142857142,False
"""fun experience""",30,0.5440066666666666,14.933333333333334,113.26380952380954,0.0,0.03333333333333333,False
"""gaming app experience""",67,0.47059552238805974,35.73134328358209,92.91977740244785,0.0,0.04477611940298507,False
"""interesting game features""",53,0.5025169811320754,25.09433962264151,33.281981132075494,0.0,0.018867924528301886,False
"""love and fun""",20,0.6812,9.9,114.66414285714288,0.0,0.0,True
"""perfect and delicious""",12,0.6414916666666667,10.5,11.775833333333367,0.0,0.0,False
Unknown,986,0.4053205882352941,91.36612576064908,82.83712918346794,0.04462474645030426,0.09127789046653144,False
account connection issues,22,-0.0018681818181818218,150.1818181818182,80.44681494872214,0.045454545454545456,0.13636363636363635,True
ad complaints,18,0.006699999999999996,44.77777777777778,77.2371691478524,0.05555555555555555,0.6666666666666666,False
ad frequency and content,30,0.39941,102.43333333333334,84.66808381483547,0.03333333333333333,0.0,False
ad issues and rewards,14,-0.2714857142857143,155.14285714285714,76.57556612466473,0.14285714285714285,0.21428571428571427,True
addictive fun,13,0.5922384615384616,32.07692307692308,58.67555753070461,0.0,0.9230769230769231,False
addictive game enjoyment,48,0.6695020833333333,62.125,74.45357810912752,0.0,0.7916666666666666,False
addictive gameplay,19,0.19641052631578945,60.421052631578945,94.54874178453127,0.0,0.10526315789473684,False
addictive nostalgic games,21,-0.02522380952380952,11.333333333333334,-10.240238095238064,0.0,0.7142857142857143,True
ads not granting rewards,46,0.0976891304347826,206.67391304347825,77.79437172986212,0.32608695652173914,0.08695652173913043,True
amazing entertainment games,17,0.5507058823529412,17.11764705882353,33.491764705882375,0.0,0.0,False
app crashes and glitches,99,-0.023461616161616163,85.56565656565657,78.96753790557436,0.2828282828282828,0.09090909090909091,True
app quality feedback,57,0.5674859649122806,12.157894736842104,76.41000000000001,0.0,0.0,False
app version and updates feedback,19,0.40923157894736845,89.84210526315789,81.23712812550094,0.0,0.10526315789473684,False
best ever,11,0.6207545454545454,14.090909090909092,105.13363636363638,0.0,0.0,False
best game praise,40,0.556775,13.95,113.48473214285715,0.0,0.0,False
candy crush game enjoyment,84,0.5207726190476191,111.67857142857143,78.84563045757331,0.011904761904761904,0.09523809523809523,False
candy crush soda game reviews,92,0.680729347826087,114.69565217391305,72.35657333557269,0.021739130434782608,0.10869565217391304,False
changes in daily bonuses,12,0.32905,168.0,80.72552987592523,0.08333333333333333,0.25,True
daily gameplay obsession,17,0.6992235294117648,45.94117647058823,91.04235867074104,0.0,0.0,False
difficulty and level progression,98,0.25829795918367343,136.1122448979592,79.6025640717229,0.02040816326530612,0.09183673469387756,False
enjoyable gameplay,65,0.6090123076923076,22.353846153846153,97.70066155902923,0.0,0.015384615384615385,False
enjoying the game,15,0.5254266666666667,30.4,45.211952380952404,0.0,0.0,False
enjoyment and entertainment,39,0.46473589743589744,15.41025641025641,-67.22646520146517,0.0,0.0,False
excellent fun gameplay,12,0.4799083333333333,22.0,99.05708333333335,0.0,0.0,False
excellent game reviews,11,0.5930454545454545,17.181818181818183,40.9118181818182,0.0,0.0,False
exciting exceptional experiences,21,0.3334714285714286,15.666666666666666,-53.5983333333333,0.0,0.0,False
favorite game praise,33,0.48722121212121206,22.757575757575758,73.17011904761907,0.0,0.0,False
fun and educational entertainment,12,0.6628916666666667,19.166666666666668,49.56416666666669,0.0,0.0,False
fun and engaging,105,0.5123190476190477,6.866666666666666,111.40765306122452,0.0,0.0,False
fun gameplay experience,53,0.7262339622641509,68.58490566037736,91.06659759840123,0.0,0.018867924528301886,False
fun gaming experience,35,0.41189428571428577,8.82857142857143,115.2837142857143,0.0,0.0,False
game boredom feedback,18,0.14814444444444444,37.388888888888886,74.36790453698352,0.0,0.0,True
game challenge enjoyment,16,0.70961875,48.1875,82.33161199534163,0.0,0.0,False
game difficulty and fun,52,0.37957115384615386,27.01923076923077,52.80994893115936,0.0,0.0,False
game quality evaluation,48,0.48661250000000006,21.0625,94.09467261904764,0.0,0.020833333333333332,False
game reviews in hindi,36,0.026783333333333336,40.638888888888886,88.82728112004745,0.0,0.027777777777777776,False
gameplay changes and boosters,13,0.24314615384615387,220.07692307692307,67.03284212837852,0.0,0.15384615384615385,False
general approval responses,41,0.2769243902439024,12.512195121951219,62.467847621748675,0.0,0.0,False
gold bars issues,29,0.3093758620689655,172.3448275862069,83.70652808792045,0.10344827586206896,0.20689655172413793,True
good game reviews,63,0.45011428571428574,9.333333333333334,120.14055555555557,0.0,0.0,False
good pocket money game,13,0.49893846153846155,14.153846153846153,110.86000000000003,0.0,0.0,False
great game reviews,56,0.6230125,11.410714285714286,117.4723979591837,0.0,0.0,False
high praise for game,23,0.5350826086956522,7.6521739130434785,52.863260869565245,0.0,0.0,False
highly enjoyable,17,0.5704588235294118,18.764705882352942,112.74411764705884,0.0,0.0,False
issues with advertisements,23,0.01178260869565218,25.26086956521739,78.00005928853757,0.0,0.0,False
keeps users busy/engaged,21,0.39353809523809524,36.0,84.50897495361784,0.0,0.047619047619047616,False
long-term gameplay enjoyment,21,0.6102142857142857,46.476190476190474,103.42861329380239,0.0,0.0,False
lost boosters/update issues,14,0.13547857142857142,165.85714285714286,78.68827597668242,0.0,0.35714285714285715,False
lost win streak issues,10,0.44638,170.1,81.89950945757695,0.5,0.1,True
lots of fun,31,0.568141935483871,20.451612903225808,109.48028256124184,0.0,0.03225806451612903,False
