merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
"""addictive gameplay""",0.0016,0.0012,0.0,0.0038,0.0014,0.001,0.0
"""best application praise""",0.0,0.0,0.0,0.0008,0.006,0.0,0.0002
"""best game ever""",0.0,0.0,0.0,0.0018,0.001,0.0,0.0
"""engaging game experience""",0.0,0.0,0.0,0.0042,0.0012,0.0,0.0002
"""extra moves and ads""",0.0004,0.0002,0.0,0.0002,0.001,0.0004,0.0006
"""fruit themed game reviews""",0.0002,0.0,0.0,0.0028,0.0006,0.0004,0.0
"""fun and amazing""",0.0,0.0,0.0,0.0026,0.0,0.0,0.0
"""fun and entertaining""",0.0,0.0,0.0,0.0032,0.0,0.0,0.0
"""fun entertainment""",0.0,0.0002,0.0,0.0046,0.0,0.0,0.0
"""game quality and difficulty""",0.0,0.0,0.0002,0.0,0.0058,0.0,0.0
"""interesting content""",0.0,0.0002,0.0,0.0004,0.0002,0.0,0.0024
"""neutral or okay reviews""",0.0,0.0,0.0,0.0,0.0074,0.0,0.0
"""non-stop fun""",0.0,0.0002,0.0,0.014,0.0004,0.0004,0.0
"""stress relief enjoyment""",0.0,0.0,0.0,0.0002,0.0024,0.0,0.0
Unknown,0.0088,0.0064,0.0014,0.0994,0.0408,0.0276,0.0142
ad issues,0.0038,0.0018,0.0002,0.0086,0.0094,0.0064,0.0016
app crashing issues,0.0,0.0002,0.0,0.0002,0.0002,0.0044,0.0004
app launching issues,0.0,0.0,0.0,0.0,0.0,0.0022,0.0006
app opening issues/bugs,0.0,0.0,0.0,0.0,0.0006,0.0024,0.0006
app updates and improvements,0.0,0.0,0.0,0.0054,0.0014,0.0004,0.0006
appreciation for game/app,0.0,0.0,0.0,0.0006,0.0018,0.0,0.0
awesome cool game,0.0,0.0,0.0,0.004,0.0,0.0,0.0
beautiful game reviews,0.0002,0.0,0.0,0.0026,0.0002,0.0002,0.0
booster issues and usage,0.0006,0.0,0.0,0.0016,0.0006,0.001,0.0002
brain-stimulating fun,0.0,0.0,0.0,0.0026,0.0002,0.0,0.0
bug and update issues,0.0002,0.0002,0.0,0.0006,0.0012,0.0058,0.0006
challenging fun game,0.0,0.0,0.0002,0.0104,0.001,0.0004,0.0
connection/internet issues,0.0002,0.0,0.0002,0.0,0.0006,0.0014,0.0008
cost and payment concerns,0.0002,0.0,0.0002,0.0006,0.0014,0.0006,0.0002
cute game graphics,0.0,0.0,0.0,0.004,0.0,0.0,0.0
daily game play enjoyment,0.0002,0.0,0.0,0.0042,0.0006,0.0002,0.0
difficulty level & strategy,0.0,0.0002,0.0006,0.0016,0.0048,0.0008,0.0006
