merged_topic_label,total_reviews,avg_vader_sentiment,avg_text_length,avg_readability,bug_keyword_rate,request_keyword_rate,pain_point_flag
"""addictive gameplay""",45,0.2752644444444445,30.755555555555556,20.78046573344099,0.0,0.9333333333333333,True
"""best application praise""",35,0.6231885714285715,7.885714285714286,103.31557142857145,0.0,0.0,False
"""best game ever""",14,0.763257142857143,24.357142857142858,103.07178571428574,0.0,0.0,False
"""engaging game experience""",28,0.5494571428571429,30.714285714285715,46.02591836734696,0.0,0.0,False
"""extra moves and ads""",14,0.013835714285714276,171.64285714285714,78.9676963345289,0.07142857142857142,0.14285714285714285,False
"""fruit themed game reviews""",20,0.5716,88.15,82.1825508766904,0.0,0.1,False
"""fun and amazing""",13,0.6171076923076924,13.23076923076923,114.40038461538464,0.0,0.0,False
"""fun and entertaining""",16,0.57839375,11.125,76.64312500000001,0.0,0.0,False
"""fun entertainment""",24,0.5085750000000001,13.625,104.0760984848485,0.0,0.0,False
"""game quality and difficulty""",30,0.06053666666666667,22.633333333333333,117.76978571428573,0.0,0.0,False
"""interesting content""",16,0.45471875,15.5,-18.0873214285714,0.0,0.0,False
"""neutral or okay reviews""",37,0.3067324324324324,6.405405405405405,45.705135135135166,0.0,0.02702702702702703,False
"""non-stop fun""",75,0.4819173333333334,4.386666666666667,117.95486666666669,0.0,0.0,False
"""stress relief enjoyment""",13,0.19063846153846153,39.07692307692308,80.48615384615385,0.0,0.0,False
Unknown,993,0.4206629405840886,94.4380664652568,80.08380326604475,0.05840886203423968,0.08358509566968782,False
ad issues,159,0.15660943396226415,142.70440251572327,81.8592150291074,0.13836477987421383,0.1069182389937107,False
app crashing issues,27,0.0714925925925926,72.14814814814815,79.68431713711126,0.8888888888888888,0.07407407407407407,True
app launching issues,14,0.0022642857142857187,104.28571428571429,95.72647987791196,0.07142857142857142,0.42857142857142855,True
app opening issues/bugs,18,-0.005299999999999999,73.94444444444444,87.82937088660077,0.4444444444444444,0.16666666666666666,True
app updates and improvements,39,0.7072820512820512,68.3076923076923,86.57014455475182,0.02564102564102564,0.1282051282051282,False
appreciation for game/app,12,0.49832499999999996,7.083333333333333,120.96625000000002,0.0,0.0,False
awesome cool game,20,0.534595,11.5,89.83925000000002,0.0,0.0,False
beautiful game reviews,16,0.52245625,13.4375,64.60875000000001,0.0,0.0,False
booster issues and usage,20,0.40751499999999996,175.7,78.46261188720852,0.1,0.15,False
brain-stimulating fun,14,0.4537571428571429,46.92857142857143,70.22370433138292,0.0,0.0,False
bug and update issues,43,0.1271325581395349,85.34883720930233,84.21369811797513,0.4186046511627907,0.20930232558139536,True
challenging fun game,60,0.7319966666666667,69.91666666666667,75.76467201425186,0.0,0.03333333333333333,False
