merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
Ad Experience,0.0024,0.0024,0.0002,0.009,0.0198,0.0254,0.0048
App Freezes and Loading Issues,0.0038,0.0042,0.001,0.0266,0.0192,0.0244,0.0026
App Freezing Issues,0.005,0.0012,0.0006,0.0022,0.0104,0.0382,0.0044
App Opening Issues,0.0006,0.0002,0.0,0.0,0.002,0.005,0.0006
Booster Loss and Account Issues,0.006,0.0038,0.0018,0.0076,0.0474,0.009,0.0054
Challenging and Fun,0.002,0.0012,0.0006,0.0524,0.0082,0.0026,0.0008
Long-term Enjoyment,0.0008,0.0004,0.0002,0.0868,0.0106,0.0024,0.0018
Positive Feedback,0.002,0.007,0.0008,0.0288,0.047,0.005,0.0018
Positive Game Feedback,0.0268,0.019,0.0048,0.0862,0.086,0.1116,0.0266
Positive Praise,0.0004,0.0002,0.0002,0.0266,0.0456,0.0008,0.0048
