merged_topic_label,negative_proportion,total_reviews,pain_point_flag
Ad Experience,0.475,320,True
App Freezes and Loading Issues,0.4083129584352078,409,True
App Freezing Issues,0.7258064516129032,310,True
App Opening Issues,0.6904761904761905,42,True
Booster Loss and Account Issues,0.254320987654321,405,False
Challenging and Fun,0.0943952802359882,339,False
Long-term Enjoyment,0.036893203883495145,515,False
Positive Feedback,0.16017316017316016,462,False
Positive Game Feedback,0.44930747922437675,1805,True
Positive Praise,0.020356234096692113,393,False
