merged_topic_label,total_reviews,avg_vader_sentiment,avg_text_length,avg_readability,bug_keyword_rate,request_keyword_rate,pain_point_flag
Unknown,1043,0.24163317353787153,117.7698945349952,78.80564158304728,0.09491850431447747,0.11888782358581017,False
account access issue,20,0.020445000000000005,94.6,90.64611781132106,0.05,0.2,True
ad experience and interruptions,92,0.08266521739130434,177.75,81.06259963036663,0.10869565217391304,0.18478260869565216,True
addictive gameplay,33,0.15731515151515152,21.636363636363637,11.39281385281388,0.0,0.8484848484848485,True
app closing issues,47,0.11112553191489362,82.65957446808511,90.53691195704756,0.0425531914893617,0.1276595744680851,True
app compatibility issues,79,0.07007594936708861,126.15189873417721,84.02776652605195,0.12658227848101267,0.24050632911392406,True
app crashes,53,-0.07403962264150944,62.81132075471698,76.76552126027123,0.9622641509433962,0.09433962264150944,True
app crashes and bugs,98,0.02779591836734694,102.1938775510204,83.76708025738535,0.9693877551020408,0.09183673469387756,True
app design and bugs,15,-0.07580666666666666,83.26666666666667,52.62693465161958,0.0,0.0,False
app freezing issues,59,0.021228813559322032,91.94915254237289,85.21224263746531,0.4406779661016949,0.1016949152542373,True
app functionality issues,20,0.059325,30.8,108.30162500000002,0.0,0.0,False
app malfunction,20,-0.053495,23.95,86.75800000000001,0.05,0.0,True
app opening issues,19,-0.09421052631578948,41.21052631578947,74.10576680936794,0.10526315789473684,0.0,True
app recommendations,39,0.5867461538461538,49.23076923076923,85.95045652556875,0.0,0.02564102564102564,False
booster issues,21,0.27980476190476194,101.52380952380952,83.78449248347881,0.047619047619047616,0.09523809523809523,True
booster loss issues,17,-0.04504117647058822,243.47058823529412,79.26591865013019,0.058823529411764705,0.058823529411764705,True
building and holiday events,16,0.4448125,161.0625,82.64654690727002,0.0,0.3125,True
challenging fun,42,0.3030142857142857,33.45238095238095,47.714055091733684,0.0,0.023809523809523808,False
connectivity issues,23,-0.005591304347826081,125.04347826086956,76.74171703276639,0.21739130434782608,0.043478260869565216,True
customer affection,85,0.6342541176470589,9.847058823529412,116.445324929972,0.0,0.0,False
customer appreciation,16,0.8187,19.3125,110.81125000000002,0.0,0.0,False
customer satisfaction,22,0.3436045454545455,10.954545454545455,117.26477272727274,0.0,0.0,False
daily puzzle challenges,25,0.461688,96.48,73.92537751173013,0.0,0.04,False
device transition and memory,20,0.44460500000000003,118.15,87.37036976342803,0.0,0.0,False
dislike of new version,126,-0.12624761904761905,133.79365079365078,85.30569169590413,0.007936507936507936,0.15079365079365079,True
download issues and unwanted pop-ups,13,-0.07285384615384616,21.615384615384617,77.66945054945057,0.0,0.07692307692307693,True
enjoyable and simple game,17,0.5697411764705883,32.76470588235294,101.6262834224599,0.0,0.0,False
enjoyable experience,47,0.516072340425532,5.361702127659575,112.34606382978725,0.0,0.0,False
enjoyable game,35,0.4344228571428571,9.514285714285714,120.9527142857143,0.0,0.0,False
enjoyable gameplay,54,0.6020537037037037,20.037037037037038,91.43419191919193,0.0,0.0,False
facebook connectivity issues,26,0.3299230769230769,171.84615384615384,80.49188685210463,0.19230769230769232,0.2692307692307692,False
fun and entertainment,49,0.5643265306122449,19.367346938775512,27.86431486880469,0.0,0.0,False
fun strategy game,29,0.5061206896551724,12.862068965517242,111.38344827586208,0.0,0.0,False
game addiction,36,0.4422,90.77777777777777,73.25850245819467,0.027777777777777776,1.0,False
game appreciation,52,0.6283384615384615,21.75,114.45606095176012,0.0,0.0,False
game cheating and sabotage,13,-0.24465384615384617,70.6923076923077,99.18621677521566,0.0,0.0,True
game difficulty,33,0.6438333333333334,64.78787878787878,81.36781378435926,0.0,0.0,False
game enjoyment,21,0.6470761904761905,25.80952380952381,92.48275510204083,0.0,0.0,False
game feedback,21,0.38310952380952384,11.761904761904763,86.2952380952381,0.0,0.0,False
game glitches and bugs,16,0.22186875,154.5625,79.57495370803774,1.0,0.1875,True
game loading & stability,54,0.37544074074074074,168.46296296296296,78.49129567932253,0.2037037037037037,0.3148148148148148,True
game opening & functionality,18,0.10210555555555557,104.83333333333333,86.61678591358539,0.1111111111111111,0.1111111111111111,True
game progression issues,30,0.15854666666666664,168.73333333333332,82.37885553145253,0.06666666666666667,0.06666666666666667,True
game updates and issues,16,0.15065625,158.5,81.90242175251723,0.125,0.0625,True
game visual changes,14,-0.10511428571428572,144.71428571428572,83.47768291089376,0.0,0.14285714285714285,True
gameplay issues,19,0.0044263157894736845,30.05263157894737,106.25257617728533,0.0,0.0,True
gold claim issues,115,-0.019591304347826088,186.7913043478261,82.94596482468104,0.08695652173913043,0.08695652173913043,True
halloween theme & crashes,31,0.28627096774193544,144.09677419354838,70.12310003707515,0.7419354838709677,0.2903225806451613,True
lack of engagement,23,-0.2509391304347826,21.391304347826086,60.62164596273295,0.0,0.0,True
level progression and rewards,58,0.24690172413793102,183.32758620689654,81.36876119719072,0.1206896551724138,0.20689655172413793,True
loading issues,55,0.022032727272727273,91.07272727272728,88.75938332151753,0.07272727272727272,0.10909090909090909,True
long-term enjoyment,45,0.6703311111111111,64.22222222222223,96.1453731114959,0.0,0.044444444444444446,False
long-term players,11,0.16975454545454546,31.545454545454547,93.37655844155846,0.0,0.0,False
