merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
"""addictive fun""",0.0,0.0,0.0,0.0034,0.0,0.0,0.0002
"""addictive gameplay""",0.0002,0.001,0.0,0.0008,0.0022,0.0008,0.0
"""app quality and features""",0.0,0.0,0.0,0.0002,0.0028,0.0,0.0
"""average user satisfaction""",0.0002,0.0,0.0,0.0,0.003,0.0002,0.0
"""best game ever""",0.0,0.0004,0.0,0.0014,0.0014,0.0,0.0006
"""boring app experience""",0.0,0.0008,0.0002,0.0002,0.0006,0.0008,0.0002
"""cool"" reactions",0.0,0.0,0.0,0.0004,0.0072,0.0,0.0
"""enjoyable fun experience""",0.0,0.0,0.0,0.0046,0.0,0.0,0.0002
"""fun and entertaining""",0.0,0.0,0.0,0.0054,0.0,0.0,0.0
"""fun gameplay experience""",0.0,0.0,0.0,0.0048,0.0006,0.0,0.0
"""gacha game criticisms""",0.0004,0.0006,0.0,0.0022,0.0012,0.0008,0.0
"""mixed quality feedback""",0.0,0.0032,0.0,0.0,0.0012,0.0002,0.0
"""p2w (pay-to-win) criticism""",0.0004,0.0004,0.0,0.0014,0.002,0.001,0.0
"""rimuru character requests""",0.0,0.0002,0.0,0.0004,0.0054,0.0014,0.0008
"""solid pay-to-win game""",0.0,0.0,0.0,0.0014,0.0008,0.0,0.0
"""time wasting apps""",0.0002,0.0004,0.0,0.002,0.0004,0.0002,0.0
Unknown,0.0038,0.009,0.0014,0.0952,0.059,0.0164,0.01
account and purchases issues,0.0,0.0,0.0,0.0,0.0022,0.0,0.0
account recovery issues,0.0034,0.0014,0.0004,0.004,0.01,0.0178,0.0044
addictive gameplay experience,0.0,0.0,0.0002,0.0098,0.0022,0.0014,0.0
affirmative responses,0.0,0.0004,0.0,0.0,0.0022,0.0,0.0
afk arena game issues,0.0022,0.0026,0.0002,0.0164,0.0114,0.0036,0.0014
anime character crossovers,0.0,0.0,0.0,0.0036,0.0004,0.0002,0.0
app permissions and updates,0.0002,0.0004,0.0002,0.0042,0.0012,0.0,0.0
appreciation for coolness,0.0,0.0,0.0,0.0022,0.0,0.0,0.0
