merged_topic_label,negative_proportion,total_reviews,pain_point_flag
"""app performance evaluation""",0.0,56,False
"""best game ever""",0.0,16,False
"""carrom game appreciation""",0.08333333333333333,48,False
"""expressions of amazement""",0.0,41,False
"""good app reviews""",0.0,22,False
"""hackers and miniclip issues""",0.6428571428571429,14,True
"""hackers in carrom game""",0.7272727272727273,11,True
"""interesting game experience""",0.04,25,False
"""mind-blowing relaxing games""",0.0,23,False
"""neutral or indifferent responses""",0.05,60,False
"""op game reviews""",0.07142857142857142,14,False
"""positive game reviews""",0.05128205128205128,39,False
"""super wow reactions""",0.0,46,False
"""worst game complaints""",1.0,22,True
Unknown,0.30592734225621415,523,False
ad complaints,0.07142857142857142,56,False
ad problems,0.3333333333333333,18,False
ad removal issues,0.28205128205128205,39,False
app functionality and algorithm issues,0.5384615384615384,13,True
app functionality issues,0.30952380952380953,42,False
app quality feedback,0.02857142857142857,35,False
appreciation for app features,0.0,17,False
autoplay and hacking issues,0.5555555555555556,72,True
awesome feedback,0.0,15,False
beautiful easy games,0.0,14,False
best game reviews,0.047058823529411764,85,False
carrom board features,0.07692307692307693,13,False
carrom disc pool game,0.09523809523809523,21,False
carrom game experience,0.025,40,False
carrom pool game reviews,0.043478260869565216,23,False
concerns about hackers,0.5258620689655172,116,True
emoji feedback,0.3333333333333333,12,False
emojis and non-english words,0.0,202,False
enjoyment satisfaction,0.0,13,False
entertainment value,0.12121212121212122,33,False
excessive ads,0.43636363636363634,55,True
excessive ads complaints,0.43373493975903615,166,True
excessive advertisements,0.9090909090909091,11,True
excessive hacking complaints,0.17647058823529413,17,False
expressions of gratitude,0.0,16,False
favorite game praise,0.0,14,False
game appreciation,0.0,14,False
game features and updates,0.0,14,False
game love/appreciation,0.09090909090909091,11,False
game performance and improvement,0.05555555555555555,18,False
game quality comments,0.1517509727626459,257,False
game reviews and feedback,0.1111111111111111,18,False
gameplay issues and updates,0.8,20,True
gem appreciation,0.0,14,False
good game reviews,0.6923076923076923,13,True
inappropriate and excessive ads,0.5526315789473685,38,True
incomprehensible feedback,0.0,15,False
indian cricket game issues,0.13636363636363635,22,False
mixed quality reviews,0.5384615384615384,13,True
negative game reviews,0.8918918918918919,37,True
negative reviews,0.9473684210526315,19,True
negative user experience,0.5,12,True
network and connection issues,0.5555555555555556,18,True
nice game appreciation,0.0,100,False
nice game reviews,0.0,184,False
passing time enjoyably,0.0,19,False
positive adjectives,0.037037037037037035,27,False
positive app feedback,0.0,79,False
positive experience,0.0,151,False
positive feedback,0.0022396416573348264,893,False
positive feedback and suggestions,0.07547169811320754,53,False
positive feedback/reactions,0.041666666666666664,24,False
positive feedback/reviews,0.07407407407407407,27,False
positive game reviews,0.013215859030837005,454,False
positive short responses,0.16666666666666666,12,False
positive short reviews,0.047619047619047616,21,False
praise for app performance,0.058823529411764705,17,False
praise for game quality,0.0625,32,False
star rating discussion,0.25,20,False
stress relief games,0.5,16,True
super game praise,0.0,14,False
super game reviews,0.0,61,False
supper game,0.0,13,False
time passing apps,0.08333333333333333,24,False
time-passing games,0.027777777777777776,36,False
very nice reviews,0.029411764705882353,34,False
worldwide game quality,0.05555555555555555,18,False
