merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
"""adding voice chat to minecraft""",0.0,0.0,0.0,0.0,0.005,0.0,0.0
"""bedrock vs java edition complaints""",0.0,0.0006,0.0002,0.0028,0.0064,0.002,0.0016
"""best game forever""",0.0,0.0,0.0,0.0012,0.0018,0.0,0.0
"""best game in world""",0.0,0.0,0.0,0.0034,0.0002,0.0,0.0002
"""best game praise""",0.0,0.0,0.0,0.0012,0.005,0.0,0.0006
"""best game reviews""",0.0,0.0,0.0,0.0014,0.0022,0.0,0.0
"""best""",0.0,0.0002,0.0,0.0,0.0074,0.0,0.0
"""comparing roblox to other games""",0.0,0.0004,0.0,0.002,0.0006,0.0002,0.0004
"""excitement over app features""",0.0002,0.0,0.0,0.0024,0.0,0.0,0.0
"""favorite app praise""",0.0,0.0002,0.0,0.0012,0.003,0.0,0.0008
"""fun and enjoyable experience""",0.0,0.0004,0.0,0.0042,0.0002,0.0002,0.0002
"""game appreciation""",0.0,0.0,0.0,0.01,0.0004,0.0002,0.0002
"""high praise for game""",0.0002,0.0,0.0,0.0008,0.0006,0.0,0.0016
"""minecraft download issues""",0.0004,0.0006,0.0,0.0004,0.0028,0.0068,0.0012
"""minecraft game feedback""",0.0,0.0002,0.0002,0.0068,0.002,0.001,0.0002
"""minecraft game reviews""",0.0,0.0,0.0,0.0024,0.0022,0.0004,0.0012
"""minecraft installation issues""",0.0,0.0002,0.0,0.0008,0.005,0.0002,0.0
"""minecraft mobile performance issues""",0.0,0.0,0.0002,0.0012,0.0022,0.0038,0.0004
"""mobile and pc gaming experience""",0.0,0.0,0.0,0.002,0.0004,0.0004,0.0002
"""mojang game appreciation""",0.0,0.0,0.0,0.0038,0.0014,0.0,0.0004
"""opinion on app""",0.0,0.0,0.0,0.0,0.0058,0.0,0.0
"""opinion on game performance""",0.0,0.0002,0.0,0.0004,0.0048,0.0,0.0002
"""positive game reviews""",0.0,0.0,0.0,0.0052,0.0,0.0002,0.0
"""request for voice chat feature""",0.0,0.0002,0.0,0.001,0.0096,0.0002,0.0002
"""requests for free mods""",0.0,0.0,0.0,0.001,0.0012,0.0004,0.0008
"""technoblade never dies"" theme",0.0002,0.0,0.0,0.0004,0.0022,0.001,0.0002
"""voice chat in bedrock edition""",0.0,0.0,0.0,0.0004,0.0038,0.0002,0.0
"""wow factor""",0.0,0.0,0.0,0.0,0.0,0.0,0.002
Unknown,0.0092,0.0052,0.0034,0.0978,0.0696,0.0386,0.018
