merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
"""appreciation of app""",0.0,0.0,0.0,0.0008,0.0152,0.0002,0.0002
"""boredom and family play""",0.0,0.0,0.0,0.0024,0.0004,0.002,0.0
"""enjoyable action game""",0.0002,0.0,0.0,0.005,0.0002,0.0,0.0
"""fun and enjoyable gameplay""",0.0,0.0,0.0,0.004,0.0,0.0,0.0
"""fun and enjoyable""",0.0002,0.0,0.0,0.004,0.0,0.0,0.0
"""fun experience""",0.0,0.0,0.0,0.0054,0.0,0.0,0.0
"""fun game reviews""",0.0002,0.0,0.0,0.0152,0.0002,0.0002,0.0002
"""interesting features""",0.0,0.0002,0.0,0.0006,0.0006,0.0,0.0008
"""interesting game reviews""",0.0,0.0,0.0,0.0022,0.0008,0.0,0.0002
"""nice game reviews""",0.0,0.0002,0.0,0.0138,0.0002,0.0,0.0002
Unknown,0.0082,0.0062,0.002,0.1196,0.0312,0.022,0.0088
ad presence and frequency,0.0006,0.0002,0.0,0.0046,0.0018,0.0004,0.0002
addictive gameplay,0.0046,0.0018,0.0002,0.0192,0.0044,0.0022,0.0012
addictive slot machine games,0.0,0.0002,0.0,0.006,0.0006,0.0002,0.0
app functionality issues,0.0008,0.0006,0.0,0.0028,0.0074,0.0116,0.0012
awesome game appreciation,0.0,0.0,0.0,0.0042,0.0002,0.0,0.0
best game ever,0.0002,0.0,0.0,0.0044,0.0022,0.0,0.0006
best game reviews,0.0002,0.0,0.0,0.0008,0.0044,0.0,0.0004
best pokies reviews,0.0,0.0,0.0,0.0002,0.004,0.0,0.0
can't stop playing,0.0002,0.0,0.0,0.001,0.0002,0.0012,0.0
card and joker issues,0.0002,0.0002,0.0,0.0014,0.0028,0.0018,0.0006
coin master game enjoyment,0.0002,0.0,0.0002,0.0134,0.0022,0.0008,0.0004
coin master game love,0.0,0.0,0.0,0.002,0.0026,0.0004,0.0002
cool app experience,0.0,0.0,0.0,0.001,0.0052,0.0,0.0002
cool game appreciation,0.0,0.0002,0.0,0.0032,0.002,0.0,0.0002
desire for more spins,0.0006,0.0,0.0002,0.0086,0.0032,0.0032,0.0006
easy and fun learning,0.0,0.0004,0.0002,0.005,0.0018,0.0,0.0
easy gameplay experience,0.0,0.0,0.0,0.006,0.0022,0.0004,0.0
engaging social game,0.0002,0.0,0.0,0.0044,0.0008,0.0,0.0
enjoyable game experience,0.0,0.0,0.0,0.0036,0.0,0.0,0.0
enjoying the game,0.0,0.0,0.0,0.006,0.0002,0.0,0.0004
enjoyment of app,0.0,0.0,0.0,0.0038,0.0004,0.0,0.0
enjoyment of game,0.0,0.0,0.0,0.0084,0.0,0.0,0.0
entertaining and profitable,0.0,0.0,0.0,0.0026,0.0,0.0,0.0
