merged_topic_label,negative_proportion,total_reviews,pain_point_flag
"""appreciation of app""",0.012195121951219513,82,False
"""boredom and family play""",0.4166666666666667,24,True
"""enjoyable action game""",0.037037037037037035,27,False
"""fun and enjoyable gameplay""",0.0,20,False
"""fun and enjoyable""",0.047619047619047616,21,False
"""fun experience""",0.0,27,False
"""fun game reviews""",0.025,80,False
"""interesting features""",0.09090909090909091,11,False
"""interesting game reviews""",0.0,16,False
"""nice game reviews""",0.013888888888888888,72,False
Unknown,0.19393939393939394,990,False
ad presence and frequency,0.15384615384615385,39,False
addictive gameplay,0.2619047619047619,168,False
addictive slot machine games,0.05714285714285714,35,False
app functionality issues,0.5327868852459017,122,True
awesome game appreciation,0.0,22,False
best game ever,0.02702702702702703,37,False
best game reviews,0.034482758620689655,29,False
best pokies reviews,0.0,21,False
can't stop playing,0.5384615384615384,13,True
card and joker issues,0.3142857142857143,35,False
coin master game enjoyment,0.06976744186046512,86,False
coin master game love,0.07692307692307693,26,False
cool app experience,0.0,32,False
cool game appreciation,0.03571428571428571,28,False
desire for more spins,0.24390243902439024,82,False
easy and fun learning,0.08108108108108109,37,False
easy gameplay experience,0.046511627906976744,43,False
engaging social game,0.037037037037037035,27,False
enjoyable game experience,0.0,18,False
enjoying the game,0.0,33,False
enjoyment of app,0.0,21,False
enjoyment of game,0.0,42,False
entertaining and profitable,0.0,13,False
entertainment value,0.16666666666666666,18,False
excellent reviews,0.0,22,False
excessive pop-ups complaints,0.5588235294117647,34,True
"exciting, fast-paced entertainment",0.0,20,False
"exciting, tactical gameplay",0.0,13,False
expressive interjections,0.1,20,False
favorite game app,0.0,16,False
favorite games,0.0,22,False
fun and enjoyment,0.0,13,False
fun experience,0.006711409395973154,149,False
fun experience changes,0.08333333333333333,24,False
fun game experience,0.03571428571428571,28,False
fun gaming experience,0.0,15,False
fun idle game,0.0,11,False
game currency management,0.21428571428571427,14,False
game level difficulty & rewards,0.1111111111111111,18,False
general approval,0.0,17,False
general feedback,0.01639344262295082,244,False
highly enjoyable,0.0,15,False
initial positive impressions,0.03571428571428571,28,False
long-term game enjoyment,0.0,11,False
love and enjoyment,0.75,12,True
love for game,0.020202020202020204,99,False
love for the game,0.018867924528301886,53,False
multilingual reviews,0.14285714285714285,70,False
negative game reviews,1.0,14,True
neutral/acceptable experience,0.0,74,False
nice game reviews,0.06666666666666667,15,False
pet outfit sets,0.0,13,False
playing with friends,0.025974025974025976,77,False
positive app feedback,0.030303030303030304,33,False
positive app reviews,0.0,28,False
positive feedback,0.010309278350515464,388,False
positive feedback/reactions,0.0,20,False
positive feedback/reviews,0.03125,32,False
positive fun experience,0.0,21,False
positive game feedback,0.0,15,False
positive game reviews,0.01529051987767584,327,False
positive game updates and experience,0.038461538461538464,26,False
positive gameplay reviews,0.0,12,False
positive reactions,0.011764705882352941,85,False
positive recommendations,0.0,28,False
praise for game quality,0.0,21,False
purchase and refund issues,0.5666666666666667,30,True
relaxation and stress relief,0.14285714285714285,35,False
reward and bonus issues,0.23333333333333334,30,False
satisfaction with quality,0.03571428571428571,28,False
scam and fraud complaints,0.75,20,True
spending money on app,0.29069767441860467,86,False
spin and event glitches,0.6333333333333333,30,True
starting the game,0.09090909090909091,11,False
stress relief and relaxation,0.03571428571428571,28,False
superb quality,0.0,11,False
time killing fun,0.13043478260869565,23,False
time passing entertainment,0.06521739130434782,46,False
village building game experience,0.07142857142857142,28,False
