merged_topic_label,total_reviews,avg_vader_sentiment,avg_text_length,avg_readability,bug_keyword_rate,request_keyword_rate,pain_point_flag
Addiction Concerns,197,0.40047005076142134,50.63451776649746,49.37382871291358,0.005076142131979695,0.9137055837563451,False
App Loading & Facebook Issues,754,0.3248005305039788,139.22015915119363,80.66717878901217,0.10875331564986737,0.13527851458885942,False
Casual Affirmations,272,0.19220404411764705,35.17279411764706,71.52600905651762,0.014705882352941176,0.029411764705882353,False
Enjoyment of the game,300,0.6663413333333333,31.486666666666668,102.40934050798447,0.0,0.01,False
Fun and Quick Experience,442,0.571368778280543,15.160633484162895,79.90988665300516,0.0,0.0022624434389140274,False
Mixed Feelings,639,0.4404538341158059,14.364632237871675,109.22400879765587,0.001564945226917058,0.001564945226917058,False
Positive Feedback,445,0.5346040449438202,7.393258426966292,71.50580898876407,0.0,0.0,False
Positive Game Experience,294,0.5581221088435374,12.166666666666666,102.00860787172013,0.0,0.003401360544217687,False
User Appreciation,331,0.5602782477341389,15.051359516616314,109.73504210781005,0.0,0.0030211480362537764,False
User Experience,1242,0.5027445249597423,76.9927536231884,89.78513507210816,0.03864734299516908,0.0861513687600644,False
