merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
Unknown,0.0188,0.0146,0.0042,0.0772,0.1132,0.0596,0.0238
account recovery issues,0.0006,0.0,0.0,0.0,0.001,0.002,0.001
app crashes,0.0002,0.0,0.0002,0.0002,0.001,0.005,0.0004
app discontinuation,0.0002,0.0002,0.0,0.0,0.0008,0.0012,0.0004
app not opening,0.0002,0.0,0.0,0.0,0.0014,0.0032,0.0004
app quality,0.0,0.0,0.0,0.0012,0.0032,0.0002,0.0002
app shutdown sadness,0.0006,0.0002,0.0002,0.0,0.0004,0.0016,0.0
app size concerns,0.0004,0.0002,0.0,0.001,0.0034,0.0016,0.0008
battle royale features,0.0,0.0002,0.0,0.003,0.002,0.0004,0.0006
battle royale gameplay,0.0,0.0002,0.0002,0.0028,0.0016,0.0008,0.0002
bot match issues,0.0,0.0006,0.0,0.0004,0.0024,0.0012,0.0
bug reports and glitches,0.0002,0.0,0.0,0.0002,0.002,0.0008,0.0002
call of duty comparisons,0.0,0.0008,0.0,0.0018,0.0014,0.0002,0.0008
character customization and outfits,0.0,0.0004,0.0,0.0012,0.0006,0.0,0.0004
cheater complaints,0.001,0.0006,0.0,0.0004,0.0012,0.0004,0.0
cheating and cheaters,0.0016,0.0032,0.0,0.0004,0.0026,0.0002,0.0006
cheating and developer response,0.001,0.0018,0.0,0.0,0.0008,0.0006,0.0002
cheating issues,0.002,0.0014,0.0,0.0016,0.0022,0.0016,0.0
controller support,0.0,0.0,0.0,0.0002,0.0014,0.0002,0.0004
cr7 op,0.0,0.0,0.0,0.0,0.0024,0.0,0.0
cross-platform play,0.0018,0.0,0.0,0.0014,0.0026,0.0016,0.001
customer love and suspense,0.0,0.0,0.0002,0.0008,0.0016,0.0,0.0
cyber hunter appreciation,0.0008,0.0004,0.0002,0.008,0.0098,0.0028,0.001
download delays,0.0002,0.0004,0.0,0.0002,0.0006,0.001,0.0002
download problems,0.0002,0.0,0.0,0.0,0.0028,0.0028,0.0002
download size and data usage,0.0002,0.0008,0.0,0.0014,0.0012,0.0014,0.001
download/installation issues,0.0002,0.0,0.0,0.0,0.0012,0.0016,0.0006
enjoyable fun,0.0002,0.0004,0.0,0.004,0.0,0.0008,0.0002
enjoyable game,0.0,0.0002,0.0,0.005,0.0006,0.0002,0.0
expressive reactions,0.0,0.0,0.0,0.0004,0.0004,0.0,0.0048
file retrieval errors,0.0004,0.0002,0.0,0.0,0.0004,0.0012,0.0006
