merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
Enjoyable Experience,0.0006,0.0018,0.0,0.0098,0.0284,0.0006,0.0018
Game Enjoyment,0.0002,0.0002,0.0002,0.0232,0.0062,0.0,0.0014
Game Enthusiasm,0.0,0.0002,0.0006,0.0014,0.0228,0.0006,0.001
Game Nostalgia,0.0028,0.004,0.0008,0.0464,0.0302,0.014,0.0054
Gameplay Access Issues,0.0052,0.004,0.0012,0.0138,0.0432,0.0466,0.0124
Impressive Graphics,0.0,0.0004,0.0,0.019,0.0064,0.001,0.0012
Other,0.0164,0.0104,0.0024,0.1584,0.1062,0.1106,0.0394
Positive Feedback,0.0004,0.0014,0.0002,0.0328,0.044,0.0,0.013
Positive Game Feedback,0.0,0.0004,0.0,0.0686,0.0042,0.0008,0.0036
Server Connection Issues,0.0004,0.0,0.0002,0.0008,0.0078,0.0152,0.0034
