merged_topic_label,total_reviews,avg_vader_sentiment,avg_text_length,avg_readability,bug_keyword_rate,request_keyword_rate,pain_point_flag
Enjoyable Experience,215,0.4057660465116279,7.027906976744186,97.70051162790699,0.0,0.0,False
Game Enjoyment,157,0.617951592356688,28.636942675159236,82.81522424510904,0.0,0.025477707006369428,False
Game Enthusiasm,133,0.17089624060150374,17.2406015037594,60.0275859291085,0.0,0.022556390977443608,False
Game Nostalgia,518,0.4160611969111969,68.45945945945945,87.44219663361224,0.011583011583011582,0.10810810810810811,False
Gameplay Access Issues,632,0.15268386075949367,119.01898734177215,75.44563667053089,0.15981012658227847,0.18354430379746836,True
Impressive Graphics,140,0.6148199999999999,44.0,74.41392090200087,0.0,0.0,False
Other,2219,0.36720743578188375,120.74447949526814,80.88026380710582,0.08201892744479496,0.13564668769716087,False
Positive Feedback,459,0.5201479302832244,11.769063180827887,84.40711668505789,0.0,0.004357298474945534,False
Positive Game Feedback,388,0.5210574742268042,14.966494845360824,102.49704988954346,0.0,0.002577319587628866,False
Server Connection Issues,139,0.12497410071942447,148.9640287769784,64.78204030550826,0.23741007194244604,0.26618705035971224,True
