merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
Unknown,0.0048,0.014,0.0014,0.1498,0.0646,0.045,0.0154
account and data issues,0.0004,0.0,0.0004,0.0002,0.0026,0.0048,0.0014
addictive fun,0.0,0.0,0.0,0.001,0.0004,0.0008,0.0002
anime & music appreciation,0.0002,0.0002,0.0,0.0038,0.0014,0.0,0.0002
anime-style characters,0.0,0.0,0.0,0.0006,0.0018,0.0002,0.0002
app launch & display issues,0.0,0.0004,0.0,0.0006,0.0052,0.006,0.0012
casual beat 'em up,0.0,0.0004,0.0,0.0054,0.001,0.0,0.0
casual/affirmation phrases,0.0002,0.0002,0.0,0.0,0.0026,0.0,0.0
character design & lore,0.0,0.0,0.0,0.0024,0.0002,0.0,0.0004
co-op and grind issues,0.002,0.0014,0.0004,0.0058,0.0062,0.0022,0.0004
connectivity issues,0.0004,0.0004,0.0,0.0004,0.0042,0.005,0.0006
daoko soundtrack,0.0,0.0,0.0,0.0018,0.0012,0.0006,0.0
developer support and generosity,0.0,0.0004,0.0,0.0044,0.001,0.0006,0.0002
download size concerns,0.0004,0.0,0.0,0.0002,0.0044,0.001,0.0016
dragon-themed characters,0.0006,0.0006,0.0,0.009,0.003,0.0008,0.0006
easy and fun,0.0,0.0,0.0,0.0028,0.0006,0.0,0.0002
easy controls & story,0.0,0.0,0.0,0.002,0.0004,0.0,0.0006
engaging story,0.0,0.0,0.0,0.0062,0.001,0.0,0.0004
engaging storyline,0.0002,0.0002,0.0,0.0064,0.001,0.0,0.0002
enjoyable experiences,0.0,0.0002,0.0,0.005,0.0002,0.0,0.0002
entertainment and fun,0.0002,0.0,0.0,0.008,0.0004,0.0,0.0
excitement and enthusiasm,0.0,0.0006,0.0,0.0002,0.0018,0.0,0.0006
f2p friendly gameplay,0.0004,0.0006,0.0,0.0164,0.0046,0.001,0.001
f2p-friendly gacha,0.0,0.0002,0.0002,0.0056,0.004,0.0004,0.0004
farewell and nostalgia,0.0,0.0,0.0,0.003,0.0036,0.0068,0.0004
fun and creative games,0.0,0.0,0.0,0.0086,0.0,0.0,0.0
fun gameplay,0.0,0.0,0.0,0.004,0.001,0.0002,0.0
gacha game appreciation,0.0002,0.0004,0.0,0.0084,0.0046,0.0006,0.0006
gacha game experience,0.0,0.0,0.0,0.006,0.001,0.0016,0.0004
gacha game praise,0.0016,0.004,0.0012,0.039,0.0166,0.0062,0.0032
gacha summoning experience,0.0024,0.002,0.0006,0.009,0.01,0.003,0.0016
game closure feelings,0.0,0.0,0.0002,0.0,0.0,0.0024,0.0002
game crashes,0.0004,0.0,0.0,0.001,0.0012,0.0036,0.0004
game endings and farewell,0.0,0.0,0.0,0.0016,0.0,0.0008,0.0004
game port requests,0.0,0.0,0.0,0.0032,0.0012,0.001,0.0006
