merged_topic_label,negative_proportion,total_reviews,pain_point_flag
Unknown,0.22101694915254239,1475,False
account and data issues,0.5714285714285714,49,True
addictive fun,0.3333333333333333,12,False
anime & music appreciation,0.06896551724137931,29,False
anime-style characters,0.07142857142857142,14,False
app launch & display issues,0.47761194029850745,67,True
casual beat 'em up,0.058823529411764705,34,False
casual/affirmation phrases,0.13333333333333333,15,False
character design & lore,0.0,15,False
co-op and grind issues,0.32608695652173914,92,False
connectivity issues,0.5272727272727272,55,True
daoko soundtrack,0.16666666666666666,18,False
developer support and generosity,0.15151515151515152,33,False
download size concerns,0.18421052631578946,38,False
dragon-themed characters,0.136986301369863,73,False
easy and fun,0.0,18,False
easy controls & story,0.0,15,False
engaging story,0.0,38,False
engaging storyline,0.05,40,False
enjoyable experiences,0.03571428571428571,28,False
entertainment and fun,0.023255813953488372,43,False
excitement and enthusiasm,0.1875,16,False
f2p friendly gameplay,0.08333333333333333,120,False
f2p-friendly gacha,0.07407407407407407,54,False
farewell and nostalgia,0.4927536231884058,69,True
fun and creative games,0.0,43,False
fun gameplay,0.038461538461538464,26,False
gacha game appreciation,0.08108108108108109,74,False
gacha game experience,0.17777777777777778,45,False
gacha game praise,0.181058495821727,359,False
gacha summoning experience,0.27972027972027974,143,False
game closure feelings,0.9285714285714286,14,True
game crashes,0.6060606060606061,33,True
game endings and farewell,0.2857142857142857,14,False
game port requests,0.16666666666666666,30,False
game praise,0.0,19,False
game shutdown and closure,0.6415094339622641,53,True
game update & developer feedback,0.024390243902439025,41,False
gameplay enjoyment,0.05194805194805195,77,False
generous gameplay,0.0,18,False
high storage usage,0.1896551724137931,58,False
in-game currency & payments,0.20689655172413793,58,False
in-game rewards & characters,0.030303030303030304,33,False
internet slang and memes,0.04,25,False
mega man crossovers,0.06060606060606061,33,False
missing the app,0.825,40,True
mixed impressions,0.06666666666666667,15,False
mixed opinions,0.16363636363636364,110,False
mobile game praise,0.09090909090909091,33,False
monster hunter collabs,0.0,20,False
music and characters,0.02857142857142857,70,False
negative product feedback,0.38461538461538464,13,False
nintendo games and frustration,0.21333333333333335,75,False
nostalgia and loss,0.7878787878787878,33,True
outstanding game quality,0.0,19,False
passing time,0.05555555555555555,18,False
performance and compatibility,0.28,25,False
persona event reactions,0.14285714285714285,14,False
player appreciation,0.25,152,False
poor controls,0.2916666666666667,24,False
positive app performance,0.0,23,False
positive exclamations,0.05555555555555555,18,False
positive feedback,0.0,111,False
positive game experience,0.0,81,False
positive game praise,0.08571428571428572,70,False
positive impressions,0.0,24,False
positive praise,0.08620689655172414,58,False
positive sentiment toward lgbtq+,0.029411764705882353,34,False
reroll & progression,0.15384615384615385,13,False
rpg action games,0.043478260869565216,23,False
story and graphics,0.0,10,False
top mobile game,0.06382978723404255,47,False
ultimate favorite game,0.0,34,False
update & installation issues,0.75,20,True
user ratings and reviews,0.12962962962962962,54,False
voice acting and localization,0.08108108108108109,37,False
weapon removal and update issues,0.6538461538461539,26,True
