merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
Ad Overload,0.0014,0.001,0.0002,0.004,0.0054,0.004,0.0026
Cat-themed game,0.0004,0.0004,0.0012,0.0724,0.0232,0.0026,0.005
Customer Appreciation,0.0002,0.0026,0.0006,0.0372,0.0548,0.0012,0.0034
Game Preferences,0.0002,0.0006,0.0,0.0006,0.0334,0.0,0.0006
Glitch and Horror Rumors,0.0018,0.0028,0.0098,0.0396,0.0132,0.009,0.0036
Other,0.0048,0.0074,0.0066,0.213,0.0866,0.0168,0.0154
Positive App Feedback,0.0006,0.0002,0.0002,0.011,0.0082,0.0008,0.0042
Positive Feedback,0.0002,0.005,0.0004,0.0452,0.0466,0.0022,0.0104
Talking Tom Game,0.0,0.0014,0.001,0.049,0.0142,0.0018,0.0038
User Experience Changes,0.0018,0.0006,0.0002,0.0258,0.0706,0.0028,0.0022
