merged_topic_label,negative_proportion,total_reviews,pain_point_flag
"""angela character interactions""",0.18181818181818182,11,False
"""best game reviews""",0.0,55,False
"""boring and glitchy game""",0.6428571428571429,28,True
"""cool and relaxing experience""",0.0,25,False
"""cute app features""",0.2413793103448276,29,False
"""cute tom cat appreciation""",0.06779661016949153,59,False
"""entertaining and interesting games""",0.07894736842105263,38,False
"""expressions of approval""",0.06153846153846154,65,False
"""fun experience""",0.03225806451612903,31,False
"""general user feedback""",0.0,11,False
"""positive game reviews""",0.0,61,False
"""scary glitches and bugs""",0.6391752577319587,97,True
"""snake game quality issues""",0.16666666666666666,12,False
"""tom character appreciation""",0.06,50,False
"""top performance evaluation""",0.020833333333333332,48,False
"""very good game""",0.02564102564102564,39,False
Unknown,0.1738562091503268,765,False
app appreciation,0.04477611940298507,67,False
app functionality and features,0.23076923076923078,13,False
app performance satisfaction,0.11538461538461539,26,False
app security concerns,0.3,10,False
appreciation for aesthetics,0.0,62,False
arabic game reviews,0.025,40,False
bengali app feedback,0.0,10,False
best features/appreciation,0.09523809523809523,21,False
best game ever,0.0,37,False
best game praise,0.041666666666666664,24,False
best gaming platform,0.0,12,False
cat themed games,0.1206896551724138,58,False
character's cuteness appreciation,0.05555555555555555,18,False
child-friendly app content,0.15789473684210525,19,False
childhood memories in games,0.1111111111111111,18,False
children's game reviews,0.04672897196261682,107,False
cool game reviews,0.0,21,False
desire for realism,0.0,19,False
download issues,0.2903225806451613,31,False
emotional expressions,0.15384615384615385,13,False
enjoyable productivity,0.02564102564102564,39,False
enjoyment and repetition,0.02631578947368421,38,False
exaggerated positive feedback,0.0,15,False
excessive ads complaints,0.3157894736842105,57,False
excessive advertisements,0.3409090909090909,44,False
expressions of amazement,0.0,33,False
expressions of love,0.16666666666666666,24,False
favorite game reviews,0.08333333333333333,24,False
foreign language reviews,0.04,25,False
fun gaming experience,0.07246376811594203,69,False
funny puzzle game,0.0,24,False
game appreciation,0.0,46,False
game enjoyed by siblings,0.10256410256410256,39,False
game performance feedback,0.25,12,False
game playing experience,0.07142857142857142,14,False
game quality and enjoyment,0.0,37,False
game quality and graphics,0.036585365853658534,82,False
game reviews in hindi,0.11510791366906475,139,False
game satisfaction,0.08333333333333333,12,False
gaming terms and reactions,0.0,15,False
good hack game reviews,0.0,19,False
high praise for game,0.0,21,False
high score praise,0.0,10,False
humor and interest,0.09375,64,False
in-app purchases complaints,0.18181818181818182,22,False
incomprehensible reviews,0.043478260869565216,23,False
kids-friendly apps,0.08108108108108109,37,False
mixed app feedback,0.6923076923076923,13,True
negative game reviews,1.0,18,True
negative user experience,0.9583333333333334,24,True
nice game reviews,0.020202020202020204,99,False
non-english reviews,0.0,22,False
offline gaming experience,0.05555555555555555,18,False
outfit7 app updates,0.20588235294117646,34,False
playing since childhood,0.021739130434782608,46,False
positive app feedback,0.0,54,False
positive app reviews,0.0625,16,False
positive feedback,0.007920792079207921,505,False
positive feedback/reactions,0.01098901098901099,182,False
positive game aesthetics,0.0,41,False
positive game reviews,0.008771929824561403,228,False
positive gaming experience,0.0,35,False
positive reactions,0.0,175,False
positive sentiment expressions,0.16666666666666666,24,False
rating and reviews,0.04,25,False
rating/star reviews,0.1,20,False
real money and coins issues,0.44,25,True
super enjoyment,0.0,20,False
super enthusiasm,0.0,71,False
talking tom app enjoyment,0.017543859649122806,57,False
talking tom game experience,0.05154639175257732,194,False
time pass games,0.0,20,False
