merged_topic_label,total_reviews,avg_vader_sentiment,avg_text_length,avg_readability,bug_keyword_rate,request_keyword_rate,pain_point_flag
Ad Overload,93,0.09659569892473117,67.52688172043011,83.32463094504233,0.021505376344086023,0.06451612903225806,False
Cat-themed game,526,0.5953655893536122,43.61977186311787,98.50169314648535,0.0,0.02091254752851711,False
Customer Appreciation,500,0.5002838,11.274,70.29856964285716,0.0,0.002,False
Game Preferences,177,0.2690412429378531,21.954802259887007,78.14481683643652,0.0,0.0,False
Glitch and Horror Rumors,399,0.2572967418546366,66.82706766917293,89.55570227568063,0.08270676691729323,0.08270676691729323,False
Other,1753,0.4270150598973189,40.3314318311466,93.85444043613376,0.0068454078722190535,0.04791785510553337,False
Positive App Feedback,126,0.5059888888888889,50.53968253968254,87.17401640719604,0.0,0.03968253968253968,False
Positive Feedback,550,0.464948,10.956363636363637,92.93631161706635,0.0,0.0,False
Talking Tom Game,356,0.6068741573033708,85.54213483146067,89.69175095037166,0.014044943820224719,0.06741573033707865,False
User Experience Changes,520,0.4058873076923077,10.442307692307692,103.05372776205698,0.0,0.0038461538461538464,False
