merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
"""appreciation for artistic apps""",0.0,0.0004,0.0,0.0052,0.002,0.0,0.001
"""best game ever""",0.0,0.0,0.0,0.003,0.0,0.0,0.0
"""best game praise""",0.0,0.0,0.0,0.0024,0.0014,0.0,0.0004
"""best game reviews""",0.0,0.0004,0.0,0.0048,0.0044,0.0,0.0
"""boring game complaints""",0.0002,0.0,0.0,0.0002,0.0002,0.002,0.0002
"""cute and adorable features""",0.0,0.0012,0.0,0.01,0.0,0.0004,0.0006
"""interesting and informative content""",0.0,0.0,0.0,0.0014,0.0008,0.0,0.0022
"""positive game reviews""",0.0002,0.0,0.0002,0.0,0.0058,0.0,0.0
"""quality of modded apps""",0.0,0.0,0.0,0.0034,0.001,0.0002,0.0
"""talking tom & friends game reviews""",0.0006,0.0002,0.0008,0.0326,0.0104,0.0034,0.0028
Unknown,0.0022,0.0016,0.002,0.1,0.037,0.0076,0.0092
annoying ads feedback,0.0,0.0,0.0,0.0008,0.0012,0.0002,0.0002
app usage across devices,0.0,0.0,0.0,0.0026,0.0004,0.0,0.0002
bengali user feedback,0.0,0.0,0.0002,0.0,0.0032,0.0,0.0
best game ever,0.0,0.0002,0.0,0.0004,0.0024,0.0,0.0004
best game praise,0.0002,0.0008,0.0,0.0,0.0012,0.0,0.0
best game reviews,0.0,0.0,0.0,0.0022,0.0092,0.0,0.0004
best games for kids,0.0,0.0,0.0,0.0028,0.0008,0.0,0.0002
cat game reviews,0.0,0.0,0.0,0.0002,0.0022,0.0,0.0
character unlocking complaints,0.0002,0.0,0.0,0.0016,0.001,0.0006,0.0006
child-friendly learning apps,0.0,0.0,0.0,0.0112,0.0018,0.0,0.0
cute character interaction,0.0,0.0002,0.0,0.0068,0.0,0.0,0.0004
download and installation issues,0.0,0.0004,0.0,0.0014,0.004,0.0022,0.0004
enjoyable fun,0.0,0.0002,0.0,0.007,0.001,0.0004,0.0002
enjoyable gaming experience,0.0,0.0,0.0,0.0028,0.0002,0.0,0.0002
enjoyment of play,0.0,0.0002,0.0,0.0044,0.001,0.0002,0.0
exaggerated reactions,0.0,0.0,0.0,0.0,0.0006,0.0,0.0022
excessive ads complaints,0.001,0.0006,0.0,0.004,0.0032,0.002,0.0006
excessive character sleep time,0.0006,0.0004,0.0,0.0034,0.0022,0.003,0.0004
