merged_topic_label,total_reviews,avg_vader_sentiment,avg_text_length,avg_readability,bug_keyword_rate,request_keyword_rate,pain_point_flag
"""appreciation for artistic apps""",43,0.5460116279069768,24.976744186046513,98.05582885596657,0.0,0.0,False
"""best game ever""",15,0.6699333333333333,29.666666666666668,110.62457142857144,0.0,0.0,False
"""best game praise""",21,0.6388,39.904761904761905,109.41788799240628,0.0,0.047619047619047616,False
"""best game reviews""",48,0.8236916666666666,25.104166666666668,102.42137877747255,0.0,0.0,False
"""boring game complaints""",14,-0.29924999999999996,30.285714285714285,78.20760204081635,0.0,0.0,True
"""cute and adorable features""",61,0.6829147540983607,23.639344262295083,100.2453174838662,0.0,0.0,False
"""interesting and informative content""",22,0.5448090909090909,20.636363636363637,16.918863636363657,0.0,0.0,False
"""positive game reviews""",31,0.09130645161290322,32.064516129032256,115.85564516129034,0.0,0.0,False
"""quality of modded apps""",23,0.4065739130434783,14.217391304347826,110.75683794466406,0.0,0.0,False
"""talking tom & friends game reviews""",254,0.6227413385826771,93.14566929133858,85.9373000587316,0.0,0.09448818897637795,False
Unknown,798,0.5356482456140351,55.274436090225564,85.00808799631871,0.005012531328320802,0.05764411027568922,False
annoying ads feedback,12,0.018075,35.166666666666664,96.91850140056023,0.0,0.8333333333333334,False
app usage across devices,16,0.6677124999999999,101.125,85.15992037502541,0.0,0.0,False
bengali user feedback,17,0.0,76.11764705882354,108.26382352941178,0.0,0.0,False
best game ever,17,0.6093999999999999,17.058823529411764,90.42941176470592,0.0,0.0,False
best game praise,11,0.0,12.909090909090908,119.28227272727275,0.0,0.0,True
best game reviews,59,0.6100491525423729,12.322033898305085,112.79186440677968,0.0,0.0,False
best games for kids,19,0.6086947368421053,32.78947368421053,102.30575187969926,0.0,0.10526315789473684,False
cat game reviews,12,0.08335,11.833333333333334,111.30333333333334,0.0,0.0,False
character unlocking complaints,20,0.36489,108.3,76.16509687811855,0.0,0.25,False
child-friendly learning apps,65,0.5179246153846154,29.53846153846154,98.62531588999238,0.0,0.0,False
cute character interaction,37,0.6975054054054054,55.2972972972973,94.11542696930857,0.0,0.0,False
download and installation issues,42,0.1353,92.97619047619048,83.83239703291828,0.19047619047619047,0.14285714285714285,False
enjoyable fun,44,0.4894386363636363,9.931818181818182,59.800568181818214,0.0,0.022727272727272728,False
enjoyable gaming experience,16,0.74916875,43.375,102.4543854840013,0.0,0.0625,False
enjoyment of play,29,0.7431275862068966,42.689655172413794,98.56315382288615,0.0,0.0,False
exaggerated reactions,14,0.0,15.071428571428571,3.0942857142857574,0.0,0.0,False
excessive ads complaints,57,0.16553508771929823,93.28070175438596,89.53119039528337,0.017543859649122806,0.21052631578947367,False
excessive character sleep time,50,0.379434,138.02,87.21904468850131,0.02,0.12,False
