merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
Childhood Memories,0.0004,0.0,0.0,0.0084,0.0078,0.0066,0.001
Game Experience,0.0006,0.0002,0.0004,0.0,0.011,0.0002,0.0002
Mixed Reactions,0.0004,0.0012,0.0,0.055,0.0162,0.0018,0.005
Offline Mode Issues,0.0012,0.0,0.0002,0.0036,0.0064,0.0078,0.001
Other,0.0354,0.031,0.008,0.2368,0.1628,0.0916,0.0514
Positive Feedback,0.0002,0.0006,0.0,0.0134,0.0344,0.0004,0.0004
Positive Game Experience,0.0006,0.0006,0.0,0.0488,0.0016,0.0016,0.0012
Positive Game Feedback,0.0008,0.0006,0.0,0.0394,0.0096,0.0004,0.003
Positive Nostalgia,0.0,0.0,0.0002,0.0012,0.012,0.0002,0.0
Top-rated game,0.0012,0.003,0.0004,0.0392,0.0218,0.0016,0.008
