merged_topic_label,negative_proportion,total_reviews,pain_point_flag
Childhood Memories,0.2892561983471074,121,False
Game Experience,0.1111111111111111,63,False
Mixed Reactions,0.04271356783919598,398,False
Offline Mode Issues,0.45544554455445546,101,True
Other,0.26904376012965964,3085,False
Positive Feedback,0.024291497975708502,247,False
Positive Game Experience,0.051470588235294115,272,False
Positive Game Feedback,0.03345724907063197,269,False
Positive Nostalgia,0.029411764705882353,68,False
Top-rated game,0.08244680851063829,376,False
