merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
Unknown,0.0096,0.0086,0.0006,0.0728,0.0432,0.03,0.0108
addiction and engagement,0.0012,0.0004,0.0,0.0016,0.001,0.001,0.0
adverts and add-ons,0.0002,0.0004,0.0,0.0006,0.0012,0.0002,0.0
app quality and updates,0.0,0.0006,0.0002,0.002,0.003,0.001,0.0
app uninstallation feedback,0.0004,0.0006,0.0,0.0006,0.0012,0.0014,0.0002
basic acknowledgments,0.0004,0.0,0.0,0.0002,0.0152,0.0002,0.0
beautiful experience,0.0,0.0,0.0,0.0054,0.0004,0.0002,0.0014
boring gameplay,0.0002,0.0,0.0,0.0006,0.0006,0.0014,0.0
candy crush comparisons,0.0002,0.0004,0.0,0.0,0.0016,0.0002,0.0
casual fun,0.0,0.0,0.0,0.0104,0.0002,0.0,0.0002
customer appreciation,0.0,0.0,0.0,0.0046,0.0072,0.0002,0.0002
customer satisfaction,0.0,0.0012,0.0,0.0008,0.0078,0.0,0.0
customer service excellence,0.0,0.0,0.0,0.0038,0.0018,0.0,0.0
difficulty and challenge,0.0002,0.0,0.0,0.0044,0.0004,0.0006,0.0
difficulty and level challenges,0.0004,0.0,0.0,0.0032,0.0012,0.0012,0.0008
difficulty challenges,0.0006,0.0,0.0,0.0002,0.0014,0.0018,0.0004
enjoyable game,0.0004,0.0,0.0,0.006,0.0018,0.0,0.0002
enjoyment and fun,0.0,0.0,0.0,0.0028,0.0,0.0,0.0
enjoyment and play,0.0,0.0,0.0,0.0082,0.0004,0.0002,0.0
enjoyment of the game,0.0,0.0,0.0,0.004,0.0,0.0002,0.0
entertainment and fun,0.0,0.0,0.0,0.0104,0.0006,0.0,0.0
excellent quality,0.0,0.0,0.0,0.0004,0.0028,0.0,0.0
fun and entertainment,0.0,0.0,0.0,0.0048,0.0,0.0,0.0002
fun and exciting games,0.0,0.0,0.0,0.006,0.0008,0.0,0.0
game addiction,0.0,0.0,0.0,0.0044,0.0008,0.0002,0.0
game experience,0.0,0.0,0.0,0.0002,0.0032,0.0002,0.0
game moves and difficulty,0.0002,0.0004,0.0,0.0006,0.0018,0.0008,0.0
game performance issues,0.0002,0.0004,0.0,0.0036,0.0084,0.001,0.0006
game quality,0.0,0.0002,0.0,0.0,0.0068,0.0,0.0
gameplay enjoyment,0.0,0.0,0.0,0.0078,0.0004,0.0006,0.0002
garden decorations,0.0006,0.0004,0.0002,0.0102,0.003,0.0014,0.0006
gem collecting,0.0,0.0,0.0,0.0014,0.0026,0.0,0.0
graphics and visual changes,0.0006,0.0006,0.0,0.0002,0.0002,0.0012,0.0002
highly enjoyed games,0.0,0.0,0.0,0.0008,0.0004,0.0,0.004
in-app purchases,0.0006,0.0002,0.0,0.001,0.0016,0.0008,0.0004
in-app purchases and coins,0.003,0.0006,0.0,0.0016,0.0028,0.002,0.0004
interesting game,0.0,0.0,0.0,0.004,0.002,0.0,0.0006
love and appreciation,0.0,0.0,0.0,0.0006,0.001,0.001,0.0
mental refreshment,0.0,0.0,0.0,0.0004,0.0014,0.0,0.0006
mini games and expeditions,0.0002,0.0,0.0,0.0006,0.0014,0.0016,0.0012
misleading advertisements,0.0014,0.0046,0.0002,0.0048,0.0138,0.0042,0.002
mixed quality,0.0,0.0022,0.0,0.0012,0.0016,0.0018,0.0002
negative game experience,0.0002,0.0024,0.0002,0.0,0.0006,0.0016,0.0
nyc game enthusiasm,0.0,0.0,0.0,0.0004,0.0014,0.0,0.0012
payment & refund issues,0.0006,0.0002,0.0,0.0002,0.0004,0.001,0.0
player affection,0.0,0.0,0.0,0.0028,0.0002,0.0,0.0
player appreciation,0.0,0.0,0.0,0.0086,0.0002,0.0,0.0002
player enjoyment,0.0,0.0,0.0,0.0106,0.0,0.0,0.0
player favorites,0.0,0.0,0.0,0.005,0.0,0.0,0.0002
player love,0.0,0.0,0.0,0.0044,0.0002,0.0,0.0
positive app experience,0.0,0.0,0.0,0.0044,0.0002,0.0,0.0
positive app feedback,0.0,0.0,0.0,0.0004,0.002,0.0,0.0
positive excitement,0.0,0.0,0.0,0.0074,0.0004,0.0002,0.0002
positive experiences,0.0002,0.0,0.0,0.0092,0.0014,0.0002,0.0016
positive feedback,0.0004,0.0006,0.0002,0.0412,0.1778,0.0014,0.0012
positive game experience,0.0,0.0,0.0,0.0564,0.001,0.0,0.0014
positive game experiences,0.0,0.0,0.0,0.006,0.0006,0.0,0.0002
positive game feedback,0.0002,0.0,0.0,0.0476,0.0042,0.0002,0.0004
positive game quality,0.0,0.0,0.0,0.0062,0.0002,0.0,0.0
positive gameplay experience,0.0,0.0,0.0,0.002,0.0,0.0,0.0002
positive impressions,0.0,0.0,0.0,0.0028,0.0004,0.0,0.0
positive mood and happiness,0.0,0.0,0.0,0.0036,0.0002,0.0004,0.0
positive praise,0.0,0.0,0.0002,0.0116,0.001,0.0,0.0024
positive reactions,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0026
positive sentiments,0.0,0.0,0.0,0.0072,0.001,0.0002,0.0002
positive vibes,0.0,0.0,0.0,0.0002,0.003,0.0,0.0
puzzle satisfaction,0.0004,0.0,0.0,0.0018,0.0004,0.0,0.0
relaxation & stress relief,0.0,0.0002,0.0,0.0064,0.001,0.0,0.0
relaxation and fun,0.0,0.0,0.0,0.0028,0.0018,0.0,0.0002
stress relief games,0.0,0.0,0.0004,0.0018,0.0002,0.0004,0.0002
time pass activities,0.0,0.0,0.0,0.0,0.0026,0.0,0.0004
time-wasting games,0.0002,0.0006,0.0,0.0006,0.0002,0.0006,0.0
timepass games,0.0,0.0,0.0,0.0028,0.0014,0.0002,0.0004
top game quality,0.0,0.0,0.0,0.0022,0.0066,0.0002,0.0004
top-rated game,0.0,0.0,0.0,0.0024,0.0032,0.0,0.0008
update & data privacy,0.0004,0.001,0.0002,0.0016,0.0044,0.0076,0.0018
user engagement,0.0,0.0,0.0,0.0,0.0014,0.0,0.0022
user experience,0.0,0.0,0.0,0.0018,0.0002,0.0002,0.0002
user ratings and wishes,0.0002,0.0002,0.0,0.0014,0.002,0.0014,0.0006
