merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
Enjoyable Experience,0.0,0.0,0.0002,0.0282,0.001,0.0,0.0002
Game Addiction,0.0034,0.0014,0.0,0.0196,0.0064,0.003,0.0016
Match-3 Shift,0.021,0.0156,0.0018,0.1122,0.071,0.0802,0.0212
Misleading Advertisements,0.005,0.0108,0.0004,0.0328,0.0492,0.015,0.0076
Player Appreciation,0.0006,0.0004,0.0002,0.0622,0.013,0.0012,0.003
Positive Experiences,0.0002,0.0,0.0,0.0356,0.0244,0.0,0.0062
Positive Feedback,0.0006,0.0012,0.0006,0.0134,0.1026,0.0032,0.0016
Positive Praise,0.0,0.0,0.0002,0.0012,0.0088,0.0008,0.0002
Time Passing Games,0.0004,0.0004,0.0006,0.1184,0.0134,0.003,0.0026
Top Favorites,0.0002,0.0006,0.0002,0.0252,0.037,0.0024,0.0054
