merged_topic_label,negative_proportion,total_reviews,pain_point_flag
Enjoyable Experience,0.006756756756756757,148,False
Game Addiction,0.22033898305084745,177,False
Match-3 Shift,0.3671826625386997,1615,False
Misleading Advertisements,0.2582781456953642,604,False
Player Appreciation,0.02977667493796526,403,False
Positive Experiences,0.0030120481927710845,332,False
Positive Feedback,0.045454545454545456,616,False
Positive Praise,0.08928571428571429,56,False
Time Passing Games,0.03170028818443804,694,False
Top Favorites,0.04788732394366197,355,False
