merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
Unknown,0.005402160864345739,0.003601440576230492,0.0024009603841536613,0.1790716286514606,0.05162064825930372,0.03481392557022809,0.027410964385754303
addictive fun,0.00040016006402561027,0.0006002400960384153,0.0,0.00820328131252501,0.0008003201280512205,0.0008003201280512205,0.00040016006402561027
ai art controversy,0.00020008003201280514,0.0014005602240896359,0.0,0.0,0.0008003201280512205,0.0006002400960384153,0.00020008003201280514
android 12 compatibility issues,0.0,0.0,0.0,0.0,0.0006002400960384153,0.0020008003201280513,0.00020008003201280514
anime art & music,0.0,0.0,0.0,0.003401360544217687,0.0008003201280512205,0.00020008003201280514,0.00020008003201280514
app compatibility fixes,0.0,0.0,0.0,0.00040016006402561027,0.0006002400960384153,0.001600640256102441,0.0008003201280512205
app crashes and launch issues,0.00020008003201280514,0.0,0.0,0.00020008003201280514,0.0010004001600640256,0.003001200480192077,0.0010004001600640256
app launch issues,0.0,0.0,0.0,0.0,0.0006002400960384153,0.001800720288115246,0.0
app loading and sound issues,0.00020008003201280514,0.00020008003201280514,0.0,0.0014005602240896359,0.0026010404161664665,0.0028011204481792717,0.001600640256102441
artist displacement concerns,0.0012004801920768306,0.0010004001600640256,0.0,0.00020008003201280514,0.0010004001600640256,0.0012004801920768306,0.00020008003201280514
artistic masterpieces,0.0,0.0,0.0,0.0006002400960384153,0.0014005602240896359,0.0,0.00020008003201280514
beautiful music,0.0,0.0,0.0,0.006002400960384154,0.0010004001600640256,0.00020008003201280514,0.0006002400960384153
beautiful story & music,0.0,0.0,0.0,0.013605442176870748,0.00040016006402561027,0.0008003201280512205,0.0006002400960384153
beautiful visuals,0.0,0.00020008003201280514,0.0,0.007402961184473789,0.0008003201280512205,0.0,0.00020008003201280514
black screen issue,0.00020008003201280514,0.00040016006402561027,0.0,0.0006002400960384153,0.004601840736294518,0.005002000800320128,0.0024009603841536613
casual compliments,0.0,0.0,0.0,0.0006002400960384153,0.001600640256102441,0.0,0.0
customer affection,0.00020008003201280514,0.0,0.0,0.003601440576230492,0.0070028011204481795,0.00020008003201280514,0.0
customer satisfaction,0.00020008003201280514,0.0,0.0,0.00040016006402561027,0.003601440576230492,0.0,0.0
cute music game,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.00020008003201280514
data loss and restoration,0.0024009603841536613,0.0006002400960384153,0.00020008003201280514,0.003201280512204882,0.00820328131252501,0.02100840336134454,0.006202480992396959
deemo appreciation,0.00020008003201280514,0.0,0.0,0.0028011204481792717,0.0014005602240896359,0.0006002400960384153,0.00020008003201280514
deemo love,0.0,0.0,0.0,0.004001600640256103,0.0014005602240896359,0.0006002400960384153,0.0006002400960384153
device compatibility and usage,0.0,0.0,0.0,0.003401360544217687,0.0006002400960384153,0.00040016006402561027,0.0006002400960384153
download issues,0.00020008003201280514,0.0,0.0,0.00040016006402561027,0.003001200480192077,0.003401360544217687,0.0014005602240896359
emotional game endings,0.0,0.00040016006402561027,0.0,0.0008003201280512205,0.0,0.0010004001600640256,0.00020008003201280514
emotional impact,0.00040016006402561027,0.0,0.0,0.0006002400960384153,0.00040016006402561027,0.003601440576230492,0.0008003201280512205
emotional sad stories,0.0,0.0,0.0,0.0008003201280512205,0.0006002400960384153,0.0010004001600640256,0.00020008003201280514
engaging story and gameplay,0.0,0.0,0.0,0.005802320928371348,0.00020008003201280514,0.00040016006402561027,0.0010004001600640256
