merged_topic_label,total_reviews,avg_vader_sentiment,avg_text_length,avg_readability,bug_keyword_rate,request_keyword_rate,pain_point_flag
Unknown,1521,0.5994560157790927,130.98553583168967,76.81227758397844,0.03550295857988166,0.07560815253122946,False
addictive fun,56,0.44355000000000006,13.732142857142858,76.89732142857144,0.0,0.10714285714285714,False
ai art controversy,16,-0.2593375,138.75,67.1089480361219,0.0,0.0625,True
android 12 compatibility issues,14,0.02703571428571429,113.57142857142857,75.28552289082775,0.21428571428571427,0.07142857142857142,True
anime art & music,23,0.6440217391304348,45.47826086956522,77.10897939017505,0.0,0.0,False
app compatibility fixes,17,0.07765294117647059,120.52941176470588,80.53139361731334,0.23529411764705882,0.35294117647058826,True
app crashes and launch issues,27,0.23104444444444444,160.85185185185185,75.71857601709108,0.4444444444444444,0.07407407407407407,True
app launch issues,12,-0.017208333333333336,22.333333333333332,71.15681089743592,0.0,0.08333333333333333,True
app loading and sound issues,44,0.341825,242.61363636363637,80.8636089626582,0.36363636363636365,0.25,False
artist displacement concerns,24,-0.22471249999999998,135.95833333333334,77.85048010886867,0.0,0.0,True
artistic masterpieces,11,0.6318090909090909,24.636363636363637,-1.7622727272726981,0.0,0.0,False
beautiful music,39,0.5121564102564102,30.564102564102566,42.65221707026007,0.0,0.0,False
beautiful story & music,77,0.7624623376623377,64.32467532467533,70.29197738567034,0.012987012987012988,0.0,False
beautiful visuals,43,0.558493023255814,34.116279069767444,70.10748658318427,0.0,0.0,False
black screen issue,66,0.13284242424242423,130.15151515151516,90.6922791586654,0.06060606060606061,0.22727272727272727,True
casual compliments,11,0.4033545454545454,6.2727272727272725,120.75863636363638,0.0,0.0,False
customer affection,55,0.6648818181818182,13.072727272727272,114.07202337662339,0.0,0.01818181818181818,False
customer satisfaction,21,0.443147619047619,11.047619047619047,51.38619047619051,0.0,0.0,False
cute music game,52,0.8147403846153847,66.34615384615384,89.34149408285005,0.0,0.019230769230769232,False
data loss and restoration,209,0.319122966507177,196.16267942583733,76.48581693911704,0.14354066985645933,0.14832535885167464,True
deemo appreciation,26,0.5449653846153846,69.0,97.4403603633209,0.0,0.0,False
deemo love,33,0.6379878787878788,106.54545454545455,84.81785642129857,0.030303030303030304,0.06060606060606061,False
device compatibility and usage,25,0.797816,199.64,80.49164490431987,0.0,0.04,False
download issues,42,0.15583571428571427,121.19047619047619,81.92123004322795,0.09523809523809523,0.16666666666666666,True
emotional game endings,12,0.4808666666666667,157.91666666666666,78.9098898672464,0.0,0.0,True
emotional impact,29,-0.08474482758620691,60.06896551724138,95.3706604038821,0.0,0.0,True
emotional sad stories,13,0.40875384615384613,31.23076923076923,81.12991179872759,0.0,0.0,False
engaging story and gameplay,37,0.7310405405405406,66.05405405405405,76.32695640129103,0.0,0.02702702702702703,False
exceptional praise,16,0.43239374999999997,19.625,-10.127142857142834,0.0,0.0,False
favorite game,30,0.49522333333333335,22.2,91.88490476190479,0.0,0.0,False
free songs & content requests,16,0.63805,53.875,94.86264769544184,0.0,0.4375,False
fun game,11,0.5813545454545455,15.545454545454545,104.68500000000003,0.0,0.0,False
game enjoyment,39,0.03452564102564103,30.205128205128204,107.32262820512824,0.0,0.0,False
game reviews,37,-0.05051351351351351,134.8108108108108,53.54824813607286,0.0,0.0,False
gameplay controls,24,0.8151541666666667,184.41666666666666,74.1075610303614,0.041666666666666664,0.125,False
in-app purchases,70,0.3989614285714286,99.9,83.81813772017378,0.0,0.1,False
loading/stuck issues,20,-0.162015,97.7,86.08140753399867,0.1,0.15,True
longtime fans,73,0.6585506849315068,84.71232876712328,91.75803054154757,0.0,0.0,False
loyalty and reinstallation,31,0.7944548387096774,175.58064516129033,74.35646549317578,0.06451612903225806,0.03225806451612903,False
mixed feelings,27,0.47956666666666664,16.444444444444443,82.32769841269844,0.0,0.037037037037037035,False
mobile rhythm games,47,0.7563000000000001,187.74468085106383,75.5186727119111,0.02127659574468085,0.10638297872340426,False
music & art appreciation,35,0.9226885714285714,238.25714285714287,71.98666708055947,0.0,0.02857142857142857,False
music & in-app purchases,22,0.8101545454545455,259.8636363636364,76.7273987861963,0.0,0.45454545454545453,False
music & songs,43,0.557493023255814,18.093023255813954,101.32724630021143,0.0,0.0,False
music & storytelling,17,0.8077764705882353,161.52941176470588,80.55155756039944,0.0,0.11764705882352941,False
music and content access,11,0.7476818181818181,251.0,70.78938073483523,0.0,0.18181818181818182,False
music and rhythm games,20,0.792485,33.85,80.4232142857143,0.0,0.0,False
music enjoyment,19,0.542021052631579,18.473684210526315,75.69078605604923,0.0,0.0,False
offline connectivity issues,53,0.29261132075471696,196.33962264150944,74.07572352392162,0.20754716981132076,0.20754716981132076,True
overall satisfaction,41,0.4056902439024391,4.2439024390243905,121.14573170731711,0.0,0.0,False
paid content / free version,82,0.4812487804878049,150.08536585365854,79.96642700406626,0.024390243902439025,0.14634146341463414,False
piano rhythm game,160,0.726671875,139.74375,68.94618302410849,0.01875,0.08125,False
piano rhythm games,16,0.7654625,173.0625,75.70479951294946,0.0,0.0625,False
player affection,34,0.6049323529411765,18.264705882352942,109.73823529411766,0.0,0.0,False
player appreciation,48,0.6696,32.25,101.1265083874459,0.0,0.0,False
positive descriptions,61,0.5687459016393442,14.295081967213115,7.388231850117125,0.0,0.0,False
positive excitement,20,0.10521,6.05,106.05975000000004,0.0,0.0,False
positive feedback,103,0.4142252427184466,7.834951456310679,85.07240638002776,0.0,0.0,False
positive game experience,69,0.6168478260869565,29.55072463768116,94.93894026547481,0.0,0.0,False
positive game feedback,48,0.4246770833333333,11.604166666666666,112.54291666666667,0.0,0.0,False
positive game praise,13,0.4097846153846154,36.92307692307692,93.86104395604397,0.0,0.0,False
positive gameplay,13,0.5395307692307693,15.692307692307692,94.00961538461542,0.0,0.0,False
positive praise,123,0.4709243902439025,9.544715447154472,39.92839140534266,0.0,0.008130081300813009,False
positive ratings,32,0.515215625,116.125,86.67949924483874,0.0625,0.09375,False
positive reactions,21,0.4528142857142857,15.952380952380953,107.55023809523811,0.0,0.0,False
positive rhythm game,14,0.5275714285714286,22.857142857142858,68.62581632653064,0.0,0.0,False
positive sentiments,35,0.6023057142857143,22.4,102.87066141001857,0.0,0.0,False
