merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
Loading/Startup Issues,0.0078,0.0032,0.002,0.0034,0.0312,0.0366,0.0096
Login/Connection Errors,0.0016,0.0014,0.0002,0.0002,0.0108,0.0154,0.0016
Mobile Game Praise,0.0092,0.0088,0.0012,0.0168,0.0376,0.016,0.0078
Other,0.0676,0.059,0.0112,0.069,0.157,0.138,0.0388
Performance Issues,0.001,0.0008,0.0004,0.0016,0.0182,0.0154,0.0048
Performance and Optimization,0.0022,0.0044,0.0002,0.0084,0.0072,0.0028,0.0034
Positive Excitement,0.0002,0.0038,0.0,0.015,0.0232,0.0014,0.0038
Positive Game Experience,0.0004,0.0068,0.0012,0.0266,0.0106,0.005,0.0018
Problemas técnicos,0.0022,0.0006,0.0018,0.0004,0.0118,0.0002,0.0
User Experience Issues,0.0014,0.0012,0.0002,0.0068,0.0386,0.0004,0.0008
