merged_topic_label,negative_proportion,total_reviews,pain_point_flag
Loading/Startup Issues,0.5287846481876333,469,True
Login/Connection Errors,0.5961538461538461,156,True
Mobile Game Praise,0.3613963039014374,487,False
Other,0.510173880873104,2703,True
Performance Issues,0.41706161137440756,211,True
Performance and Optimization,0.3356643356643357,143,False
Positive Excitement,0.11392405063291139,237,False
Positive Game Experience,0.25572519083969464,262,False
Problemas técnicos,0.2823529411764706,85,False
User Experience Issues,0.06477732793522267,247,False
