merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
"""best game ever played""",0.0,0.0,0.0,0.0064,0.0004,0.0,0.0016
"""best game ever""",0.0,0.0002,0.0,0.0006,0.0074,0.0,0.0008
"""best game praise""",0.0,0.0002,0.0002,0.0102,0.0042,0.0006,0.0018
"""best gaming experience""",0.0,0.0004,0.0,0.0018,0.008,0.0002,0.0002
"""change from friends to connections""",0.0018,0.0008,0.0,0.0006,0.0048,0.0014,0.0036
"""complaints about brainrot games""",0.0008,0.0002,0.0,0.001,0.0012,0.001,0.0002
"""cool and nice comments""",0.0,0.0,0.0,0.0032,0.0004,0.0,0.0006
"""cool gaming experience""",0.0,0.0,0.0,0.0034,0.0004,0.0,0.0
"""dandy's world game reviews""",0.0,0.0,0.0,0.0022,0.0,0.0002,0.0002
"""enjoyable and fun""",0.0,0.0002,0.0,0.0068,0.0,0.0,0.0
"""enjoyable entertainment""",0.0,0.0,0.0,0.009,0.0002,0.0,0.0
"""expressions of surprise""",0.0,0.0,0.0,0.0,0.0,0.0,0.0024
"""fun family entertainment""",0.0,0.0,0.0,0.0056,0.0,0.0004,0.0
"""highly praised games""",0.0,0.0,0.0,0.0026,0.0004,0.0002,0.0004
"""nice simulator game""",0.0,0.0,0.0,0.0052,0.0,0.0,0.0
"""roblox android compatibility issues""",0.0004,0.0,0.0,0.0008,0.001,0.0058,0.0006
"""roblox performance issues""",0.0002,0.0002,0.0002,0.0008,0.002,0.0034,0.001
"""superior game performance""",0.0,0.0,0.0,0.0006,0.002,0.0,0.0002
Unknown,0.0088,0.0066,0.0026,0.1036,0.0472,0.0294,0.0144
account access issues,0.0034,0.0,0.0002,0.001,0.0052,0.0054,0.0024
addictive puzzle game,0.0,0.0002,0.0,0.0008,0.0004,0.0006,0.0006
affirmative and negative responses,0.0002,0.0004,0.0,0.0,0.0024,0.0,0.0002
android compatibility issues,0.0006,0.0002,0.0002,0.0008,0.0032,0.0036,0.0002
app performance evaluation,0.0,0.0012,0.0,0.0074,0.001,0.0006,0.0
appreciation for service,0.0002,0.0,0.0,0.0032,0.0006,0.0,0.0002
avatar customization games,0.0004,0.0002,0.0002,0.0046,0.0012,0.0004,0.0006
best game ever,0.0,0.0,0.0,0.0052,0.0002,0.0,0.0002
