merged_topic_label,total_reviews,avg_vader_sentiment,avg_text_length,avg_readability,bug_keyword_rate,request_keyword_rate,pain_point_flag
"""best game ever""",29,0.7162275862068966,48.793103448275865,96.4842829232143,0.034482758620689655,0.0,False
"""best game experiences""",28,0.7125178571428572,34.607142857142854,100.13135204081634,0.0,0.0,False
"""best game praise""",61,0.5495918032786885,41.49180327868852,99.51385245901642,0.0,0.03278688524590164,False
"""changes to friend connections""",43,0.4682465116279069,228.72093023255815,71.7068086341669,0.046511627906976744,0.32558139534883723,True
"""changing friends to connections""",66,0.2955287878787879,109.07575757575758,77.78987363196879,0.015151515151515152,0.21212121212121213,False
"""dandy's world game reviews""",13,0.6293538461538462,66.6923076923077,97.3887819626055,0.07692307692307693,0.15384615384615385,False
"""dress-up and avatar customization""",40,0.7219,155.6,76.52960541092675,0.1,0.375,False
"""enjoyable and fun app""",16,0.66071875,33.3125,93.087730007764,0.0,0.0,False
"""expressions of wow""",12,0.52345,4.75,121.05083333333336,0.0,0.0,False
"""fun and engaging game""",26,0.5796961538461539,35.69230769230769,99.77329958503037,0.0,0.0,False
"""fun and enjoyable experience""",54,0.4608666666666667,8.962962962962964,85.0865740740741,0.0,0.0,False
"""fun entertainment""",31,0.6334548387096774,16.451612903225808,115.71161290322583,0.0,0.0,False
"""fun family entertainment""",30,0.5015233333333334,11.966666666666667,117.39650000000002,0.0,0.0,False
"""fun game experience""",12,0.594825,31.75,95.6503291316527,0.0,0.0,False
"""garden growing games""",69,0.6700304347826087,80.89855072463769,85.66784062028738,0.014492753623188406,0.07246376811594203,False
"""negative game experiences""",22,-0.2717045454545455,80.72727272727273,85.58064319369431,0.045454545454545456,0.045454545454545456,True
"""overpowered game praise""",15,0.10756,26.133333333333333,112.94998757763977,0.0,0.0,False
"""positive game reviews""",14,0.47700714285714285,21.357142857142858,103.55535714285715,0.0,0.0,False
Unknown,1117,0.3953810205908684,88.7385854968666,85.88925228378534,0.04207699194270367,0.09221128021486123,False
account access issues,74,-0.12202567567567567,149.83783783783784,72.71000573324007,0.08108108108108109,0.12162162162162163,True
affirmative and negative responses,17,0.1503235294117647,6.117647058823529,86.55735294117649,0.0,0.0,False
android compatibility issues,43,-0.08623255813953488,82.20930232558139,80.62491767185385,0.0,0.13953488372093023,True
app accessibility issues,15,-0.2737266666666667,31.733333333333334,97.176,0.0,0.0,True
app gaming experience,45,0.6854088888888888,133.53333333333333,81.80113920191896,0.08888888888888889,0.022222222222222223,False
app quality feedback,50,0.372888,11.32,77.35910000000001,0.02,0.0,False
app quality opinions,54,0.511862962962963,11.88888888888889,107.63694444444447,0.0,0.0,False
app suitability for kids,81,0.5604135802469136,101.14814814814815,86.99818421000978,0.012345679012345678,0.07407407407407407,False
best game ever,69,0.6407130434782609,19.6231884057971,95.69611004937096,0.0,0.0,False
best game played,10,0.6901400000000001,43.4,100.97600000000001,0.0,0.0,False
best game praise,69,0.6256724637681159,15.27536231884058,111.79702898550725,0.0,0.0,False
best game reviews,19,0.6386684210526316,22.894736842105264,113.26229323308273,0.0,0.0,False
best gaming app experiences,12,0.5869416666666667,24.166666666666668,96.85639652014653,0.0,0.0,False
best multiplayer game,27,0.6714518518518519,21.296296296296298,115.27685185185186,0.0,0.0,False
blox fruit game reviews,30,0.5557599999999999,57.666666666666664,98.93553372061544,0.0,0.03333333333333333,False
cool pc games,16,0.5223875,18.0,115.73889204545456,0.0,0.0,False
enjoyable and diverse options,16,0.56796875,10.6875,106.76781250000002,0.0,0.0,False
fantastic entertainment experience,13,0.7582153846153846,45.38461538461539,57.583461538461556,0.0,0.0,False
favorite game appreciation,36,0.37241111111111114,31.25,87.39607142857146,0.0,0.0,False
favorite game enjoyment,13,0.3416461538461538,45.23076923076923,83.59117970265031,0.0,0.07692307692307693,False
five star ratings,45,0.3780688888888889,55.4,99.36553028367862,0.022222222222222223,0.0,False
fun gameplay,37,0.6726108108108109,32.21621621621622,102.29725193725196,0.0,0.0,False
game addiction,12,0.405275,39.083333333333336,65.40777867965369,0.0,0.8333333333333334,False
game appreciation,67,0.6629761194029852,24.940298507462686,113.50411541195125,0.0,0.014925373134328358,False
game feedback and suggestions,24,0.11687083333333333,82.5,110.05368189775912,0.0,0.0,False
game opinions,25,0.18444400000000002,17.8,116.1988,0.0,0.0,False
game performance feedback,98,0.050205102040816324,53.01020408163265,69.17290937980762,0.02040816326530612,0.02040816326530612,False
gameplay experience,14,0.09975714285714286,11.285714285714286,107.10821428571431,0.0,0.0,False
gameplay glitches/bugs,36,0.23225555555555555,75.13888888888889,90.98291291134223,0.7222222222222222,0.0,False
gaming experience praise,23,0.2591913043478261,9.347826086956522,55.006521739130456,0.0,0.0,False
growing a garden,33,0.44336969696969697,37.81818181818182,88.94332677423587,0.0,0.0,False
hacking and cheating issues,25,-0.0696,82.92,82.15914042969519,0.0,0.04,False
lagging and loading issues,56,0.09050892857142857,76.66071428571429,84.37542296345055,0.03571428571428571,0.125,True
long-term gameplay experience,25,0.53052,54.76,101.22513265362092,0.0,0.0,False
love for roblox,33,0.4922303030303031,15.969696969696969,117.72664502164504,0.0,0.0,False
mixed app opinions,63,0.35382380952380954,22.095238095238095,105.96289188402635,0.0,0.0,False
mixed feelings about app,21,0.3670904761904762,29.142857142857142,105.98392857142859,0.0,0.0,False
nice game reviews,24,0.41485,13.291666666666666,115.02458333333334,0.0,0.0,False
no ads experience,23,0.3584869565217392,53.0,92.54753723964824,0.0,0.0,False
performance issues/lagging,14,0.4024571428571429,187.14285714285714,81.18632408264419,0.21428571428571427,0.0,True
playing brookhaven game,28,0.6828928571428571,114.82142857142857,72.29419117414496,0.0,0.07142857142857142,False
playing with friends,65,0.8527184615384615,96.93846153846154,89.30855693580793,0.0,0.046153846153846156,False
positive aesthetic feedback,32,0.470796875,11.8125,103.14062500000001,0.0,0.0,False
positive affection,22,0.5980727272727273,7.318181818181818,120.20500000000001,0.0,0.0,False
positive app experience,20,0.6346149999999999,18.6,59.19725000000002,0.0,0.0,False
positive app feedback,92,0.5060347826086956,8.771739130434783,115.26396739130436,0.0,0.0,False
positive app impressions,37,0.651245945945946,39.78378378378378,97.41170385948251,0.02702702702702703,0.05405405405405406,False
positive app reviews,21,0.5523238095238096,19.761904761904763,61.605714285714306,0.0,0.0,False
positive feedback,175,0.49650685714285714,8.102857142857143,109.0704204081633,0.0,0.005714285714285714,False
positive feedback/reactions,58,0.2766068965517241,8.862068965517242,50.178448275862095,0.0,0.0,False
positive game reviews,350,0.5594902857142857,28.837142857142858,97.78758357111538,0.002857142857142857,0.0,False
positive reactions,98,0.3085030612244898,11.0,70.76459183673471,0.0,0.0,False
roblox android version support,48,0.039972916666666664,190.5625,75.5375451946931,0.0,0.2916666666666667,True
roblox app technical issues,20,0.28188500000000005,222.75,82.45330823370941,0.4,0.4,True
roblox appreciation,19,0.4056947368421053,28.157894736842106,113.45800751879702,0.0,0.05263157894736842,False
roblox game experience,270,0.7173137037037037,127.15925925925926,85.2148622621609,0.018518518518518517,0.04814814814814815,False
roblox gardening games,38,0.7993026315789473,163.5,78.93180883288835,0.0,0.07894736842105263,False
roblox update issues,13,0.18945384615384617,175.69230769230768,72.37579337214237,0.0,0.23076923076923078,True
robux and pricing issues,93,0.2465741935483871,112.23655913978494,84.17633859313226,0.010752688172043012,0.15053763440860216,False
server and connection issues,26,-0.11871923076923077,133.34615384615384,75.9072804981347,0.46153846153846156,0.19230769230769232,True
social interaction and gaming,53,0.8038660377358491,54.54716981132076,99.965194504338,0.018867924528301886,0.018867924528301886,False
unfair account bans,38,-0.24238684210526315,236.8421052631579,69.41793011748958,0.10526315789473684,0.10526315789473684,True
unjustified user bans,33,-0.5849484848484848,120.60606060606061,78.67112973779835,0.09090909090909091,0.0,True
update issues,43,-0.06707441860465116,53.25581395348837,89.40409981263609,0.0,0.09302325581395349,True
variety of fun games,111,0.47054324324324326,58.6036036036036,89.86207138550176,0.009009009009009009,0.009009009009009009,False
variety of games,25,0.701196,57.88,92.93365384615386,0.0,0.0,False
very fun experience,34,0.6886000000000001,16.61764705882353,69.35235294117649,0.0,0.0,False
voice chat issues,20,0.1577,119.1,87.87787005172443,0.1,0.3,True
wifi connection issues,13,0.1357923076923077,102.07692307692308,72.03620610343869,0.3076923076923077,0.0,True
